date,transaction
2004-01-04,100
2004-01-11,70
2004-01-18,73
2004-01-25,91
2004-02-01,50
2004-02-08,60
2004-02-15,89
2004-02-22,75
2004-02-29,68
2004-03-07,38
2004-03-14,79
2004-03-21,79
2004-03-28,56
2004-04-04,100
2004-04-11,81
2004-04-18,73
2004-04-25,55
2004-05-02,66
2004-05-09,59
2004-05-16,78
2004-05-23,52
2004-05-30,59
2004-06-06,58
2004-06-13,61
2004-06-20,53
2004-06-27,58
2004-07-04,66
2004-07-11,60
2004-07-18,61
2004-07-25,70
2004-08-01,64
2004-08-08,66
2004-08-15,67
2004-08-22,69
2004-08-29,48
2004-09-05,48
2004-09-12,72
2004-09-19,67
2004-09-26,65
2004-10-03,55
2004-10-10,41
2004-10-17,97
2004-10-24,48
2004-10-31,63
2004-11-07,31
2004-11-14,53
2004-11-21,48
2004-11-28,59
2004-12-05,70
2004-12-12,66
2004-12-19,50
2004-12-26,55
2005-01-02,66
2005-01-09,73
2005-01-16,77
2005-01-23,60
2005-01-30,78
2005-02-06,77
2005-02-13,87
2005-02-20,62
2005-02-27,67
2005-03-06,71
2005-03-13,66
2005-03-20,70
2005-03-27,88
2005-04-03,69
2005-04-10,100
2005-04-17,82
2005-04-24,87
2005-05-01,69
2005-05-08,62
2005-05-15,73
2005-05-22,67
2005-05-29,59
2005-06-05,99
2005-06-12,79
2005-06-19,100
2005-06-26,71
2005-07-03,69
2005-07-10,60
2005-07-17,79
2005-07-24,81
2005-07-31,88
2005-08-07,80
2005-08-14,78
2005-08-21,57
2005-08-28,66
2005-09-04,67
2005-09-11,64
2005-09-18,61
2005-09-25,65
2005-10-02,55
2005-10-09,60
2005-10-16,70
2005-10-23,59
2005-10-30,55
2005-11-06,58
2005-11-13,57
2005-11-20,52
2005-11-27,59
2005-12-04,72
2005-12-11,55
2005-12-18,59
2005-12-25,52
2006-01-01,83
2006-01-08,89
2006-01-15,81
2006-01-22,82
2006-01-29,81
2006-02-05,87
2006-02-12,92
2006-02-19,98
2006-02-26,100
2006-03-05,92
2006-03-12,86
2006-03-19,83
2006-03-26,77
2006-04-02,88
2006-04-09,88
2006-04-16,80
2006-04-23,83
2006-04-30,88
2006-05-07,72
2006-05-14,96
2006-05-21,86
2006-05-28,89
2006-06-04,82
2006-06-11,85
2006-06-18,75
2006-06-25,86
2006-07-02,72
2006-07-09,96
2006-07-16,83
2006-07-23,94
2006-07-30,83
2006-08-06,86
2006-08-13,83
2006-08-20,85
2006-08-27,83
2006-09-03,55
2006-09-10,95
2006-09-17,85
2006-09-24,84
2006-10-01,70
2006-10-08,83
2006-10-15,82
2006-10-22,73
2006-10-29,73
2006-11-05,88
2006-11-12,83
2006-11-19,73
2006-11-26,69
2006-12-03,69
2006-12-10,89
2006-12-17,71
2006-12-24,49
2006-12-31,64
2007-01-07,78
2007-01-14,78
2007-01-21,83
2007-01-28,86
2007-02-04,69
2007-02-11,73
2007-02-18,76
2007-02-25,90
2007-03-04,90
2007-03-11,79
2007-03-18,78
2007-03-25,90
2007-04-01,85
2007-04-08,88
2007-04-15,77
2007-04-22,100
2007-04-29,82
2007-05-06,89
2007-05-13,90
2007-05-20,90
2007-05-27,72
2007-06-03,79
2007-06-10,72
2007-06-17,78
2007-06-24,88
2007-07-01,75
2007-07-08,82
2007-07-15,92
2007-07-22,93
2007-07-29,80
2007-08-05,78
2007-08-12,85
2007-08-19,70
2007-08-26,77
2007-09-02,82
2007-09-09,78
2007-09-16,91
2007-09-23,73
2007-09-30,92
2007-10-07,78
2007-10-14,75
2007-10-21,73
2007-10-28,80
2007-11-04,78
2007-11-11,77
2007-11-18,74
2007-11-25,76
2007-12-02,87
2007-12-09,77
2007-12-16,74
2007-12-23,50
2007-12-30,60
2008-01-06,82
2008-01-13,78
2008-01-20,74
2008-01-27,96
2008-02-03,89
2008-02-10,92
2008-02-17,80
2008-02-24,95
2008-03-02,83
2008-03-09,95
2008-03-16,82
2008-03-23,85
2008-03-30,88
2008-04-06,86
2008-04-13,90
2008-04-20,100
2008-04-27,84
2008-05-04,77
2008-05-11,80
2008-05-18,88
2008-05-25,71
2008-06-01,82
2008-06-08,84
2008-06-15,78
2008-06-22,81
2008-06-29,78
2008-07-06,82
2008-07-13,88
2008-07-20,79
2008-07-27,78
2008-08-03,71
2008-08-10,87
2008-08-17,83
2008-08-24,79
2008-08-31,66
2008-09-07,86
2008-09-14,87
2008-09-21,91
2008-09-28,79
2008-10-05,84
2008-10-12,74
2008-10-19,86
2008-10-26,81
2008-11-02,76
2008-11-09,86
2008-11-16,86
2008-11-23,68
2008-11-30,83
2008-12-07,77
2008-12-14,77
2008-12-21,53
2008-12-28,57
2009-01-04,76
2009-01-11,88
2009-01-18,82
2009-01-25,92
2009-02-01,81
2009-02-08,76
2009-02-15,84
2009-02-22,77
2009-03-01,87
2009-03-08,83
2009-03-15,81
2009-03-22,84
2009-03-29,93
2009-04-05,75
2009-04-12,89
2009-04-19,88
2009-04-26,94
2009-05-03,92
2009-05-10,100
2009-05-17,82
2009-05-24,79
2009-05-31,81
2009-06-07,100
2009-06-14,85
2009-06-21,89
2009-06-28,73
2009-07-05,83
2009-07-12,88
2009-07-19,84
2009-07-26,77
2009-08-02,80
2009-08-09,75
2009-08-16,79
2009-08-23,86
2009-08-30,78
2009-09-06,84
2009-09-13,78
2009-09-20,78
2009-09-27,87
2009-10-04,81
2009-10-11,77
2009-10-18,78
2009-10-25,90
2009-11-01,91
2009-11-08,85
2009-11-15,86
2009-11-22,63
2009-11-29,77
2009-12-06,85
2009-12-13,82
2009-12-20,54
2009-12-27,63
2010-01-03,73
2010-01-10,83
2010-01-17,95
2010-01-24,96
2010-01-31,96
2010-02-07,86
2010-02-14,87
2010-02-21,88
2010-02-28,94
2010-03-07,88
2010-03-14,82
2010-03-21,88
2010-03-28,97
2010-04-04,95
2010-04-11,85
2010-04-18,94
2010-04-25,87
2010-05-02,90
2010-05-09,94
2010-05-16,94
2010-05-23,79
2010-05-30,82
2010-06-06,98
2010-06-13,82
2010-06-20,87
2010-06-27,100
2010-07-04,84
2010-07-11,90
2010-07-18,78
2010-07-25,88
2010-08-01,82
2010-08-08,82
2010-08-15,81
2010-08-22,85
2010-08-29,83
2010-09-05,89
2010-09-12,88
2010-09-19,90
2010-09-26,91
2010-10-03,88
2010-10-10,86
2010-10-17,97
2010-10-24,99
2010-10-31,84
2010-11-07,84
2010-11-14,76
2010-11-21,69
2010-11-28,82
2010-12-05,95
2010-12-12,96
2010-12-19,61
2010-12-26,59
2011-01-02,78
2011-01-09,92
2011-01-16,87
2011-01-23,83
2011-01-30,93
2011-02-06,85
2011-02-13,96
2011-02-20,91
2011-02-27,93
2011-03-06,86
2011-03-13,85
2011-03-20,81
2011-03-27,94
2011-04-03,94
2011-04-10,95
2011-04-17,89
2011-04-24,96
2011-05-01,89
2011-05-08,81
2011-05-15,89
2011-05-22,89
2011-05-29,78
2011-06-05,88
2011-06-12,91
2011-06-19,91
2011-06-26,86
2011-07-03,81
2011-07-10,90
2011-07-17,96
2011-07-24,100
2011-07-31,85
2011-08-07,91
2011-08-14,91
2011-08-21,93
2011-08-28,86
2011-09-04,88
2011-09-11,96
2011-09-18,98
2011-09-25,96
2011-10-02,95
2011-10-09,90
2011-10-16,100
2011-10-23,95
2011-10-30,93
2011-11-06,97
2011-11-13,87
2011-11-20,67
2011-11-27,92
2011-12-04,88
2011-12-11,88
2011-12-18,72
2011-12-25,62
2012-01-01,77
2012-01-08,88
2012-01-15,86
2012-01-22,96
2012-01-29,90
2012-02-05,95
2012-02-12,87
2012-02-19,82
2012-02-26,92
2012-03-04,91
2012-03-11,84
2012-03-18,82
2012-03-25,94
2012-04-01,84
2012-04-08,89
2012-04-15,96
2012-04-22,94
2012-04-29,81
2012-05-06,88
2012-05-13,96
2012-05-20,73
2012-05-27,79
2012-06-03,96
2012-06-10,89
2012-06-17,82
2012-06-24,98
2012-07-01,73
2012-07-08,86
2012-07-15,87
2012-07-22,80
2012-07-29,96
2012-08-05,80
2012-08-12,92
2012-08-19,77
2012-08-26,97
2012-09-02,83
2012-09-09,91
2012-09-16,95
2012-09-23,100
2012-09-30,99
2012-10-07,95
2012-10-14,90
2012-10-21,84
2012-10-28,80
2012-11-04,85
2012-11-11,90
2012-11-18,71
2012-11-25,86
2012-12-02,82
2012-12-09,86
2012-12-16,68
2012-12-23,55
2012-12-30,70
2013-01-06,81
2013-01-13,86
2013-01-20,85
2013-01-27,99
2013-02-03,90
2013-02-10,94
2013-02-17,95
2013-02-24,88
2013-03-03,92
2013-03-10,99
2013-03-17,96
2013-03-24,94
2013-03-31,95
2013-04-07,92
2013-04-14,96
2013-04-21,98
2013-04-28,87
2013-05-05,92
2013-05-12,88
2013-05-19,93
2013-05-26,85
2013-06-02,98
2013-06-09,92
2013-06-16,88
2013-06-23,94
2013-06-30,70
2013-07-07,99
2013-07-14,89
2013-07-21,93
2013-07-28,89
2013-08-04,86
2013-08-11,84
2013-08-18,93
2013-08-25,96
2013-09-01,85
2013-09-08,94
2013-09-15,95
2013-09-22,95
2013-09-29,92
2013-10-06,93
2013-10-13,94
2013-10-20,100
2013-10-27,90
2013-11-03,90
2013-11-10,88
2013-11-17,94
2013-11-24,81
2013-12-01,94
2013-12-08,97
2013-12-15,89
2013-12-22,62
2013-12-29,68
2014-01-05,86
2014-01-12,93
2014-01-19,89
2014-01-26,92
2014-02-02,96
2014-02-09,96
2014-02-16,90
2014-02-23,99
2014-03-02,93
2014-03-09,93
2014-03-16,92
2014-03-23,92
2014-03-30,85
2014-04-06,90
2014-04-13,89
2014-04-20,90
2014-04-27,90
2014-05-04,91
2014-05-11,94
2014-05-18,91
2014-05-25,91
2014-06-01,91
2014-06-08,92
2014-06-15,98
2014-06-22,95
2014-06-29,83
2014-07-06,91
2014-07-13,85
2014-07-20,95
2014-07-27,94
2014-08-03,90
2014-08-10,88
2014-08-17,89
2014-08-24,93
2014-08-31,93
2014-09-07,100
2014-09-14,96
2014-09-21,94
2014-09-28,99
2014-10-05,97
2014-10-12,94
2014-10-19,88
2014-10-26,92
2014-11-02,99
2014-11-09,92
2014-11-16,87
2014-11-23,62
2014-11-30,92
2014-12-07,99
2014-12-14,93
2014-12-21,58
2014-12-28,72
2015-01-04,82
2015-01-11,84
2015-01-18,81
2015-01-25,88
2015-02-01,88
2015-02-08,89
2015-02-15,83
2015-02-22,85
2015-03-01,91
2015-03-08,90
2015-03-15,82
2015-03-22,92
2015-03-29,97
2015-04-05,92
2015-04-12,85
2015-04-19,89
2015-04-26,86
2015-05-03,93
2015-05-10,92
2015-05-17,84
2015-05-24,78
2015-05-31,94
2015-06-07,93
2015-06-14,88
2015-06-21,90
2015-06-28,91
2015-07-05,96
2015-07-12,92
2015-07-19,99
2015-07-26,92
2015-08-02,88
2015-08-09,93
2015-08-16,93
2015-08-23,89
2015-08-30,95
2015-09-06,86
2015-09-13,99
2015-09-20,94
2015-09-27,100
2015-10-04,89
2015-10-11,88
2015-10-18,97
2015-10-25,88
2015-11-01,94
2015-11-08,85
2015-11-15,89
2015-11-22,70
2015-11-29,89
2015-12-06,90
2015-12-13,94
2015-12-20,66
2015-12-27,65
2016-01-03,84
2016-01-10,85
2016-01-17,92
2016-01-24,96
2016-01-31,97
2016-02-07,92
2016-02-14,98
2016-02-21,91
2016-02-28,96
2016-03-06,98
2016-03-13,90
2016-03-20,90
2016-03-27,91
2016-04-03,97
2016-04-10,94
2016-04-17,96
2016-04-24,91
2016-05-01,95
2016-05-08,97
