date,alphabet
2004-01-04,79
2004-01-11,85
2004-01-18,77
2004-01-25,84
2004-02-01,84
2004-02-08,90
2004-02-15,70
2004-02-22,97
2004-02-29,88
2004-03-07,89
2004-03-14,67
2004-03-21,75
2004-03-28,77
2004-04-04,63
2004-04-11,84
2004-04-18,73
2004-04-25,87
2004-05-02,77
2004-05-09,73
2004-05-16,79
2004-05-23,68
2004-05-30,67
2004-06-06,58
2004-06-13,56
2004-06-20,64
2004-06-27,52
2004-07-04,59
2004-07-11,64
2004-07-18,59
2004-07-25,69
2004-08-01,60
2004-08-08,81
2004-08-15,78
2004-08-22,74
2004-08-29,87
2004-09-05,100
2004-09-12,94
2004-09-19,82
2004-09-26,92
2004-10-03,94
2004-10-10,74
2004-10-17,75
2004-10-24,71
2004-10-31,78
2004-11-07,72
2004-11-14,83
2004-11-21,67
2004-11-28,80
2004-12-05,71
2004-12-12,70
2004-12-19,68
2004-12-26,59
2005-01-02,61
2005-01-09,61
2005-01-16,60
2005-01-23,62
2005-01-30,64
2005-02-06,67
2005-02-13,51
2005-02-20,58
2005-02-27,72
2005-03-06,62
2005-03-13,57
2005-03-20,62
2005-03-27,45
2005-04-03,56
2005-04-10,52
2005-04-17,56
2005-04-24,65
2005-05-01,62
2005-05-08,55
2005-05-15,53
2005-05-22,46
2005-05-29,50
2005-06-05,58
2005-06-12,39
2005-06-19,36
2005-06-26,43
2005-07-03,40
2005-07-10,44
2005-07-17,45
2005-07-24,37
2005-07-31,46
2005-08-07,44
2005-08-14,52
2005-08-21,56
2005-08-28,67
2005-09-04,74
2005-09-11,59
2005-09-18,78
2005-09-25,77
2005-10-02,71
2005-10-09,69
2005-10-16,81
2005-10-23,100
2005-10-30,75
2005-11-06,55
2005-11-13,73
2005-11-20,65
2005-11-27,76
2005-12-04,59
2005-12-11,63
2005-12-18,44
2005-12-25,46
2006-01-01,74
2006-01-08,73
2006-01-15,70
2006-01-22,78
2006-01-29,77
2006-02-05,76
2006-02-12,76
2006-02-19,70
2006-02-26,71
2006-03-05,63
2006-03-12,65
2006-03-19,76
2006-03-26,80
2006-04-02,76
2006-04-09,77
2006-04-16,69
2006-04-23,63
2006-04-30,72
2006-05-07,69
2006-05-14,61
2006-05-21,56
2006-05-28,54
2006-06-04,59
2006-06-11,60
2006-06-18,50
2006-06-25,55
2006-07-02,54
2006-07-09,48
2006-07-16,57
2006-07-23,54
2006-07-30,45
2006-08-06,62
2006-08-13,55
2006-08-20,65
2006-08-27,75
2006-09-03,81
2006-09-10,82
2006-09-17,100
2006-09-24,79
2006-10-01,73
2006-10-08,75
2006-10-15,68
2006-10-22,73
2006-10-29,72
