date,house
2004-01-04,87
2004-01-11,91
2004-01-18,90
2004-01-25,85
2004-02-01,82
2004-02-08,89
2004-02-15,86
2004-02-22,87
2004-02-29,90
2004-03-07,95
2004-03-14,86
2004-03-21,89
2004-03-28,93
2004-04-04,89
2004-04-11,90
2004-04-18,88
2004-04-25,88
2004-05-02,86
2004-05-09,89
2004-05-16,89
2004-05-23,89
2004-05-30,89
2004-06-06,90
2004-06-13,92
2004-06-20,92
2004-06-27,89
2004-07-04,89
2004-07-11,92
2004-07-18,89
2004-07-25,87
2004-08-01,89
2004-08-08,92
2004-08-15,85
2004-08-22,88
2004-08-29,86
2004-09-05,83
2004-09-12,86
2004-09-19,85
2004-09-26,88
2004-10-03,92
2004-10-10,89
2004-10-17,89
2004-10-24,100
2004-10-31,87
2004-11-07,87
2004-11-14,85
2004-11-21,83
2004-11-28,84
2004-12-05,84
2004-12-12,86
2004-12-19,82
2004-12-26,82
2005-01-02,91
2005-01-09,89
2005-01-16,92
2005-01-23,91
2005-01-30,90
2005-02-06,90
2005-02-13,90
2005-02-20,88
2005-02-27,89
2005-03-06,92
2005-03-13,90
2005-03-20,88
2005-03-27,94
2005-04-03,93
2005-04-10,94
2005-04-17,97
2005-04-24,94
2005-05-01,100
2005-05-08,97
2005-05-15,96
2005-05-22,89
2005-05-29,90
2005-06-05,88
2005-06-12,89
2005-06-19,95
2005-06-26,89
2005-07-03,92
2005-07-10,92
2005-07-17,92
2005-07-24,94
2005-07-31,92
2005-08-07,92
2005-08-14,90
2005-08-21,92
2005-08-28,84
2005-09-04,88
2005-09-11,90
2005-09-18,87
2005-09-25,93
2005-10-02,94
2005-10-09,93
2005-10-16,94
2005-10-23,98
2005-10-30,94
2005-11-06,91
2005-11-13,89
2005-11-20,83
2005-11-27,87
2005-12-04,87
2005-12-11,88
2005-12-18,86
2005-12-25,89
2006-01-01,91
2006-01-08,91
2006-01-15,89
2006-01-22,90
2006-01-29,91
2006-02-05,89
2006-02-12,90
2006-02-19,92
2006-02-26,89
2006-03-05,89
2006-03-12,89
2006-03-19,89
2006-03-26,89
2006-04-02,90
2006-04-09,90
2006-04-16,90
2006-04-23,89
2006-04-30,100
2006-05-07,93
2006-05-14,94
2006-05-21,93
2006-05-28,91
2006-06-04,89
2006-06-11,94
2006-06-18,94
2006-06-25,92
2006-07-02,91
2006-07-09,92
2006-07-16,93
2006-07-23,96
2006-07-30,91
2006-08-06,90
2006-08-13,91
2006-08-20,89
2006-08-27,87
2006-09-03,92
2006-09-10,89
2006-09-17,89
2006-09-24,92
2006-10-01,98
2006-10-08,97
2006-10-15,96
2006-10-22,100
2006-10-29,98
2006-11-05,99
2006-11-12,88
2006-11-19,83
2006-11-26,86
2006-12-03,89
2006-12-10,85
2006-12-17,83
2006-12-24,85
2006-12-31,88
2007-01-07,93
2007-01-14,91
2007-01-21,90
2007-01-28,91
2007-02-04,88
2007-02-11,90
2007-02-18,90
2007-02-25,89
2007-03-04,92
2007-03-11,88
2007-03-18,91
2007-03-25,91
2007-04-01,93
2007-04-08,90
2007-04-15,89
2007-04-22,92
2007-04-29,93
2007-05-06,95
2007-05-13,93
2007-05-20,94
2007-05-27,96
2007-06-03,94
2007-06-10,93
2007-06-17,91
2007-06-24,92
2007-07-01,93
2007-07-08,94
2007-07-15,93
2007-07-22,92
2007-07-29,93
2007-08-05,93
2007-08-12,89
2007-08-19,89
2007-08-26,88
