date,credit
2004-01-04,90
2004-01-11,90
2004-01-18,91
2004-01-25,89
2004-02-01,84
2004-02-08,80
2004-02-15,88
2004-02-22,84
2004-02-29,92
2004-03-07,88
2004-03-14,91
2004-03-21,81
2004-03-28,86
2004-04-04,89
2004-04-11,91
2004-04-18,83
2004-04-25,88
2004-05-02,86
2004-05-09,82
2004-05-16,85
2004-05-23,86
2004-05-30,88
2004-06-06,91
2004-06-13,92
2004-06-20,95
2004-06-27,93
2004-07-04,92
2004-07-11,97
2004-07-18,98
2004-07-25,94
2004-08-01,100
2004-08-08,94
2004-08-15,93
2004-08-22,95
2004-08-29,93
2004-09-05,91
2004-09-12,88
2004-09-19,89
2004-09-26,88
2004-10-03,89
2004-10-10,84
2004-10-17,85
2004-10-24,84
2004-10-31,83
2004-11-07,80
2004-11-14,86
2004-11-21,82
2004-11-28,95
2004-12-05,87
2004-12-12,81
2004-12-19,87
2004-12-26,94
2005-01-02,88
2005-01-09,83
2005-01-16,85
2005-01-23,85
2005-01-30,85
2005-02-06,85
2005-02-13,84
2005-02-20,87
2005-02-27,95
2005-03-06,92
2005-03-13,86
2005-03-20,89
2005-03-27,82
2005-04-03,79
2005-04-10,94
2005-04-17,84
2005-04-24,81
2005-05-01,81
2005-05-08,81
2005-05-15,85
2005-05-22,84
2005-05-29,92
2005-06-05,88
2005-06-12,90
2005-06-19,96
2005-06-26,93
2005-07-03,92
2005-07-10,92
2005-07-17,93
2005-07-24,92
2005-07-31,100
2005-08-07,94
2005-08-14,94
2005-08-21,93
2005-08-28,94
2005-09-04,89
2005-09-11,88
2005-09-18,85
2005-09-25,86
2005-10-02,83
2005-10-09,86
2005-10-16,80
2005-10-23,82
2005-10-30,81
2005-11-06,78
2005-11-13,82
2005-11-20,72
2005-11-27,81
2005-12-04,73
2005-12-11,76
2005-12-18,80
2005-12-25,89
2006-01-01,92
2006-01-08,90
2006-01-15,89
2006-01-22,88
2006-01-29,94
2006-02-05,85
2006-02-12,86
2006-02-19,88
2006-02-26,89
2006-03-05,85
2006-03-12,90
2006-03-19,88
2006-03-26,91
2006-04-02,91
2006-04-09,90
2006-04-16,88
2006-04-23,87
2006-04-30,84
2006-05-07,83
2006-05-14,86
2006-05-21,88
2006-05-28,91
2006-06-04,89
2006-06-11,96
2006-06-18,93
2006-06-25,99
2006-07-02,93
2006-07-09,98
2006-07-16,100
2006-07-23,97
2006-07-30,98
2006-08-06,97
2006-08-13,96
2006-08-20,93
2006-08-27,90
2006-09-03,87
2006-09-10,88
2006-09-17,88
2006-09-24,91
2006-10-01,88
2006-10-08,87
2006-10-15,87
2006-10-22,86
2006-10-29,88
2006-11-05,85
2006-11-12,86
2006-11-19,79
2006-11-26,90
2006-12-03,87
2006-12-10,87
2006-12-17,84
2006-12-24,95
2006-12-31,98
2007-01-07,92
2007-01-14,90
2007-01-21,93
2007-01-28,98
2007-02-04,94
2007-02-11,90
2007-02-18,94
2007-02-25,95
2007-03-04,93
2007-03-11,92
2007-03-18,91
2007-03-25,93
2007-04-01,96
2007-04-08,96
2007-04-15,92
2007-04-22,89
2007-04-29,91
2007-05-06,87
2007-05-13,90
2007-05-20,88
2007-05-27,90
2007-06-03,91
2007-06-10,94
2007-06-17,94
2007-06-24,100
2007-07-01,95
2007-07-08,100
2007-07-15,96
2007-07-22,98
2007-07-29,99
2007-08-05,100
2007-08-12,98
2007-08-19,94
2007-08-26,96
2007-09-02,91
2007-09-09,91
2007-09-16,91
2007-09-23,90
2007-09-30,91
2007-10-07,88
2007-10-14,86
2007-10-21,83
2007-10-28,88
2007-11-04,88
2007-11-11,87
2007-11-18,81
2007-11-25,88
2007-12-02,86
2007-12-09,84
2007-12-16,87
2007-12-23,91
2007-12-30,99
2008-01-06,87
2008-01-13,88
2008-01-20,89
2008-01-27,92
2008-02-03,87
2008-02-10,86
2008-02-17,83
2008-02-24,88
2008-03-02,86
2008-03-09,84
2008-03-16,89
2008-03-23,89
2008-03-30,89
2008-04-06,87
2008-04-13,86
2008-04-20,83
2008-04-27,91
2008-05-04,87
2008-05-11,85
2008-05-18,81
2008-05-25,83
2008-06-01,82
2008-06-08,85
2008-06-15,85
2008-06-22,87
2008-06-29,85
2008-07-06,87
2008-07-13,89
2008-07-20,85
2008-07-27,88
2008-08-03,90
2008-08-10,85
2008-08-17,83
2008-08-24,85
2008-08-31,85
2008-09-07,82
2008-09-14,91
2008-09-21,89
2008-09-28,90
2008-10-05,89
2008-10-12,85
2008-10-19,81
2008-10-26,83
2008-11-02,79
2008-11-09,83
2008-11-16,81
2008-11-23,79
2008-11-30,88
2008-12-07,80
2008-12-14,85
2008-12-21,81
2008-12-28,100
2009-01-04,96
2009-01-11,96
2009-01-18,92
2009-01-25,94
2009-02-01,100
2009-02-08,98
2009-02-15,98
2009-02-22,97
2009-03-01,97
2009-03-08,94
2009-03-15,94
2009-03-22,93
2009-03-29,96
2009-04-05,94
2009-04-12,98
2009-04-19,88
2009-04-26,87
2009-05-03,88
2009-05-10,90
2009-05-17,90
2009-05-24,88
2009-05-31,88
2009-06-07,89
2009-06-14,93
2009-06-21,91
2009-06-28,94
2009-07-05,94
2009-07-12,97
2009-07-19,92
2009-07-26,94
2009-08-02,96
2009-08-09,94
2009-08-16,96
2009-08-23,93
2009-08-30,97
2009-09-06,86
2009-09-13,86
2009-09-20,85
2009-09-27,91
2009-10-04,89
2009-10-11,87
