date,loss
2004-01-04,89
2004-01-11,84
2004-01-18,100
2004-01-25,86
2004-02-01,80
2004-02-08,82
2004-02-15,92
2004-02-22,81
2004-02-29,92
2004-03-07,98
2004-03-14,93
2004-03-21,81
2004-03-28,85
2004-04-04,94
2004-04-11,78
2004-04-18,76
2004-04-25,88
2004-05-02,79
2004-05-09,79
2004-05-16,83
2004-05-23,89
2004-05-30,88
2004-06-06,83
2004-06-13,84
2004-06-20,86
2004-06-27,83
2004-07-04,94
2004-07-11,88
2004-07-18,84
2004-07-25,84
2004-08-01,85
2004-08-08,75
2004-08-15,86
2004-08-22,85
2004-08-29,79
2004-09-05,86
2004-09-12,77
2004-09-19,84
2004-09-26,81
2004-10-03,83
2004-10-10,82
2004-10-17,77
2004-10-24,79
2004-10-31,78
2004-11-07,84
2004-11-14,85
2004-11-21,71
2004-11-28,79
2004-12-05,86
2004-12-12,74
2004-12-19,62
2004-12-26,90
2005-01-02,100
2005-01-09,94
2005-01-16,91
2005-01-23,80
2005-01-30,84
2005-02-06,79
2005-02-13,89
2005-02-20,95
2005-02-27,83
2005-03-06,87
2005-03-13,82
2005-03-20,87
2005-03-27,79
2005-04-03,83
2005-04-10,89
2005-04-17,95
2005-04-24,85
2005-05-01,82
2005-05-08,92
2005-05-15,92
2005-05-22,81
2005-05-29,81
2005-06-05,86
2005-06-12,91
2005-06-19,81
2005-06-26,78
2005-07-03,81
2005-07-10,83
2005-07-17,93
2005-07-24,84
2005-07-31,87
2005-08-07,83
2005-08-14,80
2005-08-21,76
2005-08-28,67
2005-09-04,77
2005-09-11,79
2005-09-18,80
2005-09-25,82
2005-10-02,79
2005-10-09,83
2005-10-16,82
2005-10-23,76
2005-10-30,75
2005-11-06,81
2005-11-13,82
2005-11-20,71
2005-11-27,79
2005-12-04,73
2005-12-11,70
2005-12-18,58
2005-12-25,84
2006-01-01,100
2006-01-08,87
2006-01-15,85
2006-01-22,88
2006-01-29,76
2006-02-05,70
2006-02-12,75
2006-02-19,88
2006-02-26,91
2006-03-05,78
2006-03-12,79
2006-03-19,75
2006-03-26,83
2006-04-02,77
2006-04-09,75
2006-04-16,81
2006-04-23,76
2006-04-30,73
2006-05-07,81
2006-05-14,75
2006-05-21,74
2006-05-28,78
2006-06-04,70
2006-06-11,79
2006-06-18,72
2006-06-25,79
2006-07-02,71
2006-07-09,84
2006-07-16,80
2006-07-23,78
2006-07-30,70
2006-08-06,73
2006-08-13,70
2006-08-20,69
2006-08-27,67
2006-09-03,68
2006-09-10,73
2006-09-17,72
2006-09-24,80
2006-10-01,72
2006-10-08,76
2006-10-15,77
2006-10-22,73
2006-10-29,75
2006-11-05,74
2006-11-12,66
2006-11-19,61
2006-11-26,64
2006-12-03,62
2006-12-10,66
2006-12-17,65
2006-12-24,77
2006-12-31,91
2007-01-07,87
2007-01-14,80
2007-01-21,83
2007-01-28,81
2007-02-04,86
2007-02-11,77
2007-02-18,86
2007-02-25,83
2007-03-04,85
2007-03-11,83
2007-03-18,87
2007-03-25,87
2007-04-01,83
2007-04-08,86
2007-04-15,84
2007-04-22,87
2007-04-29,88
2007-05-06,85
2007-05-13,83
2007-05-20,83
2007-05-27,90
2007-06-03,83
2007-06-10,89
2007-06-17,90
2007-06-24,85
2007-07-01,88
2007-07-08,92
2007-07-15,90
2007-07-22,90
2007-07-29,83
2007-08-05,89
2007-08-12,79
2007-08-19,83
2007-08-26,76
2007-09-02,82
2007-09-09,83
2007-09-16,81
2007-09-23,81
2007-09-30,78
2007-10-07,85
2007-10-14,78
2007-10-21,81
2007-10-28,79
2007-11-04,81
2007-11-11,77
2007-11-18,69
2007-11-25,76
2007-12-02,71
2007-12-09,68
2007-12-16,64
2007-12-23,73
2007-12-30,100
2008-01-06,98
2008-01-13,86
2008-01-20,86
2008-01-27,85
2008-02-03,87
2008-02-10,80
2008-02-17,83
2008-02-24,84
2008-03-02,86
2008-03-09,87
2008-03-16,84
2008-03-23,97
2008-03-30,97
2008-04-06,88
2008-04-13,89
2008-04-20,90
2008-04-27,82
2008-05-04,82
2008-05-11,76
2008-05-18,77
2008-05-25,78
2008-06-01,78
2008-06-08,76
2008-06-15,83
2008-06-22,83
2008-06-29,74
2008-07-06,84
2008-07-13,81
2008-07-20,79
2008-07-27,77
2008-08-03,77
2008-08-10,76
2008-08-17,75
2008-08-24,73
2008-08-31,74
2008-09-07,77
2008-09-14,81
2008-09-21,80
2008-09-28,80
2008-10-05,80
2008-10-12,81
2008-10-19,81
2008-10-26,78
2008-11-02,77
2008-11-09,84
2008-11-16,79
2008-11-23,69
2008-11-30,82
2008-12-07,75
2008-12-14,72
2008-12-21,70
2008-12-28,100
2009-01-04,100
2009-01-11,93
2009-01-18,83
2009-01-25,86
2009-02-01,90
2009-02-08,81
2009-02-15,79
2009-02-22,85
2009-03-01,82
2009-03-08,82
2009-03-15,86
2009-03-22,88
2009-03-29,84
2009-04-05,86
2009-04-12,87
2009-04-19,84
2009-04-26,83
2009-05-03,81
2009-05-10,79
2009-05-17,82
2009-05-24,84
2009-05-31,86
2009-06-07,82
2009-06-14,81
2009-06-21,84
2009-06-28,76
2009-07-05,85
2009-07-12,84
2009-07-19,86
2009-07-26,92
2009-08-02,92
2009-08-09,86
2009-08-16,84
2009-08-23,81
2009-08-30,80
2009-09-06,80
2009-09-13,80
2009-09-20,86
2009-09-27,85
2009-10-04,83
2009-10-11,87
2009-10-18,85
2009-10-25,80
2009-11-01,79
2009-11-08,83
2009-11-15,79
2009-11-22,68
2009-11-29,80
2009-12-06,77
2009-12-13,70
2009-12-20,69
2009-12-27,97
2010-01-03,92
2010-01-10,83
2010-01-17,81
2010-01-24,80
2010-01-31,77
2010-02-07,75
2010-02-14,81
2010-02-21,80
2010-02-28,84
2010-03-07,80
2010-03-14,78
2010-03-21,81
2010-03-28,80
2010-04-04,84
2010-04-11,79
2010-04-18,78
2010-04-25,76
2010-05-02,77
2010-05-09,74
2010-05-16,75
2010-05-23,100
2010-05-30,94
2010-06-06,79
2010-06-13,73
2010-06-20,73
2010-06-27,74
2010-07-04,69
2010-07-11,70
2010-07-18,70
2010-07-25,71
2010-08-01,72
2010-08-08,67
2010-08-15,68
2010-08-22,66
2010-08-29,62
2010-09-05,65
2010-09-12,66
2010-09-19,71
2010-09-26,69
2010-10-03,65
2010-10-10,66
2010-10-17,67
2010-10-24,67
2010-10-31,66
2010-11-07,67
2010-11-14,64
2010-11-21,54
2010-11-28,64
2010-12-05,58
2010-12-12,57
2010-12-19,51
2010-12-26,70
2011-01-02,100
2011-01-09,90
2011-01-16,92
2011-01-23,89
2011-01-30,81
2011-02-06,84
2011-02-13,86
2011-02-20,84
2011-02-27,87
2011-03-06,86
2011-03-13,81
2011-03-20,86
2011-03-27,83
2011-04-03,84
2011-04-10,89
2011-04-17,86
2011-04-24,84
2011-05-01,86
2011-05-08,90
2011-05-15,82
