date,movie
2004-01-04,82
2004-01-11,79
2004-01-18,78
2004-01-25,77
2004-02-01,70
2004-02-08,70
2004-02-15,77
2004-02-22,81
2004-02-29,73
2004-03-07,76
2004-03-14,71
2004-03-21,79
2004-03-28,71
2004-04-04,72
2004-04-11,68
2004-04-18,67
2004-04-25,70
2004-05-02,71
2004-05-09,71
2004-05-16,76
2004-05-23,78
2004-05-30,86
2004-06-06,81
2004-06-13,79
2004-06-20,85
2004-06-27,88
2004-07-04,89
2004-07-11,81
2004-07-18,77
2004-07-25,81
2004-08-01,80
2004-08-08,78
2004-08-15,72
2004-08-22,71
2004-08-29,70
2004-09-05,73
2004-09-12,68
2004-09-19,68
2004-09-26,65
2004-10-03,69
2004-10-10,71
2004-10-17,71
2004-10-24,75
2004-10-31,75
2004-11-07,90
2004-11-14,71
2004-11-21,86
2004-11-28,74
2004-12-05,75
2004-12-12,78
2004-12-19,91
2004-12-26,100
2005-01-02,73
2005-01-09,67
2005-01-16,69
2005-01-23,65
2005-01-30,63
2005-02-06,61
2005-02-13,64
2005-02-20,66
2005-02-27,62
2005-03-06,63
2005-03-13,61
2005-03-20,64
2005-03-27,66
2005-04-03,66
2005-04-10,58
2005-04-17,59
2005-04-24,61
2005-05-01,62
2005-05-08,64
2005-05-15,72
2005-05-22,69
2005-05-29,72
2005-06-05,71
2005-06-12,69
2005-06-19,74
2005-06-26,71
2005-07-03,72
2005-07-10,69
2005-07-17,73
2005-07-24,69
2005-07-31,69
2005-08-07,67
2005-08-14,66
2005-08-21,63
2005-08-28,57
2005-09-04,61
2005-09-11,58
2005-09-18,58
2005-09-25,61
2005-10-02,64
2005-10-09,65
2005-10-16,65
2005-10-23,69
2005-10-30,72
2005-11-06,73
2005-11-13,72
2005-11-20,84
2005-11-27,67
2005-12-04,65
2005-12-11,69
2005-12-18,76
2005-12-25,100
2006-01-01,94
2006-01-08,83
2006-01-15,78
2006-01-22,73
2006-01-29,71
2006-02-05,67
2006-02-12,71
2006-02-19,74
2006-02-26,70
2006-03-05,71
2006-03-12,64
2006-03-19,67
2006-03-26,67
2006-04-02,68
2006-04-09,67
2006-04-16,70
2006-04-23,66
2006-04-30,67
2006-05-07,66
2006-05-14,71
2006-05-21,74
2006-05-28,79
2006-06-04,76
2006-06-11,76
2006-06-18,77
2006-06-25,79
2006-07-02,86
2006-07-09,78
2006-07-16,78
2006-07-23,75
2006-07-30,76
2006-08-06,77
2006-08-13,74
2006-08-20,70
2006-08-27,65
2006-09-03,64
2006-09-10,61
2006-09-17,64
2006-09-24,64
2006-10-01,63
2006-10-08,69
2006-10-15,67
2006-10-22,72
2006-10-29,75
2006-11-05,72
2006-11-12,72
2006-11-19,86
2006-11-26,68
2006-12-03,67
2006-12-10,69
2006-12-17,76
2006-12-24,100
2006-12-31,80
2007-01-07,67
2007-01-14,68
2007-01-21,67
2007-01-28,64
2007-02-04,59
2007-02-11,62
2007-02-18,68
2007-02-25,64
2007-03-04,66
2007-03-11,66
2007-03-18,66
2007-03-25,60
2007-04-01,64
2007-04-08,62
2007-04-15,55
2007-04-22,54
2007-04-29,61
2007-05-06,58
2007-05-13,59
2007-05-20,64
2007-05-27,69
2007-06-03,68
2007-06-10,65
2007-06-17,68
2007-06-24,71
2007-07-01,93
2007-07-08,86
2007-07-15,79
2007-07-22,81
2007-07-29,78
2007-08-05,77
2007-08-12,69
2007-08-19,68
2007-08-26,61
2007-09-02,64
2007-09-09,59
2007-09-16,58
2007-09-23,58
2007-09-30,58
2007-10-07,60
2007-10-14,63
2007-10-21,62
2007-10-28,68
2007-11-04,64
2007-11-11,62
2007-11-18,78
2007-11-25,61
2007-12-02,63
2007-12-09,67
2007-12-16,73
2007-12-23,100
2007-12-30,89
2008-01-06,68
2008-01-13,73
2008-01-20,76
2008-01-27,67
2008-02-03,61
2008-02-10,66
2008-02-17,67
2008-02-24,63
2008-03-02,61
2008-03-09,62
2008-03-16,64
2008-03-23,66
2008-03-30,64
2008-04-06,62
2008-04-13,59
2008-04-20,62
2008-04-27,64
2008-05-04,65
2008-05-11,64
2008-05-18,68
2008-05-25,81
2008-06-01,76
2008-06-08,72
2008-06-15,72
2008-06-22,73
2008-06-29,78
2008-07-06,72
2008-07-13,77
2008-07-20,81
2008-07-27,74
2008-08-03,70
2008-08-10,66
2008-08-17,62
2008-08-24,62
2008-08-31,62
2008-09-07,58
2008-09-14,61
2008-09-21,61
2008-09-28,62
2008-10-05,65
2008-10-12,66
2008-10-19,67
2008-10-26,63
2008-11-02,65
2008-11-09,69
2008-11-16,73
2008-11-23,85
2008-11-30,64
2008-12-07,64
2008-12-14,68
2008-12-21,97
2008-12-28,100
2009-01-04,67
2009-01-11,67
2009-01-18,67
2009-01-25,61
2009-02-01,65
2009-02-08,64
2009-02-15,64
2009-02-22,63
2009-03-01,62
2009-03-08,57
2009-03-15,58
2009-03-22,61
2009-03-29,62
2009-04-05,65
2009-04-12,64
2009-04-19,61
2009-04-26,59
2009-05-03,62
2009-05-10,60
2009-05-17,61
2009-05-24,71
2009-05-31,76
2009-06-07,67
2009-06-14,68
2009-06-21,75
2009-06-28,72
2009-07-05,69
2009-07-12,72
2009-07-19,71
2009-07-26,69
2009-08-02,66
2009-08-09,69
2009-08-16,68
2009-08-23,63
2009-08-30,57
2009-09-06,63
2009-09-13,58
2009-09-20,59
2009-09-27,60
2009-10-04,61
2009-10-11,66
2009-10-18,65
2009-10-25,66
2009-11-01,68
2009-11-08,71
2009-11-15,76
2009-11-22,85
2009-11-29,62
2009-12-06,61
2009-12-13,66
2009-12-20,91
2009-12-27,100
2010-01-03,89
2010-01-10,81
2010-01-17,89
2010-01-24,79
2010-01-31,80
2010-02-07,81
2010-02-14,85
2010-02-21,74
2010-02-28,77
2010-03-07,83
2010-03-14,79
2010-03-21,75
2010-03-28,81
2010-04-04,75
2010-04-11,67
2010-04-18,70
2010-04-25,71
2010-05-02,72
