date,microsoft
2004-01-04,70
2004-01-11,77
2004-01-18,80
2004-01-25,80
2004-02-01,76
2004-02-08,93
2004-02-15,78
2004-02-22,74
2004-02-29,73
2004-03-07,78
2004-03-14,72
2004-03-21,66
2004-03-28,73
2004-04-04,71
2004-04-11,76
2004-04-18,70
2004-04-25,76
2004-05-02,100
2004-05-09,75
2004-05-16,72
2004-05-23,70
2004-05-30,67
2004-06-06,72
2004-06-13,72
2004-06-20,77
2004-06-27,77
2004-07-04,70
2004-07-11,74
2004-07-18,72
2004-07-25,73
2004-08-01,70
2004-08-08,72
2004-08-15,71
2004-08-22,76
2004-08-29,76
2004-09-05,71
2004-09-12,77
2004-09-19,76
2004-09-26,70
2004-10-03,73
2004-10-10,74
2004-10-17,67
2004-10-24,68
2004-10-31,66
2004-11-07,77
2004-11-14,66
2004-11-21,62
2004-11-28,69
2004-12-05,66
2004-12-12,67
2004-12-19,64
2004-12-26,66
2005-01-02,85
2005-01-09,96
2005-01-16,89
2005-01-23,87
2005-01-30,85
2005-02-06,84
2005-02-13,86
2005-02-20,81
2005-02-27,81
2005-03-06,85
2005-03-13,77
2005-03-20,79
2005-03-27,78
2005-04-03,78
2005-04-10,79
2005-04-17,73
2005-04-24,78
2005-05-01,78
2005-05-08,76
2005-05-15,74
2005-05-22,74
2005-05-29,77
2005-06-05,77
2005-06-12,75
2005-06-19,75
2005-06-26,75
2005-07-03,74
2005-07-10,78
2005-07-17,79
2005-07-24,83
2005-07-31,89
2005-08-07,87
2005-08-14,100
2005-08-21,83
2005-08-28,80
2005-09-04,78
2005-09-11,84
2005-09-18,80
2005-09-25,80
2005-10-02,76
2005-10-09,77
2005-10-16,76
2005-10-23,74
2005-10-30,78
2005-11-06,77
2005-11-13,75
2005-11-20,75
2005-11-27,79
2005-12-04,77
2005-12-11,80
2005-12-18,73
2005-12-25,76
2006-01-01,100
2006-01-08,93
2006-01-15,84
2006-01-22,87
2006-01-29,89
2006-02-05,81
2006-02-12,84
2006-02-19,83
2006-02-26,89
2006-03-05,91
2006-03-12,83
2006-03-19,83
2006-03-26,80
2006-04-02,81
2006-04-09,80
2006-04-16,80
2006-04-23,79
2006-04-30,78
2006-05-07,77
2006-05-14,76
2006-05-21,75
2006-05-28,72
2006-06-04,74
2006-06-11,78
2006-06-18,79
2006-06-25,76
2006-07-02,73
2006-07-09,75
2006-07-16,78
2006-07-23,76
2006-07-30,75
2006-08-06,74
2006-08-13,79
2006-08-20,79
2006-08-27,80
2006-09-03,74
2006-09-10,82
2006-09-17,79
2006-09-24,82
2006-10-01,80
2006-10-08,81
2006-10-15,82
2006-10-22,80
2006-10-29,83
2006-11-05,84
2006-11-12,87
2006-11-19,77
2006-11-26,78
2006-12-03,81
2006-12-10,76
2006-12-17,73
2006-12-24,73
2006-12-31,79
2007-01-07,87
2007-01-14,84
2007-01-21,86
2007-01-28,100
2007-02-04,89
2007-02-11,84
2007-02-18,90
2007-02-25,87
2007-03-04,93
2007-03-11,89
2007-03-18,80
2007-03-25,78
2007-04-01,80
2007-04-08,77
2007-04-15,76
2007-04-22,75
2007-04-29,75
2007-05-06,76
2007-05-13,77
2007-05-20,74
2007-05-27,80
2007-06-03,78
2007-06-10,75
2007-06-17,73
2007-06-24,75
2007-07-01,71
2007-07-08,77
2007-07-15,74
2007-07-22,72
2007-07-29,74
2007-08-05,74
2007-08-12,75
2007-08-19,77
2007-08-26,77
2007-09-02,78
2007-09-09,79
2007-09-16,78
2007-09-23,80
2007-09-30,79
2007-10-07,77
2007-10-14,76
2007-10-21,78
2007-10-28,76
2007-11-04,76
2007-11-11,77
2007-11-18,70
2007-11-25,79
2007-12-02,76
2007-12-09,74
2007-12-16,72
2007-12-23,68
2007-12-30,73
2008-01-06,98
2008-01-13,96
2008-01-20,98
2008-01-27,100
2008-02-03,99
2008-02-10,96
2008-02-17,96
2008-02-24,97
2008-03-02,95
2008-03-09,93
2008-03-16,92
2008-03-23,88
2008-03-30,91
2008-04-06,93
2008-04-13,90
2008-04-20,88
2008-04-27,91
2008-05-04,90
2008-05-11,88
2008-05-18,92
2008-05-25,85
2008-06-01,85
2008-06-08,85
2008-06-15,82
2008-06-22,82
2008-06-29,82
2008-07-06,84
2008-07-13,86
2008-07-20,85
2008-07-27,85
2008-08-03,86
2008-08-10,85
2008-08-17,88
2008-08-24,94
2008-08-31,95
2008-09-07,95
2008-09-14,94
2008-09-21,93
2008-09-28,87
2008-10-05,87
2008-10-12,86
2008-10-19,91
2008-10-26,93
2008-11-02,84
2008-11-09,87
2008-11-16,87
2008-11-23,82
2008-11-30,91
2008-12-07,86
2008-12-14,91
2008-12-21,79
2008-12-28,83
2009-01-04,76
2009-01-11,77
2009-01-18,78
2009-01-25,75
2009-02-01,73
2009-02-08,70
2009-02-15,70
2009-02-22,70
2009-03-01,70
2009-03-08,67
2009-03-15,69
2009-03-22,69
2009-03-29,100
2009-04-05,66
2009-04-12,70
2009-04-19,67
2009-04-26,66
2009-05-03,66
2009-05-10,64
2009-05-17,63
2009-05-24,65
2009-05-31,71
2009-06-07,66
2009-06-14,63
2009-06-21,62
2009-06-28,59
2009-07-05,65
2009-07-12,65
2009-07-19,62
2009-07-26,63
2009-08-02,61
2009-08-09,65
2009-08-16,65
2009-08-23,70
2009-08-30,70
2009-09-06,68
2009-09-13,71
2009-09-20,71
2009-09-27,74
2009-10-04,72
2009-10-11,71
2009-10-18,79
2009-10-25,73
2009-11-01,73
2009-11-08,72
2009-11-15,72
2009-11-22,66
2009-11-29,73
2009-12-06,69
2009-12-13,65
2009-12-20,62
2009-12-27,64
2010-01-03,93
2010-01-10,98
2010-01-17,98
2010-01-24,100
2010-01-31,97
2010-02-07,94
2010-02-14,96
2010-02-21,96
2010-02-28,96
2010-03-07,95
2010-03-14,91
2010-03-21,90
2010-03-28,91
2010-04-04,91
2010-04-11,92
2010-04-18,91
2010-04-25,92
2010-05-02,85
2010-05-09,86
2010-05-16,84
2010-05-23,84
2010-05-30,82
2010-06-06,86
2010-06-13,93
2010-06-20,86
2010-06-27,82
2010-07-04,70
2010-07-11,75
2010-07-18,71
2010-07-25,73
2010-08-01,76
2010-08-08,74
2010-08-15,78
2010-08-22,80
2010-08-29,78
