date,oracle
2004-01-04,83
2004-01-11,86
2004-01-18,88
2004-01-25,83
2004-02-01,98
2004-02-08,89
2004-02-15,86
2004-02-22,86
2004-02-29,93
2004-03-07,89
2004-03-14,89
2004-03-21,74
2004-03-28,85
2004-04-04,83
2004-04-11,97
2004-04-18,86
2004-04-25,84
2004-05-02,90
2004-05-09,85
2004-05-16,84
2004-05-23,84
2004-05-30,82
2004-06-06,94
2004-06-13,87
2004-06-20,94
2004-06-27,96
2004-07-04,84
2004-07-11,91
2004-07-18,91
2004-07-25,100
2004-08-01,98
2004-08-08,93
2004-08-15,90
2004-08-22,99
2004-08-29,85
2004-09-05,82
2004-09-12,89
2004-09-19,88
2004-09-26,83
2004-10-03,85
2004-10-10,87
2004-10-17,84
2004-10-24,88
2004-10-31,77
2004-11-07,79
2004-11-14,85
2004-11-21,67
2004-11-28,84
2004-12-05,82
2004-12-12,85
2004-12-19,69
2004-12-26,56
2005-01-02,78
2005-01-09,97
2005-01-16,94
2005-01-23,92
2005-01-30,89
2005-02-06,91
2005-02-13,90
2005-02-20,90
2005-02-27,87
2005-03-06,93
2005-03-13,89
2005-03-20,86
2005-03-27,83
2005-04-03,86
2005-04-10,90
2005-04-17,84
2005-04-24,85
2005-05-01,88
2005-05-08,89
2005-05-15,96
2005-05-22,82
2005-05-29,83
2005-06-05,94
2005-06-12,100
2005-06-19,98
2005-06-26,93
2005-07-03,92
2005-07-10,90
2005-07-17,91
2005-07-24,97
2005-07-31,92
2005-08-07,89
2005-08-14,82
2005-08-21,89
2005-08-28,78
2005-09-04,77
2005-09-11,91
2005-09-18,92
2005-09-25,80
2005-10-02,86
2005-10-09,76
2005-10-16,82
2005-10-23,84
2005-10-30,85
2005-11-06,81
2005-11-13,76
2005-11-20,58
2005-11-27,83
2005-12-04,80
2005-12-11,75
2005-12-18,74
2005-12-25,51
2006-01-01,76
2006-01-08,93
2006-01-15,86
2006-01-22,91
2006-01-29,93
2006-02-05,96
2006-02-12,100
2006-02-19,90
2006-02-26,100
2006-03-05,93
2006-03-12,96
2006-03-19,100
2006-03-26,95
2006-04-02,95
2006-04-09,90
2006-04-16,93
2006-04-23,90
2006-04-30,88
2006-05-07,89
2006-05-14,91
2006-05-21,87
2006-05-28,81
2006-06-04,92
2006-06-11,94
2006-06-18,100
2006-06-25,88
2006-07-02,70
2006-07-09,94
2006-07-16,93
2006-07-23,92
2006-07-30,93
2006-08-06,92
2006-08-13,87
2006-08-20,88
2006-08-27,82
2006-09-03,76
2006-09-10,87
2006-09-17,89
2006-09-24,88
2006-10-01,84
2006-10-08,87
2006-10-15,89
2006-10-22,85
2006-10-29,84
2006-11-05,90
2006-11-12,82
2006-11-19,58
2006-11-26,79
2006-12-03,80
2006-12-10,75
2006-12-17,72
2006-12-24,48
2006-12-31,63
2007-01-07,94
2007-01-14,91
2007-01-21,87
2007-01-28,94
2007-02-04,94
2007-02-11,89
2007-02-18,89
2007-02-25,96
2007-03-04,100
2007-03-11,94
2007-03-18,97
2007-03-25,94
2007-04-01,90
2007-04-08,88
2007-04-15,85
2007-04-22,96
2007-04-29,89
2007-05-06,91
2007-05-13,96
2007-05-20,90
2007-05-27,82
2007-06-03,90
2007-06-10,93
2007-06-17,93
2007-06-24,94
2007-07-01,78
2007-07-08,98
2007-07-15,98
2007-07-22,98
2007-07-29,97
2007-08-05,96
2007-08-12,97
2007-08-19,95
2007-08-26,91
2007-09-02,86
2007-09-09,93
2007-09-16,95
2007-09-23,94
2007-09-30,95
2007-10-07,92
2007-10-14,95
2007-10-21,95
2007-10-28,98
2007-11-04,91
2007-11-11,93
2007-11-18,68
2007-11-25,82
2007-12-02,82
2007-12-09,82
2007-12-16,81
2007-12-23,50
2007-12-30,64
2008-01-06,95
2008-01-13,94
2008-01-20,89
2008-01-27,87
2008-02-03,95
2008-02-10,93
2008-02-17,87
2008-02-24,93
2008-03-02,95
2008-03-09,95
2008-03-16,92
2008-03-23,95
2008-03-30,96
2008-04-06,86
2008-04-13,94
2008-04-20,94
2008-04-27,92
2008-05-04,88
2008-05-11,92
2008-05-18,90
2008-05-25,78
2008-06-01,94
2008-06-08,96
2008-06-15,94
2008-06-22,89
2008-06-29,80
2008-07-06,92
2008-07-13,96
2008-07-20,90
2008-07-27,92
