date,housing
2010-10-24,72
2010-10-31,71
2010-11-07,72
2010-11-14,72
2010-11-21,58
2010-11-28,70
2010-12-05,71
2010-12-12,64
2010-12-19,50
2010-12-26,64
2011-01-02,89
2011-01-09,87
2011-01-16,88
2011-01-23,88
2011-01-30,86
2011-02-06,83
2011-02-13,84
2011-02-20,86
2011-02-27,94
2011-03-06,86
2011-03-13,82
2011-03-20,88
2011-03-27,100
2011-04-03,97
2011-04-10,98
2011-04-17,96
2011-04-24,93
2011-05-01,93
2011-05-08,94
2011-05-15,93
2011-05-22,86
2011-05-29,97
2011-06-05,94
2011-06-12,94
2011-06-19,89
2011-06-26,87
2011-07-03,89
2011-07-10,92
2011-07-17,92
2011-07-24,96
2011-07-31,99
2011-08-07,93
2011-08-14,99
2011-08-21,90
2011-08-28,82
2011-09-04,80
2011-09-11,81
2011-09-18,82
2011-09-25,81
2011-10-02,76
2011-10-09,80
2011-10-16,80
2011-10-23,79
2011-10-30,78
2011-11-06,74
2011-11-13,81
2011-11-20,58
2011-11-27,76
2011-12-04,75
2011-12-11,75
2011-12-18,64
2011-12-25,68
2012-01-01,86
2012-01-08,93
2012-01-15,86
2012-01-22,92
2012-01-29,94
2012-02-05,88
2012-02-12,88
2012-02-19,91
2012-02-26,93
2012-03-04,94
2012-03-11,90
2012-03-18,95
2012-03-25,95
2012-04-01,96
2012-04-08,92
2012-04-15,99
2012-04-22,100
2012-04-29,97
2012-05-06,95
2012-05-13,93
2012-05-20,90
2012-05-27,89
2012-06-03,95
2012-06-10,92
2012-06-17,93
2012-06-24,92
2012-07-01,81
2012-07-08,99
2012-07-15,95
2012-07-22,97
2012-07-29,96
2012-08-05,94
2012-08-12,95
2012-08-19,98
2012-08-26,89
2012-09-02,82
2012-09-09,82
2012-09-16,85
2012-09-23,86
2012-09-30,80
2012-10-07,78
2012-10-14,80
2012-10-21,75
2012-10-28,73
2012-11-04,75
2012-11-11,77
2012-11-18,58
2012-11-25,77
2012-12-02,77
2012-12-09,72
2012-12-16,62
2012-12-23,57
2012-12-30,74
2013-01-06,84
2013-01-13,81
2013-01-20,83
2013-01-27,87
2013-02-03,85
2013-02-10,80
2013-02-17,86
2013-02-24,87
2013-03-03,88
2013-03-10,90
2013-03-17,88
2013-03-24,88
2013-03-31,93
2013-04-07,95
2013-04-14,91
2013-04-21,94
2013-04-28,100
2013-05-05,95
2013-05-12,89
2013-05-19,84
2013-05-26,90
2013-06-02,92
2013-06-09,91
2013-06-16,85
2013-06-23,91
2013-06-30,78
2013-07-07,93
2013-07-14,95
2013-07-21,98
2013-07-28,92
2013-08-04,94
2013-08-11,92
2013-08-18,97
2013-08-25,85
2013-09-01,77
2013-09-08,80
2013-09-15,81
2013-09-22,81
2013-09-29,81
2013-10-06,77
2013-10-13,74
2013-10-20,78
2013-10-27,77
2013-11-03,79
2013-11-10,76
2013-11-17,78
2013-11-24,59
2013-12-01,73
2013-12-08,71
2013-12-15,69
2013-12-22,54
2013-12-29,73
2014-01-05,85
2014-01-12,90
2014-01-19,85
2014-01-26,86
2014-02-02,84
2014-02-09,82
2014-02-16,84
2014-02-23,88
