date,debt
2004-01-04,88
2004-01-11,97
2004-01-18,81
2004-01-25,79
2004-02-01,81
2004-02-08,76
2004-02-15,76
2004-02-22,100
2004-02-29,87
2004-03-07,87
2004-03-14,71
2004-03-21,66
2004-03-28,72
2004-04-04,93
2004-04-11,83
2004-04-18,85
2004-04-25,78
2004-05-02,92
2004-05-09,81
2004-05-16,75
2004-05-23,74
2004-05-30,81
2004-06-06,91
2004-06-13,90
2004-06-20,89
2004-06-27,72
2004-07-04,83
2004-07-11,87
2004-07-18,86
2004-07-25,79
2004-08-01,81
2004-08-08,79
2004-08-15,71
2004-08-22,82
2004-08-29,73
2004-09-05,95
2004-09-12,76
2004-09-19,83
2004-09-26,82
2004-10-03,80
2004-10-10,82
2004-10-17,87
2004-10-24,83
2004-10-31,94
2004-11-07,87
2004-11-14,94
2004-11-21,80
2004-11-28,89
2004-12-05,81
2004-12-12,74
2004-12-19,62
2004-12-26,73
2005-01-02,84
2005-01-09,75
2005-01-16,80
2005-01-23,95
2005-01-30,84
2005-02-06,82
2005-02-13,80
2005-02-20,62
2005-02-27,83
2005-03-06,77
2005-03-13,84
2005-03-20,85
2005-03-27,84
2005-04-03,68
2005-04-10,73
2005-04-17,83
2005-04-24,72
2005-05-01,76
2005-05-08,70
2005-05-15,70
2005-05-22,68
2005-05-29,66
2005-06-05,68
2005-06-12,77
2005-06-19,75
2005-06-26,79
2005-07-03,77
2005-07-10,62
2005-07-17,72
2005-07-24,76
2005-07-31,77
2005-08-07,67
2005-08-14,64
2005-08-21,61
2005-08-28,76
2005-09-04,71
2005-09-11,71
2005-09-18,84
2005-09-25,76
2005-10-02,70
2005-10-09,100
2005-10-16,62
2005-10-23,74
2005-10-30,81
2005-11-06,74
2005-11-13,80
2005-11-20,49
2005-11-27,72
2005-12-04,74
2005-12-11,80
2005-12-18,57
2005-12-25,59
2006-01-01,92
2006-01-08,87
2006-01-15,82
2006-01-22,87
2006-01-29,88
2006-02-05,96
2006-02-12,100
2006-02-19,95
2006-02-26,92
2006-03-05,95
2006-03-12,97
2006-03-19,99
2006-03-26,96
2006-04-02,97
2006-04-09,98
2006-04-16,94
2006-04-23,96
2006-04-30,92
2006-05-07,90
2006-05-14,90
2006-05-21,85
2006-05-28,81
2006-06-04,82
2006-06-11,82
2006-06-18,86
2006-06-25,82
2006-07-02,88
2006-07-09,99
2006-07-16,95
2006-07-23,85
2006-07-30,86
2006-08-06,92
2006-08-13,92
2006-08-20,78
2006-08-27,77
2006-09-03,81
2006-09-10,81
2006-09-17,78
2006-09-24,91
2006-10-01,98
2006-10-08,90
2006-10-15,93
2006-10-22,87
2006-10-29,93
2006-11-05,85
2006-11-12,82
2006-11-19,69
2006-11-26,95
2006-12-03,91
2006-12-10,89
2006-12-17,69
2006-12-24,68
2006-12-31,84
2007-01-07,90
2007-01-14,81
2007-01-21,100
2007-01-28,87
2007-02-04,87
2007-02-11,75
2007-02-18,83
2007-02-25,89
2007-03-04,90
2007-03-11,77
2007-03-18,89
2007-03-25,87
2007-04-01,96
2007-04-08,88
2007-04-15,83
2007-04-22,92
2007-04-29,89
2007-05-06,87
2007-05-13,82
2007-05-20,81
2007-05-27,77
2007-06-03,82
2007-06-10,85
2007-06-17,82
2007-06-24,85
2007-07-01,77
2007-07-08,87
2007-07-15,87
2007-07-22,96
2007-07-29,82
2007-08-05,86
2007-08-12,81
2007-08-19,88
2007-08-26,85
2007-09-02,82
2007-09-09,88
2007-09-16,95
2007-09-23,96
2007-09-30,99
2007-10-07,92
2007-10-14,93
2007-10-21,100
2007-10-28,98
2007-11-04,94
2007-11-11,93
2007-11-18,84
2007-11-25,96
2007-12-02,97
2007-12-09,90
2007-12-16,81
2007-12-23,79
2007-12-30,90
2008-01-06,65
2008-01-13,75
2008-01-20,71
2008-01-27,71
2008-02-03,70
2008-02-10,63
2008-02-17,65
2008-02-24,73
2008-03-02,66
2008-03-09,66
2008-03-16,66
2008-03-23,66
2008-03-30,67
2008-04-06,67
2008-04-13,68
2008-04-20,67
2008-04-27,59
2008-05-04,62
2008-05-11,60
2008-05-18,58
2008-05-25,53
2008-06-01,54
2008-06-08,64
2008-06-15,60
2008-06-22,62
2008-06-29,56
2008-07-06,65
2008-07-13,65
2008-07-20,64
2008-07-27,68
2008-08-03,65
2008-08-10,55
2008-08-17,60
2008-08-24,67
2008-08-31,63
2008-09-07,69
2008-09-14,83
2008-09-21,97
2008-09-28,90
2008-10-05,100
2008-10-12,89
2008-10-19,77
2008-10-26,79
2008-11-02,76
2008-11-09,82
2008-11-16,81
2008-11-23,70
2008-11-30,77
2008-12-07,78
2008-12-14,64
2008-12-21,51
2008-12-28,71
2009-01-04,91
2009-01-11,88
2009-01-18,90
2009-01-25,90
2009-02-01,95
2009-02-08,94
2009-02-15,93
2009-02-22,100
2009-03-01,95
2009-03-08,85
2009-03-15,87
2009-03-22,92
2009-03-29,86
2009-04-05,82
2009-04-12,86
2009-04-19,88
2009-04-26,82
2009-05-03,83
2009-05-10,84
2009-05-17,77
2009-05-24,82
2009-05-31,84
2009-06-07,83
2009-06-14,77
2009-06-21,85
2009-06-28,89
2009-07-05,90
2009-07-12,80
2009-07-19,81
2009-07-26,75
2009-08-02,86
2009-08-09,84
2009-08-16,78
2009-08-23,88
2009-08-30,79
2009-09-06,78
2009-09-13,80
2009-09-20,80
2009-09-27,81
2009-10-04,79
2009-10-11,86
2009-10-18,83
2009-10-25,83
2009-11-01,81
2009-11-08,82
2009-11-15,87
2009-11-22,80
2009-11-29,90
2009-12-06,82
2009-12-13,72
2009-12-20,60
2009-12-27,67
2010-01-03,78
2010-01-10,79
2010-01-17,84
2010-01-24,97
2010-01-31,100
2010-02-07,90
2010-02-14,94
2010-02-21,89
2010-02-28,89
2010-03-07,86
2010-03-14,81
2010-03-21,90
2010-03-28,80
2010-04-04,82
2010-04-11,89
2010-04-18,80
2010-04-25,86
2010-05-02,87
2010-05-09,82
2010-05-16,73
2010-05-23,77
2010-05-30,69
2010-06-06,72
2010-06-13,74
2010-06-20,72
2010-06-27,71
2010-07-04,64
2010-07-11,67
2010-07-18,69
