Catégorie : Toutes catégories

Mois,consume: (États-Unis)
2004-01,19
2004-02,31
2004-03,26
2004-04,31
2004-05,38
2004-06,24
2004-07,21
2004-08,21
2004-09,21
2004-10,21
2004-11,41
2004-12,34
2005-01,28
2005-02,21
2005-03,37
2005-04,36
2005-05,26
2005-06,34
2005-07,40
2005-08,21
2005-09,27
2005-10,30
2005-11,31
2005-12,33
2006-01,26
2006-02,38
2006-03,34
2006-04,32
2006-05,29
2006-06,33
2006-07,27
2006-08,30
2006-09,32
2006-10,29
2006-11,30
2006-12,24
2007-01,36
2007-02,36
2007-03,36
2007-04,35
2007-05,33
2007-06,26
2007-07,37
2007-08,34
2007-09,35
2007-10,41
2007-11,35
2007-12,33
2008-01,43
2008-02,44
2008-03,40
2008-04,38
2008-05,41
2008-06,36
2008-07,39
2008-08,37
2008-09,38
2008-10,43
2008-11,47
2008-12,38
2009-01,49
2009-02,44
2009-03,44
2009-04,49
2009-05,47
2009-06,43
2009-07,46
2009-08,36
2009-09,35
2009-10,47
2009-11,57
2009-12,44
2010-01,42
2010-02,61
2010-03,48
2010-04,49
2010-05,55
2010-06,45
2010-07,44
2010-08,40
2010-09,51
2010-10,50
2010-11,51
2010-12,46
2011-01,43
2011-02,53
2011-03,53
2011-04,53
2011-05,54
2011-06,41
2011-07,38
2011-08,37
2011-09,47
2011-10,52
2011-11,47
2011-12,44
2012-01,45
2012-02,52
2012-03,51
2012-04,50
2012-05,45
2012-06,49
2012-07,46
2012-08,43
2012-09,52
2012-10,57
2012-11,56
2012-12,42
2013-01,57
2013-02,61
2013-03,53
2013-04,59
2013-05,50
2013-06,46
2013-07,50
2013-08,43
2013-09,58
2013-10,63
2013-11,57
2013-12,48
2014-01,55
2014-02,63
2014-03,61
2014-04,63
2014-05,57
2014-06,49
2014-07,50
2014-08,49
2014-09,60
2014-10,66
2014-11,61
2014-12,53
2015-01,59
2015-02,63
2015-03,61
2015-04,65
2015-05,64
2015-06,53
2015-07,56
2015-08,53
2015-09,66
2015-10,67
2015-11,69
2015-12,57
2016-01,65
2016-02,76
2016-03,76
2016-04,78
2016-05,62
2016-06,56
2016-07,51
2016-08,53
2016-09,67
2016-10,69
2016-11,65
2016-12,60
2017-01,66
2017-02,74
2017-03,76
2017-04,82
2017-05,69
2017-06,57
2017-07,58
2017-08,54
2017-09,65
2017-10,75
2017-11,74
2017-12,59
2018-01,67
2018-02,80
2018-03,83
2018-04,84
2018-05,76
2018-06,63
2018-07,62
2018-08,63
2018-09,75
2018-10,79
2018-11,79
2018-12,66
2019-01,80
2019-02,88
2019-03,81
2019-04,80
2019-05,67
2019-06,62
2019-07,62
2019-08,77
2019-09,78
2019-10,84
2019-11,85
2019-12,67
2020-01,84
2020-02,82
2020-03,84
2020-04,96
2020-05,89
2020-06,77
2020-07,81
2020-08,83
2020-09,100
2020-10,98
2020-11,88
2020-12,100
