Catégorie : Toutes catégories

Mois,visa: (États-Unis)
2004-01,73
2004-02,70
2004-03,72
2004-04,70
2004-05,72
2004-06,82
2004-07,82
2004-08,90
2004-09,100
2004-10,71
2004-11,74
2004-12,84
2005-01,75
2005-02,68
2005-03,75
2005-04,71
2005-05,74
2005-06,79
2005-07,78
2005-08,74
2005-09,74
2005-10,70
2005-11,69
2005-12,77
2006-01,68
2006-02,71
2006-03,67
2006-04,71
2006-05,76
2006-06,78
2006-07,77
2006-08,73
2006-09,65
2006-10,68
2006-11,73
2006-12,74
2007-01,70
2007-02,66
2007-03,71
2007-04,75
2007-05,76
2007-06,84
2007-07,88
2007-08,73
2007-09,70
2007-10,69
2007-11,73
2007-12,75
2008-01,72
2008-02,70
2008-03,86
2008-04,77
2008-05,72
2008-06,75
2008-07,74
2008-08,75
2008-09,68
2008-10,66
2008-11,66
2008-12,72
2009-01,70
2009-02,68
2009-03,69
2009-04,70
2009-05,68
2009-06,73
2009-07,72
2009-08,72
2009-09,69
2009-10,68
2009-11,70
2009-12,70
2010-01,69
2010-02,66
2010-03,72
2010-04,71
2010-05,73
2010-06,76
2010-07,68
2010-08,71
2010-09,65
2010-10,63
2010-11,64
2010-12,68
2011-01,62
2011-02,58
2011-03,59
2011-04,61
2011-05,63
2011-06,66
2011-07,66
2011-08,62
2011-09,57
2011-10,57
2011-11,59
2011-12,60
2012-01,59
2012-02,57
2012-03,58
2012-04,58
2012-05,61
2012-06,65
2012-07,60
2012-08,60
2012-09,56
2012-10,55
2012-11,54
2012-12,58
2013-01,59
2013-02,56
2013-03,55
2013-04,61
2013-05,60
2013-06,59
2013-07,61
2013-08,62
2013-09,55
2013-10,57
2013-11,57
2013-12,62
2014-01,62
2014-02,59
2014-03,59
2014-04,63
2014-05,64
2014-06,64
2014-07,64
2014-08,63
2014-09,60
2014-10,61
2014-11,60
2014-12,65
2015-01,63
2015-02,60
2015-03,63
2015-04,65
2015-05,64
2015-06,70
2015-07,69
2015-08,67
2015-09,65
2015-10,63
2015-11,65
2015-12,71
2016-01,62
2016-02,59
2016-03,60
2016-04,62
2016-05,62
2016-06,66
2016-07,66
2016-08,64
2016-09,59
2016-10,60
2016-11,64
2016-12,67
2017-01,76
2017-02,72
2017-03,70
2017-04,66
2017-05,65
2017-06,65
2017-07,65
2017-08,65
2017-09,59
2017-10,62
2017-11,63
2017-12,68
2018-01,69
2018-02,65
2018-03,64
2018-04,64
2018-05,64
2018-06,68
2018-07,66
2018-08,64
2018-09,58
2018-10,61
2018-11,58
2018-12,61
2019-01,64
2019-02,59
2019-03,62
2019-04,60
2019-05,61
2019-06,65
2019-07,64
2019-08,61
2019-09,60
2019-10,60
2019-11,56
2019-12,63
2020-01,65
2020-02,58
2020-03,45
2020-04,42
2020-05,42
2020-06,52
2020-07,48
2020-08,44
2020-09,44
2020-10,49
2020-11,40
2020-12,44
