Catégorie : Toutes catégories

Mois,fond: (États-Unis)
2004-01,50
2004-02,52
2004-03,50
2004-04,52
2004-05,49
2004-06,44
2004-07,46
2004-08,37
2004-09,47
2004-10,50
2004-11,46
2004-12,51
2005-01,49
2005-02,50
2005-03,49
2005-04,48
2005-05,49
2005-06,52
2005-07,53
2005-08,50
2005-09,46
2005-10,41
2005-11,43
2005-12,52
2006-01,48
2006-02,57
2006-03,54
2006-04,45
2006-05,48
2006-06,51
2006-07,52
2006-08,45
2006-09,50
2006-10,51
2006-11,42
2006-12,51
2007-01,48
2007-02,56
2007-03,58
2007-04,53
2007-05,56
2007-06,54
2007-07,56
2007-08,55
2007-09,53
2007-10,52
2007-11,48
2007-12,50
2008-01,55
2008-02,54
2008-03,51
2008-04,53
2008-05,53
2008-06,62
2008-07,54
2008-08,54
2008-09,48
2008-10,51
2008-11,47
2008-12,46
2009-01,58
2009-02,49
2009-03,51
2009-04,54
2009-05,52
2009-06,51
2009-07,59
2009-08,59
2009-09,59
2009-10,51
2009-11,50
2009-12,60
2010-01,59
2010-02,61
2010-03,58
2010-04,61
2010-05,58
2010-06,58
2010-07,55
2010-08,57
2010-09,50
2010-10,55
2010-11,51
2010-12,51
2011-01,56
2011-02,56
2011-03,66
2011-04,57
2011-05,60
2011-06,63
2011-07,65
2011-08,60
2011-09,57
2011-10,56
2011-11,53
2011-12,55
2012-01,61
2012-02,67
2012-03,57
2012-04,59
2012-05,64
2012-06,64
2012-07,62
2012-08,62
2012-09,60
2012-10,57
2012-11,58
2012-12,60
2013-01,62
2013-02,60
2013-03,58
2013-04,61
2013-05,69
2013-06,60
2013-07,64
2013-08,61
2013-09,60
2013-10,62
2013-11,59
2013-12,62
2014-01,62
2014-02,60
2014-03,64
2014-04,63
2014-05,65
2014-06,66
2014-07,68
2014-08,66
2014-09,63
2014-10,66
2014-11,63
2014-12,64
2015-01,63
2015-02,63
2015-03,69
2015-04,68
2015-05,72
2015-06,74
2015-07,76
2015-08,76
2015-09,71
2015-10,69
2015-11,69
2015-12,71
2016-01,67
2016-02,68
2016-03,71
2016-04,70
2016-05,70
2016-06,72
2016-07,100
2016-08,98
2016-09,81
2016-10,70
2016-11,65
2016-12,68
2017-01,68
2017-02,69
2017-03,69
2017-04,70
2017-05,75
2017-06,76
2017-07,74
2017-08,71
2017-09,68
2017-10,69
2017-11,65
2017-12,70
2018-01,72
2018-02,71
2018-03,68
2018-04,70
2018-05,73
2018-06,74
2018-07,76
2018-08,76
2018-09,68
2018-10,67
2018-11,65
2018-12,66
2019-01,70
2019-02,69
2019-03,71
2019-04,67
2019-05,69
2019-06,73
2019-07,74
2019-08,72
2019-09,69
2019-10,69
2019-11,68
2019-12,69
2020-01,70
2020-02,72
2020-03,74
2020-04,69
2020-05,75
2020-06,77
2020-07,75
2020-08,73
2020-09,72
2020-10,75
2020-11,64
2020-12,73
