Catégorie : Toutes catégories

Mois,pepsico: (États-Unis)
2004-01,35
2004-02,56
2004-03,71
2004-04,51
2004-05,47
2004-06,69
2004-07,71
2004-08,32
2004-09,46
2004-10,60
2004-11,83
2004-12,56
2005-01,52
2005-02,56
2005-03,52
2005-04,54
2005-05,87
2005-06,51
2005-07,54
2005-08,55
2005-09,57
2005-10,53
2005-11,51
2005-12,39
2006-01,40
2006-02,68
2006-03,44
2006-04,64
2006-05,59
2006-06,65
2006-07,65
2006-08,80
2006-09,58
2006-10,61
2006-11,54
2006-12,49
2007-01,68
2007-02,62
2007-03,59
2007-04,65
2007-05,52
2007-06,54
2007-07,56
2007-08,57
2007-09,55
2007-10,58
2007-11,55
2007-12,46
2008-01,59
2008-02,69
2008-03,60
2008-04,71
2008-05,57
2008-06,55
2008-07,54
2008-08,53
2008-09,66
2008-10,83
2008-11,63
2008-12,57
2009-01,70
2009-02,77
2009-03,74
2009-04,70
2009-05,70
2009-06,69
2009-07,62
2009-08,65
2009-09,61
2009-10,74
2009-11,78
2009-12,62
2010-01,63
2010-02,60
2010-03,67
2010-04,72
2010-05,68
2010-06,62
2010-07,70
2010-08,56
2010-09,67
2010-10,64
2010-11,60
2010-12,60
2011-01,61
2011-02,66
2011-03,71
2011-04,86
2011-05,73
2011-06,61
2011-07,63
2011-08,60
2011-09,72
2011-10,66
2011-11,74
2011-12,63
2012-01,82
2012-02,97
2012-03,81
2012-04,82
2012-05,90
2012-06,70
2012-07,75
2012-08,67
2012-09,72
2012-10,74
2012-11,66
2012-12,54
2013-01,72
2013-02,76
2013-03,75
2013-04,82
2013-05,74
2013-06,66
2013-07,85
2013-08,74
2013-09,75
2013-10,85
2013-11,72
2013-12,61
2014-01,79
2014-02,95
2014-03,73
2014-04,76
2014-05,79
2014-06,76
2014-07,94
2014-08,76
2014-09,87
2014-10,92
2014-11,84
2014-12,82
2015-01,93
2015-02,90
2015-03,79
2015-04,76
2015-05,70
2015-06,71
2015-07,76
2015-08,75
2015-09,81
2015-10,79
2015-11,70
2015-12,64
2016-01,69
2016-02,82
2016-03,73
2016-04,80
2016-05,65
2016-06,74
2016-07,66
2016-08,61
2016-09,69
2016-10,76
2016-11,95
2016-12,71
2017-01,78
2017-02,84
2017-03,82
2017-04,86
2017-05,75
2017-06,72
2017-07,71
2017-08,70
2017-09,71
2017-10,72
2017-11,69
2017-12,60
2018-01,72
2018-02,100
2018-03,75
2018-04,74
2018-05,75
2018-06,75
2018-07,75
2018-08,97
2018-09,81
2018-10,83
2018-11,73
2018-12,65
2019-01,77
2019-02,98
2019-03,82
2019-04,100
2019-05,82
2019-06,84
2019-07,91
2019-08,87
2019-09,90
2019-10,95
2019-11,76
2019-12,68
2020-01,88
2020-02,95
2020-03,97
2020-04,86
2020-05,75
2020-06,94
2020-07,95
2020-08,87
2020-09,86
2020-10,82
2020-11,69
2020-12,74
