Catégorie : Toutes catégories

Mois,environment: (États-Unis)
2004-01,90
2004-02,95
2004-03,98
2004-04,100
2004-05,92
2004-06,79
2004-07,67
2004-08,69
2004-09,93
2004-10,96
2004-11,88
2004-12,78
2005-01,78
2005-02,88
2005-03,80
2005-04,86
2005-05,84
2005-06,72
2005-07,59
2005-08,56
2005-09,73
2005-10,78
2005-11,73
2005-12,61
2006-01,63
2006-02,67
2006-03,70
2006-04,71
2006-05,65
2006-06,56
2006-07,49
2006-08,50
2006-09,62
2006-10,66
2006-11,63
2006-12,52
2007-01,56
2007-02,62
2007-03,62
2007-04,67
2007-05,64
2007-06,58
2007-07,52
2007-08,52
2007-09,63
2007-10,68
2007-11,66
2007-12,51
2008-01,61
2008-02,64
2008-03,63
2008-04,73
2008-05,63
2008-06,56
2008-07,50
2008-08,47
2008-09,66
2008-10,67
2008-11,62
2008-12,54
2009-01,59
2009-02,64
2009-03,64
2009-04,68
2009-05,63
2009-06,57
2009-07,46
2009-08,50
2009-09,65
2009-10,68
2009-11,63
2009-12,54
2010-01,54
2010-02,60
2010-03,63
2010-04,67
2010-05,64
2010-06,59
2010-07,42
2010-08,44
2010-09,57
2010-10,54
2010-11,54
2010-12,45
2011-01,48
2011-02,55
2011-03,54
2011-04,57
2011-05,52
2011-06,46
2011-07,35
2011-08,39
2011-09,53
2011-10,53
2011-11,51
2011-12,41
2012-01,44
2012-02,52
2012-03,49
2012-04,51
2012-05,50
2012-06,41
2012-07,32
2012-08,38
2012-09,52
2012-10,54
2012-11,48
2012-12,39
2013-01,45
2013-02,51
2013-03,48
2013-04,55
2013-05,52
2013-06,40
2013-07,32
2013-08,36
2013-09,54
2013-10,56
2013-11,49
2013-12,39
2014-01,46
2014-02,52
2014-03,48
2014-04,54
2014-05,52
2014-06,43
2014-07,33
2014-08,39
2014-09,58
2014-10,56
2014-11,50
2014-12,42
2015-01,48
2015-02,52
2015-03,53
2015-04,58
2015-05,54
2015-06,45
2015-07,34
2015-08,40
2015-09,61
2015-10,58
2015-11,53
2015-12,45
2016-01,46
2016-02,54
2016-03,52
2016-04,57
2016-05,51
2016-06,38
2016-07,29
2016-08,37
2016-09,56
2016-10,52
2016-11,50
2016-12,43
2017-01,49
2017-02,56
2017-03,57
2017-04,56
2017-05,54
2017-06,41
2017-07,30
2017-08,38
2017-09,55
2017-10,54
2017-11,50
2017-12,42
2018-01,49
2018-02,55
2018-03,51
2018-04,57
2018-05,55
2018-06,40
2018-07,32
2018-08,42
2018-09,57
2018-10,60
2018-11,52
2018-12,42
2019-01,52
2019-02,57
2019-03,56
2019-04,62
2019-05,57
2019-06,44
2019-07,36
2019-08,43
2019-09,64
2019-10,60
2019-11,51
2019-12,43
2020-01,52
2020-02,58
2020-03,53
2020-04,61
2020-05,51
2020-06,39
2020-07,36
2020-08,43
2020-09,71
2020-10,55
2020-11,43
2020-12,46
