Catégorie : Toutes catégories

Mois,intel: (États-Unis)
2004-01,92
2004-02,88
2004-03,79
2004-04,75
2004-05,76
2004-06,79
2004-07,84
2004-08,91
2004-09,77
2004-10,80
2004-11,72
2004-12,82
2005-01,80
2005-02,74
2005-03,73
2005-04,67
2005-05,70
2005-06,92
2005-07,76
2005-08,77
2005-09,68
2005-10,69
2005-11,71
2005-12,75
2006-01,100
2006-02,83
2006-03,87
2006-04,83
2006-05,79
2006-06,84
2006-07,89
2006-08,91
2006-09,84
2006-10,77
2006-11,77
2006-12,76
2007-01,78
2007-02,76
2007-03,74
2007-04,69
2007-05,72
2007-06,73
2007-07,79
2007-08,75
2007-09,70
2007-10,68
2007-11,74
2007-12,74
2008-01,78
2008-02,72
2008-03,68
2008-04,65
2008-05,62
2008-06,65
2008-07,69
2008-08,70
2008-09,64
2008-10,63
2008-11,73
2008-12,72
2009-01,76
2009-02,68
2009-03,66
2009-04,62
2009-05,65
2009-06,64
2009-07,67
2009-08,70
2009-09,68
2009-10,68
2009-11,81
2009-12,72
2010-01,74
2010-02,72
2010-03,68
2010-04,65
2010-05,61
2010-06,60
2010-07,59
2010-08,63
2010-09,56
2010-10,54
2010-11,62
2010-12,57
2011-01,59
2011-02,60
2011-03,54
2011-04,49
2011-05,51
2011-06,50
2011-07,48
2011-08,50
2011-09,47
2011-10,45
2011-11,54
2011-12,48
2012-01,48
2012-02,44
2012-03,42
2012-04,43
2012-05,45
2012-06,44
2012-07,42
2012-08,44
2012-09,41
2012-10,42
2012-11,50
2012-12,42
2013-01,42
2013-02,42
2013-03,40
2013-04,38
2013-05,38
2013-06,41
2013-07,39
2013-08,40
2013-09,37
2013-10,39
2013-11,43
2013-12,44
2014-01,43
2014-02,39
2014-03,39
2014-04,38
2014-05,36
2014-06,38
2014-07,39
2014-08,41
2014-09,39
2014-10,37
2014-11,45
2014-12,43
2015-01,40
2015-02,39
2015-03,40
2015-04,38
2015-05,38
2015-06,41
2015-07,41
2015-08,46
2015-09,38
2015-10,39
2015-11,47
2015-12,41
2016-01,34
2016-02,33
2016-03,33
2016-04,35
2016-05,31
2016-06,32
2016-07,31
2016-08,31
2016-09,30
2016-10,29
2016-11,35
2016-12,32
2017-01,33
2017-02,34
2017-03,33
2017-04,29
2017-05,31
2017-06,31
2017-07,29
2017-08,30
2017-09,26
2017-10,29
2017-11,34
2017-12,29
2018-01,41
2018-02,30
2018-03,28
2018-04,28
2018-05,27
2018-06,30
2018-07,30
2018-08,29
2018-09,27
2018-10,28
2018-11,30
2018-12,26
2019-01,27
2019-02,26
2019-03,25
2019-04,25
2019-05,25
2019-06,26
2019-07,27
2019-08,26
2019-09,25
2019-10,25
2019-11,28
2019-12,26
2020-01,27
2020-02,26
2020-03,26
2020-04,32
2020-05,31
2020-06,31
2020-07,33
2020-08,35
2020-09,30
2020-10,29
2020-11,30
2020-12,31
