Catégorie : Toutes catégories

Mois,procter and gamble: (États-Unis)
2004-01,64
2004-02,77
2004-03,92
2004-04,79
2004-05,55
2004-06,52
2004-07,76
2004-08,49
2004-09,68
2004-10,66
2004-11,100
2004-12,62
2005-01,63
2005-02,70
2005-03,72
2005-04,52
2005-05,46
2005-06,74
2005-07,71
2005-08,47
2005-09,62
2005-10,72
2005-11,74
2005-12,59
2006-01,42
2006-02,68
2006-03,60
2006-04,44
2006-05,27
2006-06,60
2006-07,53
2006-08,39
2006-09,51
2006-10,72
2006-11,54
2006-12,37
2007-01,54
2007-02,51
2007-03,57
2007-04,53
2007-05,47
2007-06,44
2007-07,33
2007-08,59
2007-09,55
2007-10,59
2007-11,34
2007-12,42
2008-01,62
2008-02,53
2008-03,51
2008-04,41
2008-05,54
2008-06,37
2008-07,36
2008-08,44
2008-09,49
2008-10,60
2008-11,42
2008-12,47
2009-01,67
2009-02,61
2009-03,62
2009-04,45
2009-05,40
2009-06,47
2009-07,47
2009-08,37
2009-09,51
2009-10,51
2009-11,47
2009-12,36
2010-01,54
2010-02,63
2010-03,57
2010-04,53
2010-05,58
2010-06,43
2010-07,38
2010-08,50
2010-09,52
2010-10,51
2010-11,50
2010-12,36
2011-01,47
2011-02,45
2011-03,43
2011-04,49
2011-05,42
2011-06,40
2011-07,35
2011-08,45
2011-09,41
2011-10,47
2011-11,38
2011-12,31
2012-01,33
2012-02,36
2012-03,34
2012-04,42
2012-05,81
2012-06,46
2012-07,42
2012-08,49
2012-09,47
2012-10,46
2012-11,37
2012-12,39
2013-01,41
2013-02,41
2013-03,35
2013-04,39
2013-05,44
2013-06,83
2013-07,74
2013-08,82
2013-09,82
2013-10,92
2013-11,79
2013-12,63
2014-01,82
2014-02,87
2014-03,76
2014-04,72
2014-05,65
2014-06,73
2014-07,76
2014-08,80
2014-09,100
2014-10,87
2014-11,68
2014-12,73
2015-01,71
2015-02,70
2015-03,70
2015-04,72
2015-05,63
2015-06,72
2015-07,62
2015-08,67
2015-09,81
2015-10,73
2015-11,70
2015-12,52
2016-01,65
2016-02,64
2016-03,56
2016-04,65
2016-05,50
2016-06,54
2016-07,61
2016-08,53
2016-09,70
2016-10,61
2016-11,48
2016-12,47
2017-01,61
2017-02,59
2017-03,54
2017-04,61
2017-05,48
2017-06,53
2017-07,49
2017-08,78
2017-09,62
2017-10,69
2017-11,58
2017-12,49
2018-01,47
2018-02,52
2018-03,43
2018-04,37
2018-05,39
2018-06,35
2018-07,33
2018-08,47
2018-09,53
2018-10,66
2018-11,57
2018-12,51
2019-01,77
2019-02,57
2019-03,51
2019-04,59
2019-05,46
2019-06,50
2019-07,53
2019-08,53
2019-09,52
2019-10,53
2019-11,51
2019-12,44
2020-01,42
2020-02,62
2020-03,98
2020-04,74
2020-05,47
2020-06,58
2020-07,53
2020-08,52
2020-09,54
2020-10,57
2020-11,46
2020-12,43
