Catégorie : Toutes catégories

Mois,coca cola: (États-Unis)
2004-01,69
2004-02,85
2004-03,77
2004-04,89
2004-05,76
2004-06,71
2004-07,66
2004-08,67
2004-09,67
2004-10,70
2004-11,62
2004-12,69
2005-01,59
2005-02,64
2005-03,64
2005-04,74
2005-05,79
2005-06,67
2005-07,69
2005-08,59
2005-09,69
2005-10,75
2005-11,66
2005-12,74
2006-01,66
2006-02,67
2006-03,65
2006-04,74
2006-05,77
2006-06,58
2006-07,64
2006-08,64
2006-09,61
2006-10,71
2006-11,61
2006-12,63
2007-01,59
2007-02,70
2007-03,63
2007-04,56
2007-05,71
2007-06,69
2007-07,63
2007-08,60
2007-09,63
2007-10,65
2007-11,60
2007-12,65
2008-01,62
2008-02,61
2008-03,70
2008-04,67
2008-05,65
2008-06,60
2008-07,66
2008-08,67
2008-09,76
2008-10,80
2008-11,66
2008-12,64
2009-01,66
2009-02,71
2009-03,78
2009-04,75
2009-05,82
2009-06,74
2009-07,64
2009-08,70
2009-09,76
2009-10,87
2009-11,84
2009-12,82
2010-01,74
2010-02,82
2010-03,84
2010-04,86
2010-05,93
2010-06,94
2010-07,72
2010-08,64
2010-09,70
2010-10,72
2010-11,73
2010-12,71
2011-01,64
2011-02,76
2011-03,69
2011-04,67
2011-05,78
2011-06,68
2011-07,65
2011-08,69
2011-09,67
2011-10,73
2011-11,67
2011-12,71
2012-01,69
2012-02,70
2012-03,71
2012-04,76
2012-05,85
2012-06,67
2012-07,72
2012-08,66
2012-09,70
2012-10,68
2012-11,63
2012-12,60
2013-01,61
2013-02,66
2013-03,66
2013-04,64
2013-05,85
2013-06,63
2013-07,65
2013-08,64
2013-09,68
2013-10,72
2013-11,66
2013-12,61
2014-01,62
2014-02,100
2014-03,66
2014-04,65
2014-05,79
2014-06,70
2014-07,96
2014-08,80
2014-09,77
2014-10,74
2014-11,67
2014-12,68
2015-01,67
2015-02,69
2015-03,68
2015-04,70
2015-05,80
2015-06,73
2015-07,71
2015-08,65
2015-09,69
2015-10,71
2015-11,62
2015-12,68
2016-01,60
2016-02,64
2016-03,60
2016-04,65
2016-05,76
2016-06,66
2016-07,62
2016-08,60
2016-09,64
2016-10,60
2016-11,61
2016-12,61
2017-01,61
2017-02,67
2017-03,67
2017-04,68
2017-05,77
2017-06,65
2017-07,70
2017-08,61
2017-09,60
2017-10,66
2017-11,61
2017-12,58
2018-01,60
2018-02,62
2018-03,64
2018-04,61
2018-05,73
2018-06,61
2018-07,63
2018-08,61
2018-09,67
2018-10,61
2018-11,58
2018-12,59
2019-01,60
2019-02,64
2019-03,62
2019-04,64
2019-05,77
2019-06,72
2019-07,67
2019-08,64
2019-09,62
2019-10,62
2019-11,58
2019-12,64
2020-01,59
2020-02,65
2020-03,56
2020-04,50
2020-05,57
2020-06,54
2020-07,95
2020-08,52
2020-09,48
2020-10,53
2020-11,45
2020-12,53
