Catégorie : Toutes catégories

Mois,at&t: (États-Unis)
2004-01,35
2004-02,35
2004-03,34
2004-04,31
2004-05,33
2004-06,36
2004-07,37
2004-08,37
2004-09,34
2004-10,31
2004-11,31
2004-12,29
2005-01,26
2005-02,24
2005-03,20
2005-04,18
2005-05,16
2005-06,15
2005-07,14
2005-08,13
2005-09,12
2005-10,11
2005-11,11
2005-12,11
2006-01,12
2006-02,13
2006-03,13
2006-04,13
2006-05,14
2006-06,16
2006-07,17
2006-08,16
2006-09,16
2006-10,15
2006-11,14
2006-12,15
2007-01,19
2007-02,17
2007-03,16
2007-04,17
2007-05,18
2007-06,34
2007-07,39
2007-08,40
2007-09,40
2007-10,39
2007-11,43
2007-12,45
2008-01,45
2008-02,45
2008-03,44
2008-04,45
2008-05,48
2008-06,57
2008-07,68
2008-08,57
2008-09,44
2008-10,43
2008-11,57
2008-12,60
2009-01,57
2009-02,56
2009-03,52
2009-04,50
2009-05,51
2009-06,64
2009-07,61
2009-08,60
2009-09,66
2009-10,78
2009-11,77
2009-12,84
2010-01,68
2010-02,62
2010-03,60
2010-04,57
2010-05,68
2010-06,100
2010-07,80
2010-08,74
2010-09,64
2010-10,56
2010-11,52
2010-12,55
2011-01,60
2011-02,60
2011-03,67
2011-04,56
2011-05,58
2011-06,63
2011-07,58
2011-08,58
2011-09,54
2011-10,63
2011-11,53
2011-12,50
2012-01,54
2012-02,59
2012-03,59
2012-04,57
2012-05,56
2012-06,62
2012-07,60
2012-08,58
2012-09,78
2012-10,64
2012-11,65
2012-12,63
2013-01,57
2013-02,53
2013-03,55
2013-04,53
2013-05,55
2013-06,59
2013-07,63
2013-08,74
2013-09,80
2013-10,70
2013-11,70
2013-12,73
2014-01,66
2014-02,70
2014-03,68
2014-04,65
2014-05,63
2014-06,59
2014-07,67
2014-08,67
2014-09,94
2014-10,78
2014-11,71
2014-12,72
2015-01,66
2015-02,55
2015-03,49
2015-04,49
2015-05,50
2015-06,60
2015-07,63
2015-08,63
2015-09,67
2015-10,58
2015-11,56
2015-12,55
2016-01,47
2016-02,44
2016-03,47
2016-04,46
2016-05,45
2016-06,50
2016-07,49
2016-08,49
2016-09,57
2016-10,51
2016-11,47
2016-12,48
2017-01,44
2017-02,42
2017-03,43
2017-04,40
2017-05,42
2017-06,45
2017-07,47
2017-08,45
2017-09,46
2017-10,43
2017-11,48
2017-12,47
2018-01,36
2018-02,35
2018-03,36
2018-04,34
2018-05,34
2018-06,40
2018-07,38
2018-08,38
2018-09,41
2018-10,39
2018-11,38
2018-12,39
2019-01,36
2019-02,34
2019-03,34
2019-04,32
2019-05,33
2019-06,37
2019-07,38
2019-08,39
2019-09,40
2019-10,37
2019-11,36
2019-12,38
2020-01,33
2020-02,33
2020-03,34
2020-04,33
2020-05,33
2020-06,36
2020-07,35
2020-08,39
2020-09,34
2020-10,35
2020-11,36
2020-12,39
