Catégorie : Toutes catégories

Mois,microsoft: (États-Unis)
2004-01,99
2004-02,100
2004-03,88
2004-04,89
2004-05,93
2004-06,87
2004-07,87
2004-08,89
2004-09,90
2004-10,84
2004-11,87
2004-12,83
2005-01,93
2005-02,92
2005-03,86
2005-04,83
2005-05,81
2005-06,80
2005-07,83
2005-08,95
2005-09,87
2005-10,81
2005-11,80
2005-12,82
2006-01,87
2006-02,82
2006-03,81
2006-04,76
2006-05,75
2006-06,77
2006-07,71
2006-08,74
2006-09,76
2006-10,79
2006-11,80
2006-12,76
2007-01,81
2007-02,80
2007-03,81
2007-04,71
2007-05,70
2007-06,68
2007-07,65
2007-08,68
2007-09,71
2007-10,72
2007-11,68
2007-12,67
2008-01,73
2008-02,71
2008-03,65
2008-04,67
2008-05,66
2008-06,62
2008-07,63
2008-08,65
2008-09,69
2008-10,65
2008-11,60
2008-12,64
2009-01,70
2009-02,65
2009-03,67
2009-04,66
2009-05,59
2009-06,63
2009-07,57
2009-08,62
2009-09,65
2009-10,69
2009-11,66
2009-12,62
2010-01,65
2010-02,65
2010-03,63
2010-04,63
2010-05,59
2010-06,63
2010-07,49
2010-08,53
2010-09,57
2010-10,55
2010-11,55
2010-12,51
2011-01,56
2011-02,55
2011-03,50
2011-04,49
2011-05,51
2011-06,47
2011-07,44
2011-08,47
2011-09,48
2011-10,46
2011-11,43
2011-12,42
2012-01,44
2012-02,43
2012-03,40
2012-04,39
2012-05,39
2012-06,43
2012-07,37
2012-08,42
2012-09,42
2012-10,47
2012-11,48
2012-12,41
2013-01,44
2013-02,44
2013-03,40
2013-04,39
2013-05,40
2013-06,37
2013-07,35
2013-08,40
2013-09,44
2013-10,43
2013-11,43
2013-12,42
2014-01,40
2014-02,40
2014-03,38
2014-04,39
2014-05,37
2014-06,34
2014-07,35
2014-08,38
2014-09,43
2014-10,40
2014-11,40
2014-12,40
2015-01,39
2015-02,38
2015-03,36
2015-04,35
2015-05,35
2015-06,36
2015-07,36
2015-08,40
2015-09,41
2015-10,39
2015-11,38
2015-12,39
2016-01,31
2016-02,32
2016-03,31
2016-04,29
2016-05,27
2016-06,30
2016-07,26
2016-08,30
2016-09,31
2016-10,30
2016-11,31
2016-12,29
2017-01,29
2017-02,29
2017-03,30
2017-04,28
2017-05,29
2017-06,27
2017-07,26
2017-08,29
2017-09,29
2017-10,29
2017-11,29
2017-12,28
2018-01,30
2018-02,30
2018-03,29
2018-04,28
2018-05,27
2018-06,28
2018-07,27
2018-08,30
2018-09,30
2018-10,31
2018-11,29
2018-12,26
2019-01,28
2019-02,28
2019-03,26
2019-04,27
2019-05,26
2019-06,26
2019-07,26
2019-08,29
2019-09,30
2019-10,30
2019-11,28
2019-12,27
2020-01,30
2020-02,31
2020-03,40
2020-04,43
2020-05,36
2020-06,35
2020-07,35
2020-08,46
2020-09,45
2020-10,35
2020-11,32
2020-12,36
