Catégorie : Toutes catégories

Mois,religion: (États-Unis)
2004-01,72
2004-02,87
2004-03,87
2004-04,90
2004-05,83
2004-06,54
2004-07,46
2004-08,50
2004-09,83
2004-10,94
2004-11,100
2004-12,81
2005-01,76
2005-02,83
2005-03,78
2005-04,89
2005-05,76
2005-06,53
2005-07,46
2005-08,50
2005-09,78
2005-10,87
2005-11,88
2005-12,77
2006-01,64
2006-02,76
2006-03,71
2006-04,75
2006-05,67
2006-06,44
2006-07,43
2006-08,45
2006-09,68
2006-10,72
2006-11,71
2006-12,65
2007-01,58
2007-02,66
2007-03,62
2007-04,65
2007-05,61
2007-06,44
2007-07,44
2007-08,45
2007-09,65
2007-10,72
2007-11,70
2007-12,71
2008-01,64
2008-02,73
2008-03,64
2008-04,70
2008-05,57
2008-06,47
2008-07,39
2008-08,48
2008-09,67
2008-10,73
2008-11,75
2008-12,69
2009-01,60
2009-02,64
2009-03,66
2009-04,67
2009-05,63
2009-06,47
2009-07,44
2009-08,46
2009-09,68
2009-10,72
2009-11,72
2009-12,67
2010-01,62
2010-02,64
2010-03,64
2010-04,68
2010-05,63
2010-06,43
2010-07,39
2010-08,50
2010-09,69
2010-10,73
2010-11,65
2010-12,60
2011-01,58
2011-02,62
2011-03,64
2011-04,67
2011-05,60
2011-06,47
2011-07,43
2011-08,47
2011-09,63
2011-10,68
2011-11,68
2011-12,68
2012-01,69
2012-02,70
2012-03,62
2012-04,64
2012-05,56
2012-06,47
2012-07,49
2012-08,60
2012-09,71
2012-10,67
2012-11,70
2012-12,65
2013-01,58
2013-02,61
2013-03,64
2013-04,65
2013-05,57
2013-06,43
2013-07,42
2013-08,45
2013-09,62
2013-10,62
2013-11,61
2013-12,62
2014-01,54
2014-02,58
2014-03,58
2014-04,61
2014-05,55
2014-06,42
2014-07,43
2014-08,49
2014-09,64
2014-10,64
2014-11,60
2014-12,59
2015-01,58
2015-02,61
2015-03,60
2015-04,62
2015-05,55
2015-06,44
2015-07,42
2015-08,45
2015-09,72
2015-10,68
2015-11,73
2015-12,70
2016-01,57
2016-02,61
2016-03,61
2016-04,61
2016-05,53
2016-06,45
2016-07,42
2016-08,43
2016-09,60
2016-10,62
2016-11,63
2016-12,61
2017-01,59
2017-02,61
2017-03,56
2017-04,56
2017-05,52
2017-06,41
2017-07,39
2017-08,42
2017-09,55
2017-10,58
2017-11,61
2017-12,59
2018-01,50
2018-02,52
2018-03,50
2018-04,51
2018-05,50
2018-06,36
2018-07,35
2018-08,42
2018-09,57
2018-10,58
2018-11,57
2018-12,59
2019-01,50
2019-02,52
2019-03,50
2019-04,55
2019-05,47
2019-06,36
2019-07,35
2019-08,41
2019-09,54
2019-10,56
2019-11,53
2019-12,54
2020-01,50
2020-02,53
2020-03,43
2020-04,49
2020-05,43
2020-06,36
2020-07,36
2020-08,42
2020-09,60
2020-10,56
2020-11,46
2020-12,49
