Catégorie : Toutes catégories

Mois,society: (États-Unis)
2004-01,96
2004-02,100
2004-03,97
2004-04,95
2004-05,91
2004-06,90
2004-07,87
2004-08,87
2004-09,90
2004-10,89
2004-11,87
2004-12,86
2005-01,86
2005-02,87
2005-03,90
2005-04,90
2005-05,84
2005-06,78
2005-07,80
2005-08,78
2005-09,92
2005-10,88
2005-11,80
2005-12,71
2006-01,78
2006-02,81
2006-03,79
2006-04,78
2006-05,76
2006-06,68
2006-07,64
2006-08,66
2006-09,71
2006-10,73
2006-11,69
2006-12,63
2007-01,68
2007-02,70
2007-03,71
2007-04,70
2007-05,67
2007-06,63
2007-07,62
2007-08,61
2007-09,65
2007-10,68
2007-11,62
2007-12,56
2008-01,62
2008-02,65
2008-03,66
2008-04,66
2008-05,60
2008-06,56
2008-07,55
2008-08,53
2008-09,60
2008-10,61
2008-11,57
2008-12,55
2009-01,60
2009-02,64
2009-03,63
2009-04,64
2009-05,56
2009-06,54
2009-07,55
2009-08,55
2009-09,61
2009-10,61
2009-11,58
2009-12,54
2010-01,56
2010-02,57
2010-03,60
2010-04,59
2010-05,54
2010-06,50
2010-07,45
2010-08,44
2010-09,49
2010-10,50
2010-11,47
2010-12,44
2011-01,51
2011-02,52
2011-03,53
2011-04,53
2011-05,48
2011-06,47
2011-07,44
2011-08,45
2011-09,51
2011-10,50
2011-11,47
2011-12,44
2012-01,47
2012-02,52
2012-03,49
2012-04,49
2012-05,46
2012-06,42
2012-07,41
2012-08,39
2012-09,45
2012-10,45
2012-11,43
2012-12,41
2013-01,44
2013-02,46
2013-03,44
2013-04,46
2013-05,44
2013-06,39
2013-07,38
2013-08,38
2013-09,44
2013-10,44
2013-11,41
2013-12,38
2014-01,41
2014-02,44
2014-03,42
2014-04,43
2014-05,40
2014-06,38
2014-07,36
2014-08,43
2014-09,47
2014-10,46
2014-11,43
2014-12,42
2015-01,42
2015-02,43
2015-03,42
2015-04,42
2015-05,40
2015-06,37
2015-07,36
2015-08,36
2015-09,42
2015-10,41
2015-11,40
2015-12,38
2016-01,36
2016-02,39
2016-03,39
2016-04,39
2016-05,37
2016-06,33
2016-07,34
2016-08,34
2016-09,38
2016-10,37
2016-11,36
2016-12,34
2017-01,37
2017-02,38
2017-03,39
2017-04,37
2017-05,36
2017-06,32
2017-07,32
2017-08,33
2017-09,38
2017-10,38
2017-11,38
2017-12,36
2018-01,37
2018-02,39
2018-03,38
2018-04,38
2018-05,35
2018-06,33
2018-07,32
2018-08,35
2018-09,37
2018-10,37
2018-11,34
2018-12,34
2019-01,35
2019-02,38
2019-03,36
2019-04,36
2019-05,41
2019-06,36
2019-07,33
2019-08,33
2019-09,37
2019-10,37
2019-11,35
2019-12,33
2020-01,36
2020-02,37
2020-03,33
2020-04,32
2020-05,32
2020-06,31
2020-07,30
2020-08,30
2020-09,37
2020-10,34
2020-11,29
2020-12,32
