Catégorie : Toutes catégories

Mois,pfizer: (États-Unis)
2004-01,20
2004-02,22
2004-03,17
2004-04,21
2004-05,20
2004-06,17
2004-07,21
2004-08,18
2004-09,18
2004-10,22
2004-11,18
2004-12,20
2005-01,20
2005-02,20
2005-03,17
2005-04,19
2005-05,15
2005-06,21
2005-07,21
2005-08,16
2005-09,18
2005-10,17
2005-11,15
2005-12,14
2006-01,18
2006-02,18
2006-03,16
2006-04,15
2006-05,17
2006-06,18
2006-07,16
2006-08,18
2006-09,14
2006-10,13
2006-11,12
2006-12,17
2007-01,19
2007-02,14
2007-03,12
2007-04,13
2007-05,13
2007-06,13
2007-07,13
2007-08,13
2007-09,14
2007-10,14
2007-11,13
2007-12,9
2008-01,13
2008-02,12
2008-03,13
2008-04,14
2008-05,10
2008-06,11
2008-07,10
2008-08,10
2008-09,10
2008-10,13
2008-11,9
2008-12,8
2009-01,20
2009-02,13
2009-03,13
2009-04,12
2009-05,10
2009-06,11
2009-07,11
2009-08,10
2009-09,15
2009-10,15
2009-11,13
2009-12,11
2010-01,10
2010-02,11
2010-03,12
2010-04,12
2010-05,11
2010-06,10
2010-07,9
2010-08,8
2010-09,11
2010-10,10
2010-11,9
2010-12,10
2011-01,9
2011-02,11
2011-03,10
2011-04,10
2011-05,9
2011-06,10
2011-07,8
2011-08,9
2011-09,9
2011-10,8
2011-11,8
2011-12,7
2012-01,8
2012-02,16
2012-03,8
2012-04,8
2012-05,10
2012-06,8
2012-07,7
2012-08,7
2012-09,7
2012-10,7
2012-11,6
2012-12,6
2013-01,8
2013-02,7
2013-03,7
2013-04,8
2013-05,8
2013-06,8
2013-07,6
2013-08,6
2013-09,6
2013-10,7
2013-11,6
2013-12,5
2014-01,7
2014-02,6
2014-03,7
2014-04,8
2014-05,10
2014-06,7
2014-07,7
2014-08,6
2014-09,6
2014-10,6
2014-11,6
2014-12,5
2015-01,6
2015-02,8
2015-03,6
2015-04,7
2015-05,6
2015-06,6
2015-07,6
2015-08,7
2015-09,6
2015-10,7
2015-11,11
2015-12,6
2016-01,6
2016-02,6
2016-03,7
2016-04,8
2016-05,6
2016-06,7
2016-07,6
2016-08,7
2016-09,6
2016-10,6
2016-11,6
2016-12,6
2017-01,6
2017-02,6
2017-03,7
2017-04,5
2017-05,6
2017-06,5
2017-07,5
2017-08,5
2017-09,6
2017-10,6
2017-11,5
2017-12,5
2018-01,8
2018-02,7
2018-03,6
2018-04,6
2018-05,5
2018-06,5
2018-07,6
2018-08,6
2018-09,5
2018-10,7
2018-11,6
2018-12,6
2019-01,6
2019-02,6
2019-03,6
2019-04,6
2019-05,6
2019-06,7
2019-07,6
2019-08,7
2019-09,6
2019-10,6
2019-11,5
2019-12,5
2020-01,6
2020-02,6
2020-03,9
2020-04,9
2020-05,10
2020-06,8
2020-07,25
2020-08,12
2020-09,14
2020-10,14
2020-11,94
2020-12,100
