Catégorie : Toutes catégories

Mois,cancer: (États-Unis)
2004-01,79
2004-02,76
2004-03,76
2004-04,84
2004-05,80
2004-06,82
2004-07,77
2004-08,79
2004-09,84
2004-10,100
2004-11,94
2004-12,84
2005-01,86
2005-02,89
2005-03,85
2005-04,90
2005-05,85
2005-06,78
2005-07,78
2005-08,82
2005-09,78
2005-10,82
2005-11,77
2005-12,68
2006-01,74
2006-02,77
2006-03,84
2006-04,78
2006-05,79
2006-06,79
2006-07,70
2006-08,75
2006-09,76
2006-10,91
2006-11,77
2006-12,67
2007-01,72
2007-02,73
2007-03,78
2007-04,77
2007-05,78
2007-06,71
2007-07,71
2007-08,72
2007-09,77
2007-10,91
2007-11,70
2007-12,63
2008-01,71
2008-02,69
2008-03,78
2008-04,84
2008-05,77
2008-06,72
2008-07,71
2008-08,73
2008-09,81
2008-10,84
2008-11,69
2008-12,62
2009-01,71
2009-02,74
2009-03,79
2009-04,78
2009-05,80
2009-06,79
2009-07,75
2009-08,68
2009-09,81
2009-10,88
2009-11,71
2009-12,63
2010-01,72
2010-02,72
2010-03,76
2010-04,78
2010-05,73
2010-06,71
2010-07,62
2010-08,64
2010-09,79
2010-10,89
2010-11,69
2010-12,64
2011-01,74
2011-02,73
2011-03,74
2011-04,72
2011-05,72
2011-06,72
2011-07,69
2011-08,68
2011-09,79
2011-10,97
2011-11,74
2011-12,69
2012-01,75
2012-02,75
2012-03,76
2012-04,76
2012-05,77
2012-06,72
2012-07,68
2012-08,69
2012-09,81
2012-10,95
2012-11,70
2012-12,63
2013-01,70
2013-02,69
2013-03,72
2013-04,74
2013-05,74
2013-06,75
2013-07,76
2013-08,67
2013-09,73
2013-10,93
2013-11,73
2013-12,67
2014-01,71
2014-02,77
2014-03,77
2014-04,74
2014-05,74
2014-06,71
2014-07,70
2014-08,69
2014-09,76
2014-10,96
2014-11,73
2014-12,64
2015-01,73
2015-02,67
2015-03,71
2015-04,75
2015-05,74
2015-06,71
2015-07,71
2015-08,73
2015-09,83
2015-10,98
2015-11,75
2015-12,70
2016-01,84
2016-02,82
2016-03,78
2016-04,77
2016-05,73
2016-06,75
2016-07,71
2016-08,68
2016-09,79
2016-10,82
2016-11,69
2016-12,69
2017-01,73
2017-02,74
2017-03,76
2017-04,73
2017-05,74
2017-06,76
2017-07,75
2017-08,71
2017-09,74
2017-10,84
2017-11,73
2017-12,69
2018-01,74
2018-02,77
2018-03,77
2018-04,76
2018-05,76
2018-06,76
2018-07,77
2018-08,80
2018-09,80
2018-10,87
2018-11,77
2018-12,71
2019-01,77
2019-02,77
2019-03,87
2019-04,82
2019-05,76
2019-06,85
2019-07,79
2019-08,80
2019-09,80
2019-10,92
2019-11,77
2019-12,74
2020-01,81
2020-02,85
2020-03,63
2020-04,58
2020-05,59
2020-06,66
2020-07,70
2020-08,74
2020-09,71
2020-10,82
2020-11,66
2020-12,72
