Catégorie : Toutes catégories

Mois,transaction: (États-Unis)
2004-01,82
2004-02,86
2004-03,81
2004-04,98
2004-05,94
2004-06,87
2004-07,91
2004-08,88
2004-09,92
2004-10,84
2004-11,75
2004-12,79
2005-01,86
2005-02,81
2005-03,81
2005-04,95
2005-05,89
2005-06,83
2005-07,94
2005-08,93
2005-09,82
2005-10,88
2005-11,70
2005-12,69
2006-01,77
2006-02,74
2006-03,84
2006-04,74
2006-05,75
2006-06,87
2006-07,68
2006-08,69
2006-09,69
2006-10,76
2006-11,75
2006-12,58
2007-01,68
2007-02,71
2007-03,79
2007-04,76
2007-05,66
2007-06,77
2007-07,66
2007-08,72
2007-09,69
2007-10,70
2007-11,71
2007-12,69
2008-01,69
2008-02,72
2008-03,69
2008-04,76
2008-05,72
2008-06,67
2008-07,71
2008-08,71
2008-09,69
2008-10,74
2008-11,61
2008-12,60
2009-01,72
2009-02,75
2009-03,69
2009-04,73
2009-05,68
2009-06,72
2009-07,80
2009-08,71
2009-09,74
2009-10,71
2009-11,70
2009-12,66
2010-01,65
2010-02,71
2010-03,80
2010-04,75
2010-05,67
2010-06,79
2010-07,64
2010-08,71
2010-09,73
2010-10,77
2010-11,64
2010-12,57
2011-01,62
2011-02,73
2011-03,71
2011-04,70
2011-05,66
2011-06,71
2011-07,62
2011-08,74
2011-09,71
2011-10,71
2011-11,62
2011-12,59
2012-01,61
2012-02,67
2012-03,65
2012-04,62
2012-05,65
2012-06,66
2012-07,67
2012-08,66
2012-09,64
2012-10,65
2012-11,66
2012-12,57
2013-01,65
2013-02,72
2013-03,72
2013-04,69
2013-05,70
2013-06,63
2013-07,66
2013-08,64
2013-09,65
2013-10,70
2013-11,65
2013-12,65
2014-01,69
2014-02,79
2014-03,77
2014-04,72
2014-05,74
2014-06,75
2014-07,75
2014-08,72
2014-09,80
2014-10,72
2014-11,72
2014-12,69
2015-01,66
2015-02,81
2015-03,72
2015-04,75
2015-05,71
2015-06,82
2015-07,83
2015-08,84
2015-09,83
2015-10,77
2015-11,71
2015-12,74
2016-01,67
2016-02,75
2016-03,74
2016-04,78
2016-05,73
2016-06,75
2016-07,69
2016-08,70
2016-09,74
2016-10,72
2016-11,71
2016-12,70
2017-01,80
2017-02,81
2017-03,82
2017-04,81
2017-05,80
2017-06,78
2017-07,76
2017-08,78
2017-09,80
2017-10,83
2017-11,88
2017-12,100
2018-01,93
2018-02,86
2018-03,86
2018-04,83
2018-05,85
2018-06,82
2018-07,82
2018-08,87
2018-09,86
2018-10,84
2018-11,72
2018-12,74
2019-01,78
2019-02,83
2019-03,82
2019-04,87
2019-05,82
2019-06,82
2019-07,85
2019-08,83
2019-09,86
2019-10,82
2019-11,75
2019-12,73
2020-01,82
2020-02,90
2020-03,76
2020-04,83
2020-05,82
2020-06,81
2020-07,89
2020-08,88
2020-09,92
2020-10,85
2020-11,71
2020-12,83
