Catégorie : Toutes catégories

Mois,johnson: (États-Unis)
2004-01,54
2004-02,59
2004-03,58
2004-04,57
2004-05,59
2004-06,100
2004-07,60
2004-08,56
2004-09,53
2004-10,52
2004-11,51
2004-12,52
2005-01,57
2005-02,63
2005-03,68
2005-04,65
2005-05,65
2005-06,61
2005-07,65
2005-08,64
2005-09,63
2005-10,56
2005-11,58
2005-12,54
2006-01,59
2006-02,67
2006-03,61
2006-04,59
2006-05,60
2006-06,55
2006-07,54
2006-08,55
2006-09,53
2006-10,53
2006-11,51
2006-12,53
2007-01,53
2007-02,55
2007-03,53
2007-04,56
2007-05,54
2007-06,54
2007-07,55
2007-08,55
2007-09,55
2007-10,55
2007-11,50
2007-12,48
2008-01,53
2008-02,57
2008-03,58
2008-04,58
2008-05,55
2008-06,58
2008-07,54
2008-08,79
2008-09,57
2008-10,55
2008-11,50
2008-12,51
2009-01,52
2009-02,54
2009-03,58
2009-04,56
2009-05,53
2009-06,51
2009-07,54
2009-08,52
2009-09,53
2009-10,54
2009-11,55
2009-12,53
2010-01,68
2010-02,55
2010-03,53
2010-04,64
2010-05,54
2010-06,56
2010-07,56
2010-08,53
2010-09,53
2010-10,52
2010-11,56
2010-12,47
2011-01,55
2011-02,56
2011-03,55
2011-04,56
2011-05,61
2011-06,54
2011-07,54
2011-08,56
2011-09,56
2011-10,54
2011-11,54
2011-12,51
2012-01,53
2012-02,54
2012-03,59
2012-04,56
2012-05,57
2012-06,59
2012-07,61
2012-08,73
2012-09,60
2012-10,58
2012-11,60
2012-12,55
2013-01,55
2013-02,53
2013-03,51
2013-04,59
2013-05,54
2013-06,56
2013-07,55
2013-08,55
2013-09,65
2013-10,56
2013-11,54
2013-12,52
2014-01,56
2014-02,57
2014-03,53
2014-04,64
2014-05,61
2014-06,57
2014-07,59
2014-08,60
2014-09,53
2014-10,52
2014-11,50
2014-12,50
2015-01,54
2015-02,63
2015-03,60
2015-04,56
2015-05,59
2015-06,58
2015-07,63
2015-08,56
2015-09,59
2015-10,54
2015-11,52
2015-12,50
2016-01,54
2016-02,55
2016-03,57
2016-04,54
2016-05,55
2016-06,64
2016-07,73
2016-08,69
2016-09,64
2016-10,59
2016-11,59
2016-12,48
2017-01,50
2017-02,58
2017-03,52
2017-04,56
2017-05,53
2017-06,52
2017-07,53
2017-08,55
2017-09,55
2017-10,51
2017-11,46
2017-12,51
2018-01,52
2018-02,53
2018-03,53
2018-04,53
2018-05,50
2018-06,55
2018-07,53
2018-08,52
2018-09,50
2018-10,49
2018-11,47
2018-12,50
2019-01,48
2019-02,51
2019-03,48
2019-04,55
2019-05,48
2019-06,51
2019-07,56
2019-08,55
2019-09,51
2019-10,53
2019-11,54
2019-12,51
2020-01,53
2020-02,54
2020-03,49
2020-04,59
2020-05,49
2020-06,73
2020-07,54
2020-08,52
2020-09,48
2020-10,49
2020-11,49
2020-12,47
