Catégorie : Toutes catégories

Mois,mcdonalds: (États-Unis)
2004-01,18
2004-02,18
2004-03,22
2004-04,25
2004-05,22
2004-06,21
2004-07,17
2004-08,14
2004-09,17
2004-10,22
2004-11,22
2004-12,18
2005-01,19
2005-02,22
2005-03,24
2005-04,22
2005-05,20
2005-06,19
2005-07,19
2005-08,18
2005-09,19
2005-10,29
2005-11,26
2005-12,17
2006-01,19
2006-02,23
2006-03,25
2006-04,23
2006-05,22
2006-06,21
2006-07,24
2006-08,20
2006-09,21
2006-10,35
2006-11,22
2006-12,21
2007-01,24
2007-02,24
2007-03,29
2007-04,26
2007-05,27
2007-06,26
2007-07,24
2007-08,24
2007-09,27
2007-10,50
2007-11,26
2007-12,23
2008-01,26
2008-02,27
2008-03,28
2008-04,29
2008-05,31
2008-06,29
2008-07,28
2008-08,27
2008-09,30
2008-10,53
2008-11,37
2008-12,28
2009-01,31
2009-02,32
2009-03,37
2009-04,35
2009-05,34
2009-06,33
2009-07,37
2009-08,35
2009-09,34
2009-10,58
2009-11,37
2009-12,31
2010-01,37
2010-02,37
2010-03,40
2010-04,41
2010-05,39
2010-06,45
2010-07,47
2010-08,43
2010-09,41
2010-10,60
2010-11,42
2010-12,38
2011-01,50
2011-02,47
2011-03,51
2011-04,65
2011-05,54
2011-06,57
2011-07,58
2011-08,53
2011-09,55
2011-10,73
2011-11,54
2011-12,52
2012-01,60
2012-02,57
2012-03,57
2012-04,57
2012-05,56
2012-06,61
2012-07,61
2012-08,57
2012-09,56
2012-10,61
2012-11,50
2012-12,53
2013-01,54
2013-02,53
2013-03,56
2013-04,63
2013-05,63
2013-06,64
2013-07,76
2013-08,69
2013-09,60
2013-10,58
2013-11,58
2013-12,56
2014-01,57
2014-02,58
2014-03,58
2014-04,61
2014-05,60
2014-06,60
2014-07,59
2014-08,58
2014-09,57
2014-10,66
2014-11,52
2014-12,57
2015-01,56
2015-02,51
2015-03,55
2015-04,56
2015-05,58
2015-06,57
2015-07,68
2015-08,59
2015-09,58
2015-10,60
2015-11,58
2015-12,58
2016-01,56
2016-02,54
2016-03,59
2016-04,68
2016-05,61
2016-06,64
2016-07,67
2016-08,59
2016-09,55
2016-10,56
2016-11,57
2016-12,64
2017-01,63
2017-02,58
2017-03,63
2017-04,68
2017-05,70
2017-06,77
2017-07,80
2017-08,72
2017-09,67
2017-10,76
2017-11,70
2017-12,76
2018-01,70
2018-02,70
2018-03,73
2018-04,68
2018-05,69
2018-06,77
2018-07,89
2018-08,77
2018-09,70
2018-10,78
2018-11,70
2018-12,80
2019-01,77
2019-02,72
2019-03,76
2019-04,80
2019-05,85
2019-06,100
2019-07,95
2019-08,88
2019-09,76
2019-10,76
2019-11,82
2019-12,87
2020-01,76
2020-02,74
2020-03,74
2020-04,75
2020-05,76
2020-06,78
2020-07,71
2020-08,72
2020-09,83
2020-10,74
2020-11,71
2020-12,76
