Catégorie : Toutes catégories

Mois,hold: (États-Unis)
2004-01,68
2004-02,61
2004-03,53
2004-04,44
2004-05,51
2004-06,60
2004-07,75
2004-08,68
2004-09,64
2004-10,58
2004-11,58
2004-12,63
2005-01,65
2005-02,60
2005-03,64
2005-04,63
2005-05,69
2005-06,68
2005-07,75
2005-08,68
2005-09,62
2005-10,58
2005-11,59
2005-12,58
2006-01,59
2006-02,56
2006-03,52
2006-04,51
2006-05,53
2006-06,51
2006-07,51
2006-08,55
2006-09,52
2006-10,52
2006-11,51
2006-12,53
2007-01,54
2007-02,51
2007-03,52
2007-04,53
2007-05,55
2007-06,59
2007-07,56
2007-08,59
2007-09,58
2007-10,56
2007-11,56
2007-12,54
2008-01,54
2008-02,58
2008-03,54
2008-04,55
2008-05,55
2008-06,56
2008-07,58
2008-08,58
2008-09,57
2008-10,55
2008-11,64
2008-12,65
2009-01,62
2009-02,63
2009-03,62
2009-04,62
2009-05,64
2009-06,64
2009-07,69
2009-08,64
2009-09,61
2009-10,62
2009-11,62
2009-12,65
2010-01,63
2010-02,66
2010-03,66
2010-04,71
2010-05,75
2010-06,74
2010-07,74
2010-08,68
2010-09,66
2010-10,68
2010-11,68
2010-12,75
2011-01,100
2011-02,96
2011-03,81
2011-04,80
2011-05,76
2011-06,77
2011-07,76
2011-08,75
2011-09,73
2011-10,74
2011-11,75
2011-12,75
2012-01,73
2012-02,69
2012-03,67
2012-04,70
2012-05,68
2012-06,71
2012-07,71
2012-08,73
2012-09,72
2012-10,69
2012-11,71
2012-12,72
2013-01,70
2013-02,73
2013-03,73
2013-04,76
2013-05,77
2013-06,79
2013-07,78
2013-08,83
2013-09,78
2013-10,78
2013-11,77
2013-12,75
2014-01,75
2014-02,75
2014-03,76
2014-04,77
2014-05,76
2014-06,75
2014-07,79
2014-08,81
2014-09,78
2014-10,84
2014-11,83
2014-12,87
2015-01,76
2015-02,74
2015-03,73
2015-04,74
2015-05,76
2015-06,81
2015-07,80
2015-08,77
2015-09,80
2015-10,78
2015-11,77
2015-12,77
2016-01,77
2016-02,79
2016-03,78
2016-04,83
2016-05,96
2016-06,87
2016-07,83
2016-08,78
2016-09,82
2016-10,79
2016-11,80
2016-12,82
2017-01,80
2017-02,82
2017-03,80
2017-04,82
2017-05,82
2017-06,84
2017-07,82
2017-08,81
2017-09,78
2017-10,80
2017-11,80
2017-12,79
2018-01,77
2018-02,80
2018-03,80
2018-04,81
2018-05,84
2018-06,85
2018-07,84
2018-08,81
2018-09,84
2018-10,90
2018-11,83
2018-12,84
2019-01,85
2019-02,83
2019-03,82
2019-04,85
2019-05,85
2019-06,87
2019-07,86
2019-08,84
2019-09,84
2019-10,84
2019-11,82
2019-12,85
2020-01,84
2020-02,87
2020-03,92
2020-04,94
2020-05,93
2020-06,94
2020-07,91
2020-08,88
2020-09,89
2020-10,86
2020-11,85
2020-12,85
