Catégorie : Toutes catégories

Mois,nike: (États-Unis)
2004-01,20
2004-02,22
2004-03,25
2004-04,25
2004-05,23
2004-06,24
2004-07,27
2004-08,29
2004-09,24
2004-10,26
2004-11,25
2004-12,27
2005-01,25
2005-02,26
2005-03,27
2005-04,27
2005-05,25
2005-06,28
2005-07,28
2005-08,28
2005-09,24
2005-10,23
2005-11,26
2005-12,28
2006-01,25
2006-02,28
2006-03,27
2006-04,29
2006-05,26
2006-06,28
2006-07,28
2006-08,29
2006-09,27
2006-10,25
2006-11,27
2006-12,32
2007-01,26
2007-02,28
2007-03,28
2007-04,28
2007-05,27
2007-06,27
2007-07,29
2007-08,31
2007-09,30
2007-10,27
2007-11,30
2007-12,33
2008-01,27
2008-02,30
2008-03,32
2008-04,33
2008-05,31
2008-06,31
2008-07,32
2008-08,37
2008-09,30
2008-10,29
2008-11,31
2008-12,35
2009-01,29
2009-02,31
2009-03,31
2009-04,31
2009-05,31
2009-06,30
2009-07,31
2009-08,33
2009-09,29
2009-10,30
2009-11,32
2009-12,34
2010-01,27
2010-02,31
2010-03,31
2010-04,34
2010-05,33
2010-06,32
2010-07,31
2010-08,34
2010-09,32
2010-10,31
2010-11,34
2010-12,38
2011-01,33
2011-02,38
2011-03,39
2011-04,39
2011-05,37
2011-06,35
2011-07,37
2011-08,41
2011-09,40
2011-10,36
2011-11,39
2011-12,45
2012-01,41
2012-02,51
2012-03,47
2012-04,57
2012-05,44
2012-06,49
2012-07,50
2012-08,57
2012-09,45
2012-10,42
2012-11,49
2012-12,52
2013-01,45
2013-02,49
2013-03,48
2013-04,48
2013-05,47
2013-06,44
2013-07,46
2013-08,52
2013-09,44
2013-10,44
2013-11,52
2013-12,60
2014-01,48
2014-02,54
2014-03,55
2014-04,53
2014-05,49
2014-06,49
2014-07,51
2014-08,55
2014-09,46
2014-10,44
2014-11,53
2014-12,63
2015-01,50
2015-02,52
2015-03,51
2015-04,51
2015-05,51
2015-06,48
2015-07,57
2015-08,59
2015-09,50
2015-10,52
2015-11,63
2015-12,69
2016-01,58
2016-02,61
2016-03,63
2016-04,60
2016-05,55
2016-06,54
2016-07,59
2016-08,64
2016-09,53
2016-10,54
2016-11,68
2016-12,70
2017-01,51
2017-02,54
2017-03,57
2017-04,53
2017-05,50
2017-06,51
2017-07,58
2017-08,61
2017-09,53
2017-10,49
2017-11,65
2017-12,67
2018-01,49
2018-02,55
2018-03,56
2018-04,53
2018-05,51
2018-06,51
2018-07,60
2018-08,63
2018-09,100
2018-10,49
2018-11,62
2018-12,72
2019-01,52
2019-02,57
2019-03,58
2019-04,55
2019-05,52
2019-06,54
2019-07,65
2019-08,64
2019-09,51
2019-10,48
2019-11,67
2019-12,79
2020-01,58
2020-02,60
2020-03,50
2020-04,53
2020-05,65
2020-06,66
2020-07,68
2020-08,63
2020-09,55
2020-10,55
2020-11,64
2020-12,76
