Catégorie : Toutes catégories

Mois,oracle: (États-Unis)
2004-01,88
2004-02,95
2004-03,90
2004-04,95
2004-05,93
2004-06,100
2004-07,100
2004-08,98
2004-09,95
2004-10,92
2004-11,83
2004-12,85
2005-01,90
2005-02,87
2005-03,90
2005-04,85
2005-05,83
2005-06,91
2005-07,87
2005-08,88
2005-09,84
2005-10,81
2005-11,77
2005-12,72
2006-01,76
2006-02,81
2006-03,85
2006-04,77
2006-05,79
2006-06,80
2006-07,71
2006-08,77
2006-09,72
2006-10,75
2006-11,68
2006-12,57
2007-01,66
2007-02,69
2007-03,74
2007-04,67
2007-05,74
2007-06,76
2007-07,69
2007-08,74
2007-09,67
2007-10,76
2007-11,68
2007-12,56
2008-01,68
2008-02,67
2008-03,67
2008-04,70
2008-05,65
2008-06,69
2008-07,68
2008-08,64
2008-09,67
2008-10,66
2008-11,57
2008-12,56
2009-01,63
2009-02,66
2009-03,67
2009-04,71
2009-05,61
2009-06,68
2009-07,67
2009-08,65
2009-09,64
2009-10,66
2009-11,61
2009-12,57
2010-01,61
2010-02,67
2010-03,68
2010-04,67
2010-05,64
2010-06,68
2010-07,58
2010-08,61
2010-09,62
2010-10,59
2010-11,54
2010-12,48
2011-01,47
2011-02,53
2011-03,55
2011-04,50
2011-05,48
2011-06,53
2011-07,47
2011-08,50
2011-09,49
2011-10,48
2011-11,42
2011-12,38
2012-01,43
2012-02,45
2012-03,45
2012-04,45
2012-05,46
2012-06,46
2012-07,43
2012-08,46
2012-09,44
2012-10,44
2012-11,38
2012-12,34
2013-01,43
2013-02,44
2013-03,43
2013-04,43
2013-05,43
2013-06,43
2013-07,42
2013-08,42
2013-09,46
2013-10,43
2013-11,39
2013-12,34
2014-01,40
2014-02,42
2014-03,40
2014-04,42
2014-05,40
2014-06,42
2014-07,43
2014-08,41
2014-09,44
2014-10,42
2014-11,37
2014-12,36
2015-01,39
2015-02,40
2015-03,41
2015-04,41
2015-05,40
2015-06,45
2015-07,42
2015-08,42
2015-09,42
2015-10,42
2015-11,37
2015-12,34
2016-01,32
2016-02,36
2016-03,37
2016-04,35
2016-05,35
2016-06,38
2016-07,32
2016-08,35
2016-09,33
2016-10,32
2016-11,31
2016-12,28
2017-01,31
2017-02,34
2017-03,35
2017-04,32
2017-05,32
2017-06,34
2017-07,30
2017-08,32
2017-09,32
2017-10,32
2017-11,31
2017-12,26
2018-01,29
2018-02,31
2018-03,31
2018-04,30
2018-05,31
2018-06,30
2018-07,28
2018-08,31
2018-09,29
2018-10,32
2018-11,27
2018-12,24
2019-01,29
2019-02,30
2019-03,30
2019-04,31
2019-05,30
2019-06,31
2019-07,28
2019-08,28
2019-09,29
2019-10,29
2019-11,25
2019-12,22
2020-01,26
2020-02,28
2020-03,27
2020-04,24
2020-05,23
2020-06,25
2020-07,25
2020-08,24
2020-09,33
2020-10,23
2020-11,19
2020-12,22
