Catégorie : Toutes catégories

Mois,invest: (États-Unis)
2004-01,34
2004-02,26
2004-03,26
2004-04,32
2004-05,27
2004-06,29
2004-07,21
2004-08,24
2004-09,28
2004-10,26
2004-11,33
2004-12,32
2005-01,29
2005-02,33
2005-03,35
2005-04,29
2005-05,30
2005-06,32
2005-07,29
2005-08,28
2005-09,31
2005-10,30
2005-11,30
2005-12,36
2006-01,39
2006-02,34
2006-03,34
2006-04,37
2006-05,37
2006-06,35
2006-07,33
2006-08,26
2006-09,27
2006-10,30
2006-11,29
2006-12,27
2007-01,36
2007-02,37
2007-03,30
2007-04,29
2007-05,34
2007-06,35
2007-07,32
2007-08,34
2007-09,36
2007-10,35
2007-11,37
2007-12,32
2008-01,40
2008-02,39
2008-03,41
2008-04,37
2008-05,37
2008-06,34
2008-07,37
2008-08,29
2008-09,40
2008-10,47
2008-11,33
2008-12,29
2009-01,32
2009-02,35
2009-03,38
2009-04,32
2009-05,26
2009-06,31
2009-07,27
2009-08,28
2009-09,28
2009-10,35
2009-11,32
2009-12,30
2010-01,36
2010-02,35
2010-03,36
2010-04,36
2010-05,32
2010-06,27
2010-07,26
2010-08,28
2010-09,32
2010-10,31
2010-11,33
2010-12,32
2011-01,39
2011-02,38
2011-03,39
2011-04,35
2011-05,32
2011-06,30
2011-07,31
2011-08,36
2011-09,33
2011-10,31
2011-11,30
2011-12,29
2012-01,34
2012-02,37
2012-03,35
2012-04,33
2012-05,31
2012-06,27
2012-07,26
2012-08,29
2012-09,33
2012-10,30
2012-11,29
2012-12,29
2013-01,35
2013-02,35
2013-03,34
2013-04,34
2013-05,32
2013-06,27
2013-07,30
2013-08,28
2013-09,38
2013-10,44
2013-11,37
2013-12,38
2014-01,43
2014-02,44
2014-03,41
2014-04,39
2014-05,37
2014-06,35
2014-07,37
2014-08,34
2014-09,37
2014-10,40
2014-11,38
2014-12,42
2015-01,44
2015-02,43
2015-03,41
2015-04,44
2015-05,38
2015-06,39
2015-07,39
2015-08,41
2015-09,39
2015-10,37
2015-11,40
2015-12,38
2016-01,46
2016-02,45
2016-03,42
2016-04,43
2016-05,38
2016-06,38
2016-07,38
2016-08,57
2016-09,43
2016-10,40
2016-11,45
2016-12,42
2017-01,52
2017-02,56
2017-03,52
2017-04,50
2017-05,50
2017-06,50
2017-07,50
2017-08,54
2017-09,50
2017-10,58
2017-11,66
2017-12,98
2018-01,91
2018-02,68
2018-03,57
2018-04,54
2018-05,54
2018-06,51
2018-07,55
2018-08,62
2018-09,65
2018-10,58
2018-11,50
2018-12,53
2019-01,61
2019-02,61
2019-03,58
2019-04,59
2019-05,53
2019-06,54
2019-07,57
2019-08,53
2019-09,58
2019-10,54
2019-11,54
2019-12,55
2020-01,68
2020-02,74
2020-03,100
2020-04,94
2020-05,78
2020-06,79
2020-07,84
2020-08,83
2020-09,76
2020-10,68
2020-11,70
2020-12,89
