Catégorie : Toutes catégories

Mois,netflix: (États-Unis)
2004-01,5
2004-02,4
2004-03,5
2004-04,4
2004-05,4
2004-06,5
2004-07,6
2004-08,5
2004-09,6
2004-10,6
2004-11,6
2004-12,8
2005-01,8
2005-02,8
2005-03,8
2005-04,7
2005-05,7
2005-06,8
2005-07,9
2005-08,9
2005-09,8
2005-10,8
2005-11,10
2005-12,11
2006-01,12
2006-02,11
2006-03,11
2006-04,10
2006-05,10
2006-06,12
2006-07,12
2006-08,12
2006-09,12
2006-10,12
2006-11,12
2006-12,14
2007-01,16
2007-02,14
2007-03,13
2007-04,13
2007-05,12
2007-06,13
2007-07,15
2007-08,14
2007-09,14
2007-10,13
2007-11,13
2007-12,15
2008-01,17
2008-02,16
2008-03,16
2008-04,14
2008-05,15
2008-06,17
2008-07,17
2008-08,17
2008-09,16
2008-10,16
2008-11,20
2008-12,24
2009-01,26
2009-02,23
2009-03,22
2009-04,20
2009-05,21
2009-06,23
2009-07,25
2009-08,26
2009-09,24
2009-10,25
2009-11,28
2009-12,33
2010-01,37
2010-02,34
2010-03,36
2010-04,36
2010-05,37
2010-06,42
2010-07,42
2010-08,42
2010-09,45
2010-10,47
2010-11,48
2010-12,56
2011-01,75
2011-02,68
2011-03,70
2011-04,69
2011-05,72
2011-06,81
2011-07,89
2011-08,77
2011-09,73
2011-10,69
2011-11,66
2011-12,72
2012-01,75
2012-02,69
2012-03,68
2012-04,62
2012-05,61
2012-06,72
2012-07,69
2012-08,66
2012-09,65
2012-10,68
2012-11,69
2012-12,84
2013-01,79
2013-02,73
2013-03,72
2013-04,68
2013-05,69
2013-06,76
2013-07,76
2013-08,75
2013-09,72
2013-10,71
2013-11,73
2013-12,86
2014-01,90
2014-02,77
2014-03,70
2014-04,65
2014-05,65
2014-06,70
2014-07,71
2014-08,71
2014-09,66
2014-10,64
2014-11,69
2014-12,75
2015-01,78
2015-02,68
2015-03,67
2015-04,66
2015-05,68
2015-06,77
2015-07,74
2015-08,76
2015-09,73
2015-10,70
2015-11,70
2015-12,75
2016-01,73
2016-02,58
2016-03,62
2016-04,57
2016-05,55
2016-06,59
2016-07,60
2016-08,56
2016-09,57
2016-10,58
2016-11,56
2016-12,64
2017-01,66
2017-02,57
2017-03,57
2017-04,59
2017-05,56
2017-06,59
2017-07,63
2017-08,59
2017-09,56
2017-10,59
2017-11,60
2017-12,71
2018-01,70
2018-02,61
2018-03,65
2018-04,60
2018-05,61
2018-06,64
2018-07,63
2018-08,61
2018-09,60
2018-10,61
2018-11,59
2018-12,80
2019-01,87
2019-02,66
2019-03,63
2019-04,59
2019-05,64
2019-06,67
2019-07,67
2019-08,62
2019-09,61
2019-10,60
2019-11,62
2019-12,70
2020-01,78
2020-02,65
2020-03,90
2020-04,100
2020-05,85
2020-06,73
2020-07,76
2020-08,71
2020-09,80
2020-10,71
2020-11,65
2020-12,75
