Catégorie : Toutes catégories

Mois,financial markets: (États-Unis)
2004-01,30
2004-02,42
2004-03,83
2004-04,52
2004-05,48
2004-06,65
2004-07,100
2004-08,30
2004-09,56
2004-10,43
2004-11,55
2004-12,23
2005-01,67
2005-02,54
2005-03,61
2005-04,37
2005-05,57
2005-06,55
2005-07,40
2005-08,27
2005-09,22
2005-10,33
2005-11,21
2005-12,29
2006-01,34
2006-02,51
2006-03,38
2006-04,35
2006-05,43
2006-06,35
2006-07,29
2006-08,31
2006-09,44
2006-10,40
2006-11,36
2006-12,41
2007-01,45
2007-02,34
2007-03,38
2007-04,45
2007-05,44
2007-06,32
2007-07,41
2007-08,61
2007-09,49
2007-10,64
2007-11,48
2007-12,48
2008-01,50
2008-02,41
2008-03,40
2008-04,54
2008-05,39
2008-06,37
2008-07,40
2008-08,40
2008-09,94
2008-10,90
2008-11,52
2008-12,59
2009-01,56
2009-02,69
2009-03,55
2009-04,49
2009-05,37
2009-06,26
2009-07,42
2009-08,39
2009-09,48
2009-10,51
2009-11,50
2009-12,35
2010-01,38
2010-02,44
2010-03,36
2010-04,40
2010-05,31
2010-06,28
2010-07,31
2010-08,28
2010-09,38
2010-10,33
2010-11,40
2010-12,30
2011-01,35
2011-02,44
2011-03,34
2011-04,31
2011-05,31
2011-06,32
2011-07,30
2011-08,54
2011-09,38
2011-10,45
2011-11,38
2011-12,26
2012-01,38
2012-02,38
2012-03,34
2012-04,30
2012-05,34
2012-06,24
2012-07,24
2012-08,26
2012-09,29
2012-10,31
2012-11,34
2012-12,24
2013-01,34
2013-02,34
2013-03,22
2013-04,27
2013-05,25
2013-06,24
2013-07,19
2013-08,23
2013-09,34
2013-10,30
2013-11,23
2013-12,28
2014-01,26
2014-02,36
2014-03,26
2014-04,31
2014-05,26
2014-06,25
2014-07,25
2014-08,25
2014-09,35
2014-10,31
2014-11,30
2014-12,24
2015-01,29
2015-02,29
2015-03,30
2015-04,34
2015-05,24
2015-06,22
2015-07,24
2015-08,35
2015-09,38
2015-10,34
2015-11,32
2015-12,31
2016-01,40
2016-02,36
2016-03,34
2016-04,30
2016-05,23
2016-06,36
2016-07,24
2016-08,24
2016-09,33
2016-10,29
2016-11,51
2016-12,27
2017-01,24
2017-02,35
2017-03,29
2017-04,36
2017-05,27
2017-06,17
2017-07,22
2017-08,25
2017-09,35
2017-10,30
2017-11,27
2017-12,20
2018-01,31
2018-02,39
2018-03,30
2018-04,31
2018-05,27
2018-06,22
2018-07,23
2018-08,25
2018-09,29
2018-10,28
2018-11,27
2018-12,32
2019-01,27
2019-02,29
2019-03,27
2019-04,31
2019-05,25
2019-06,20
2019-07,19
2019-08,27
2019-09,29
2019-10,29
2019-11,23
2019-12,21
2020-01,28
2020-02,34
2020-03,51
2020-04,36
2020-05,27
2020-06,29
2020-07,25
2020-08,22
2020-09,32
2020-10,31
2020-11,34
2020-12,26
