Catégorie : Toutes catégories

Mois,gross: (États-Unis)
2004-01,82
2004-02,82
2004-03,83
2004-04,76
2004-05,74
2004-06,68
2004-07,79
2004-08,69
2004-09,65
2004-10,78
2004-11,63
2004-12,64
2005-01,71
2005-02,78
2005-03,74
2005-04,74
2005-05,71
2005-06,73
2005-07,64
2005-08,64
2005-09,64
2005-10,73
2005-11,75
2005-12,76
2006-01,70
2006-02,75
2006-03,69
2006-04,72
2006-05,69
2006-06,63
2006-07,62
2006-08,59
2006-09,58
2006-10,66
2006-11,60
2006-12,57
2007-01,64
2007-02,69
2007-03,62
2007-04,67
2007-05,64
2007-06,62
2007-07,58
2007-08,57
2007-09,56
2007-10,67
2007-11,66
2007-12,62
2008-01,68
2008-02,75
2008-03,63
2008-04,70
2008-05,63
2008-06,56
2008-07,66
2008-08,58
2008-09,66
2008-10,71
2008-11,62
2008-12,64
2009-01,66
2009-02,73
2009-03,71
2009-04,67
2009-05,62
2009-06,64
2009-07,58
2009-08,57
2009-09,64
2009-10,71
2009-11,65
2009-12,62
2010-01,71
2010-02,72
2010-03,69
2010-04,72
2010-05,62
2010-06,60
2010-07,58
2010-08,57
2010-09,64
2010-10,67
2010-11,63
2010-12,59
2011-01,70
2011-02,72
2011-03,72
2011-04,71
2011-05,64
2011-06,63
2011-07,61
2011-08,63
2011-09,64
2011-10,70
2011-11,66
2011-12,60
2012-01,71
2012-02,73
2012-03,70
2012-04,69
2012-05,70
2012-06,61
2012-07,63
2012-08,61
2012-09,65
2012-10,68
2012-11,64
2012-12,59
2013-01,70
2013-02,73
2013-03,73
2013-04,78
2013-05,66
2013-06,64
2013-07,66
2013-08,64
2013-09,66
2013-10,71
2013-11,68
2013-12,62
2014-01,72
2014-02,75
2014-03,75
2014-04,75
2014-05,66
2014-06,68
2014-07,68
2014-08,63
2014-09,75
2014-10,77
2014-11,70
2014-12,75
2015-01,81
2015-02,79
2015-03,74
2015-04,79
2015-05,75
2015-06,73
2015-07,71
2015-08,68
2015-09,72
2015-10,79
2015-11,72
2015-12,74
2016-01,75
2016-02,79
2016-03,76
2016-04,79
2016-05,70
2016-06,64
2016-07,61
2016-08,58
2016-09,68
2016-10,70
2016-11,66
2016-12,63
2017-01,70
2017-02,76
2017-03,77
2017-04,74
2017-05,69
2017-06,63
2017-07,62
2017-08,63
2017-09,68
2017-10,76
2017-11,72
2017-12,68
2018-01,72
2018-02,83
2018-03,80
2018-04,79
2018-05,69
2018-06,63
2018-07,64
2018-08,68
2018-09,67
2018-10,77
2018-11,68
2018-12,64
2019-01,72
2019-02,79
2019-03,77
2019-04,79
2019-05,74
2019-06,65
2019-07,65
2019-08,65
2019-09,67
2019-10,74
2019-11,65
2019-12,63
2020-01,76
2020-02,79
2020-03,80
2020-04,100
2020-05,67
2020-06,66
2020-07,70
2020-08,63
2020-09,72
2020-10,75
2020-11,61
2020-12,67
