Catégorie : Toutes catégories

Mois,united health: (États-Unis)
2004-01,69
2004-02,82
2004-03,69
2004-04,88
2004-05,72
2004-06,78
2004-07,77
2004-08,76
2004-09,79
2004-10,89
2004-11,76
2004-12,73
2005-01,75
2005-02,87
2005-03,68
2005-04,81
2005-05,71
2005-06,80
2005-07,77
2005-08,75
2005-09,81
2005-10,97
2005-11,100
2005-12,80
2006-01,88
2006-02,72
2006-03,71
2006-04,76
2006-05,81
2006-06,91
2006-07,73
2006-08,82
2006-09,81
2006-10,94
2006-11,86
2006-12,69
2007-01,99
2007-02,91
2007-03,88
2007-04,86
2007-05,84
2007-06,81
2007-07,84
2007-08,87
2007-09,82
2007-10,93
2007-11,89
2007-12,69
2008-01,84
2008-02,87
2008-03,76
2008-04,73
2008-05,66
2008-06,68
2008-07,72
2008-08,67
2008-09,59
2008-10,72
2008-11,67
2008-12,59
2009-01,70
2009-02,66
2009-03,67
2009-04,69
2009-05,63
2009-06,61
2009-07,59
2009-08,67
2009-09,62
2009-10,67
2009-11,64
2009-12,59
2010-01,60
2010-02,61
2010-03,73
2010-04,56
2010-05,50
2010-06,56
2010-07,45
2010-08,52
2010-09,49
2010-10,57
2010-11,48
2010-12,48
2011-01,58
2011-02,54
2011-03,52
2011-04,52
2011-05,54
2011-06,52
2011-07,50
2011-08,53
2011-09,49
2011-10,56
2011-11,52
2011-12,44
2012-01,49
2012-02,44
2012-03,41
2012-04,43
2012-05,39
2012-06,43
2012-07,40
2012-08,40
2012-09,41
2012-10,47
2012-11,44
2012-12,34
2013-01,44
2013-02,39
2013-03,39
2013-04,41
2013-05,43
2013-06,37
2013-07,38
2013-08,39
2013-09,41
2013-10,50
2013-11,46
2013-12,35
2014-01,39
2014-02,42
2014-03,40
2014-04,42
2014-05,37
2014-06,37
2014-07,42
2014-08,39
2014-09,41
2014-10,45
2014-11,44
2014-12,43
2015-01,44
2015-02,41
2015-03,41
2015-04,41
2015-05,36
2015-06,44
2015-07,40
2015-08,42
2015-09,46
2015-10,51
2015-11,54
2015-12,49
2016-01,46
2016-02,43
2016-03,43
2016-04,42
2016-05,38
2016-06,40
2016-07,37
2016-08,38
2016-09,40
2016-10,43
2016-11,48
2016-12,37
2017-01,43
2017-02,41
2017-03,42
2017-04,41
2017-05,42
2017-06,39
2017-07,35
2017-08,37
2017-09,36
2017-10,43
2017-11,47
2017-12,41
2018-01,42
2018-02,43
2018-03,41
2018-04,41
2018-05,37
2018-06,38
2018-07,37
2018-08,38
2018-09,39
2018-10,46
2018-11,44
2018-12,38
2019-01,43
2019-02,40
2019-03,39
2019-04,42
2019-05,37
2019-06,38
2019-07,40
2019-08,38
2019-09,40
2019-10,47
2019-11,44
2019-12,38
2020-01,44
2020-02,43
2020-03,46
2020-04,36
2020-05,33
2020-06,35
2020-07,39
2020-08,38
2020-09,42
2020-10,47
2020-11,44
2020-12,51
