Catégorie : Toutes catégories

Mois,rich: (États-Unis)
2004-01,33
2004-02,35
2004-03,35
2004-04,34
2004-05,35
2004-06,37
2004-07,40
2004-08,37
2004-09,37
2004-10,38
2004-11,36
2004-12,37
2005-01,39
2005-02,41
2005-03,41
2005-04,39
2005-05,39
2005-06,35
2005-07,36
2005-08,36
2005-09,39
2005-10,41
2005-11,48
2005-12,38
2006-01,36
2006-02,34
2006-03,36
2006-04,37
2006-05,36
2006-06,35
2006-07,34
2006-08,32
2006-09,33
2006-10,38
2006-11,35
2006-12,38
2007-01,36
2007-02,37
2007-03,39
2007-04,40
2007-05,40
2007-06,39
2007-07,39
2007-08,37
2007-09,36
2007-10,36
2007-11,35
2007-12,39
2008-01,37
2008-02,36
2008-03,36
2008-04,36
2008-05,32
2008-06,34
2008-07,35
2008-08,34
2008-09,34
2008-10,35
2008-11,34
2008-12,34
2009-01,36
2009-02,36
2009-03,36
2009-04,37
2009-05,34
2009-06,35
2009-07,35
2009-08,36
2009-09,36
2009-10,35
2009-11,35
2009-12,33
2010-01,33
2010-02,32
2010-03,34
2010-04,35
2010-05,34
2010-06,37
2010-07,32
2010-08,32
2010-09,38
2010-10,34
2010-11,32
2010-12,32
2011-01,41
2011-02,35
2011-03,35
2011-04,37
2011-05,38
2011-06,35
2011-07,37
2011-08,36
2011-09,36
2011-10,36
2011-11,35
2011-12,33
2012-01,41
2012-02,39
2012-03,39
2012-04,39
2012-05,36
2012-06,35
2012-07,38
2012-08,41
2012-09,40
2012-10,38
2012-11,38
2012-12,41
2013-01,44
2013-02,39
2013-03,43
2013-04,46
2013-05,45
2013-06,47
2013-07,49
2013-08,46
2013-09,44
2013-10,44
2013-11,46
2013-12,48
2014-01,55
2014-02,50
2014-03,53
2014-04,46
2014-05,49
2014-06,45
2014-07,51
2014-08,51
2014-09,50
2014-10,54
2014-11,48
2014-12,46
2015-01,49
2015-02,45
2015-03,47
2015-04,47
2015-05,51
2015-06,50
2015-07,47
2015-08,42
2015-09,43
2015-10,42
2015-11,42
2015-12,40
2016-01,43
2016-02,41
2016-03,40
2016-04,42
2016-05,42
2016-06,39
2016-07,41
2016-08,39
2016-09,38
2016-10,37
2016-11,35
2016-12,36
2017-01,45
2017-02,36
2017-03,38
2017-04,37
2017-05,46
2017-06,38
2017-07,37
2017-08,55
2017-09,36
2017-10,38
2017-11,37
2017-12,37
2018-01,38
2018-02,39
2018-03,40
2018-04,41
2018-05,39
2018-06,44
2018-07,46
2018-08,100
2018-09,69
2018-10,47
2018-11,47
2018-12,46
2019-01,46
2019-02,44
2019-03,39
2019-04,41
2019-05,40
2019-06,40
2019-07,39
2019-08,40
2019-09,36
2019-10,36
2019-11,36
2019-12,37
2020-01,38
2020-02,40
2020-03,38
2020-04,39
2020-05,40
2020-06,37
2020-07,39
2020-08,37
2020-09,37
2020-10,38
2020-11,35
2020-12,39
