Catégorie : Toutes catégories

Mois,short sell: (États-Unis)
2004-01,41
2004-02,38
2004-03,17
2004-04,10
2004-05,29
2004-06,20
2004-07,13
2004-08,16
2004-09,30
2004-10,39
2004-11,23
2004-12,23
2005-01,18
2005-02,21
2005-03,26
2005-04,28
2005-05,29
2005-06,22
2005-07,18
2005-08,20
2005-09,20
2005-10,12
2005-11,21
2005-12,17
2006-01,20
2006-02,21
2006-03,33
2006-04,15
2006-05,25
2006-06,17
2006-07,19
2006-08,15
2006-09,24
2006-10,24
2006-11,19
2006-12,25
2007-01,20
2007-02,21
2007-03,30
2007-04,18
2007-05,26
2007-06,15
2007-07,31
2007-08,33
2007-09,32
2007-10,36
2007-11,35
2007-12,28
2008-01,49
2008-02,43
2008-03,39
2008-04,49
2008-05,32
2008-06,47
2008-07,54
2008-08,41
2008-09,100
2008-10,67
2008-11,51
2008-12,41
2009-01,44
2009-02,42
2009-03,53
2009-04,43
2009-05,42
2009-06,45
2009-07,37
2009-08,34
2009-09,39
2009-10,33
2009-11,29
2009-12,31
2010-01,34
2010-02,32
2010-03,41
2010-04,38
2010-05,38
2010-06,35
2010-07,32
2010-08,27
2010-09,27
2010-10,26
2010-11,26
2010-12,24
2011-01,37
2011-02,31
2011-03,35
2011-04,29
2011-05,29
2011-06,36
2011-07,32
2011-08,41
2011-09,33
2011-10,29
2011-11,25
2011-12,22
2012-01,29
2012-02,32
2012-03,28
2012-04,26
2012-05,33
2012-06,28
2012-07,28
2012-08,23
2012-09,28
2012-10,24
2012-11,21
2012-12,20
2013-01,23
2013-02,29
2013-03,27
2013-04,25
2013-05,24
2013-06,21
2013-07,23
2013-08,22
2013-09,24
2013-10,26
2013-11,27
2013-12,17
2014-01,22
2014-02,24
2014-03,26
2014-04,25
2014-05,22
2014-06,21
2014-07,22
2014-08,24
2014-09,23
2014-10,20
2014-11,17
2014-12,20
2015-01,21
2015-02,27
2015-03,26
2015-04,24
2015-05,18
2015-06,20
2015-07,20
2015-08,18
2015-09,23
2015-10,24
2015-11,20
2015-12,22
2016-01,26
2016-02,27
2016-03,27
2016-04,26
2016-05,26
2016-06,20
2016-07,22
2016-08,17
2016-09,21
2016-10,22
2016-11,24
2016-12,21
2017-01,22
2017-02,22
2017-03,25
2017-04,24
2017-05,21
2017-06,20
2017-07,22
2017-08,18
2017-09,22
2017-10,24
2017-11,22
2017-12,25
2018-01,22
2018-02,22
2018-03,26
2018-04,21
2018-05,23
2018-06,19
2018-07,19
2018-08,21
2018-09,26
2018-10,27
2018-11,21
2018-12,19
2019-01,20
2019-02,21
2019-03,22
2019-04,22
2019-05,20
2019-06,20
2019-07,16
2019-08,19
2019-09,22
2019-10,20
2019-11,21
2019-12,19
2020-01,21
2020-02,32
2020-03,40
2020-04,37
2020-05,33
2020-06,38
2020-07,31
2020-08,27
2020-09,30
2020-10,26
2020-11,29
2020-12,39
