Catégorie : Toutes catégories

Mois,bonds: (États-Unis)
2004-01,65
2004-02,62
2004-03,64
2004-04,70
2004-05,62
2004-06,63
2004-07,60
2004-08,60
2004-09,64
2004-10,65
2004-11,62
2004-12,74
2005-01,58
2005-02,66
2005-03,70
2005-04,59
2005-05,64
2005-06,52
2005-07,52
2005-08,53
2005-09,54
2005-10,53
2005-11,59
2005-12,58
2006-01,58
2006-02,56
2006-03,73
2006-04,67
2006-05,83
2006-06,53
2006-07,50
2006-08,50
2006-09,50
2006-10,45
2006-11,47
2006-12,52
2007-01,50
2007-02,48
2007-03,46
2007-04,52
2007-05,53
2007-06,55
2007-07,70
2007-08,100
2007-09,64
2007-10,52
2007-11,58
2007-12,51
2008-01,47
2008-02,51
2008-03,52
2008-04,53
2008-05,44
2008-06,40
2008-07,46
2008-08,40
2008-09,51
2008-10,60
2008-11,53
2008-12,54
2009-01,49
2009-02,57
2009-03,54
2009-04,53
2009-05,45
2009-06,48
2009-07,44
2009-08,40
2009-09,45
2009-10,48
2009-11,46
2009-12,46
2010-01,45
2010-02,46
2010-03,45
2010-04,46
2010-05,40
2010-06,37
2010-07,37
2010-08,38
2010-09,44
2010-10,44
2010-11,44
2010-12,43
2011-01,48
2011-02,48
2011-03,51
2011-04,59
2011-05,42
2011-06,43
2011-07,43
2011-08,43
2011-09,47
2011-10,47
2011-11,48
2011-12,48
2012-01,48
2012-02,49
2012-03,43
2012-04,44
2012-05,42
2012-06,37
2012-07,38
2012-08,37
2012-09,46
2012-10,45
2012-11,46
2012-12,42
2013-01,45
2013-02,45
2013-03,42
2013-04,43
2013-05,41
2013-06,36
2013-07,37
2013-08,37
2013-09,48
2013-10,47
2013-11,44
2013-12,41
2014-01,42
2014-02,46
2014-03,43
2014-04,44
2014-05,39
2014-06,34
2014-07,35
2014-08,33
2014-09,46
2014-10,47
2014-11,44
2014-12,45
2015-01,41
2015-02,44
2015-03,42
2015-04,44
2015-05,41
2015-06,36
2015-07,35
2015-08,36
2015-09,48
2015-10,47
2015-11,45
2015-12,43
2016-01,46
2016-02,50
2016-03,46
2016-04,48
2016-05,41
2016-06,37
2016-07,34
2016-08,35
2016-09,49
2016-10,48
2016-11,47
2016-12,44
2017-01,44
2017-02,49
2017-03,46
2017-04,45
2017-05,42
2017-06,35
2017-07,35
2017-08,36
2017-09,46
2017-10,49
2017-11,46
2017-12,43
2018-01,44
2018-02,48
2018-03,42
2018-04,42
2018-05,40
2018-06,33
2018-07,32
2018-08,37
2018-09,46
2018-10,49
2018-11,45
2018-12,42
2019-01,42
2019-02,45
2019-03,41
2019-04,42
2019-05,39
2019-06,34
2019-07,31
2019-08,35
2019-09,45
2019-10,44
2019-11,42
2019-12,38
2020-01,41
2020-02,45
2020-03,44
2020-04,42
2020-05,36
2020-06,33
2020-07,30
2020-08,33
2020-09,51
2020-10,46
2020-11,39
2020-12,48
