Catégorie : Toutes catégories

Mois,salesforce: (États-Unis)
2004-01,1
2004-02,2
2004-03,2
2004-04,4
2004-05,2
2004-06,3
2004-07,2
2004-08,2
2004-09,2
2004-10,2
2004-11,2
2004-12,2
2005-01,2
2005-02,3
2005-03,3
2005-04,3
2005-05,3
2005-06,3
2005-07,4
2005-08,3
2005-09,4
2005-10,3
2005-11,4
2005-12,4
2006-01,5
2006-02,5
2006-03,3
2006-04,4
2006-05,4
2006-06,5
2006-07,4
2006-08,6
2006-09,3
2006-10,4
2006-11,4
2006-12,4
2007-01,7
2007-02,6
2007-03,6
2007-04,8
2007-05,7
2007-06,8
2007-07,7
2007-08,7
2007-09,5
2007-10,8
2007-11,6
2007-12,7
2008-01,7
2008-02,6
2008-03,9
2008-04,8
2008-05,8
2008-06,9
2008-07,10
2008-08,10
2008-09,9
2008-10,13
2008-11,9
2008-12,11
2009-01,10
2009-02,12
2009-03,12
2009-04,12
2009-05,10
2009-06,12
2009-07,13
2009-08,13
2009-09,12
2009-10,14
2009-11,13
2009-12,12
2010-01,15
2010-02,15
2010-03,17
2010-04,16
2010-05,17
2010-06,18
2010-07,16
2010-08,18
2010-09,17
2010-10,19
2010-11,18
2010-12,21
2011-01,23
2011-02,26
2011-03,24
2011-04,23
2011-05,24
2011-06,30
2011-07,26
2011-08,30
2011-09,29
2011-10,29
2011-11,29
2011-12,26
2012-01,31
2012-02,33
2012-03,32
2012-04,34
2012-05,34
2012-06,35
2012-07,35
2012-08,38
2012-09,36
2012-10,38
2012-11,32
2012-12,29
2013-01,38
2013-02,41
2013-03,39
2013-04,43
2013-05,45
2013-06,47
2013-07,44
2013-08,44
2013-09,45
2013-10,47
2013-11,47
2013-12,40
2014-01,49
2014-02,49
2014-03,52
2014-04,54
2014-05,53
2014-06,60
2014-07,59
2014-08,58
2014-09,62
2014-10,65
2014-11,56
2014-12,52
2015-01,58
2015-02,60
2015-03,64
2015-04,66
2015-05,65
2015-06,74
2015-07,67
2015-08,68
2015-09,68
2015-10,68
2015-11,63
2015-12,60
2016-01,61
2016-02,65
2016-03,66
2016-04,65
2016-05,68
2016-06,72
2016-07,64
2016-08,69
2016-09,68
2016-10,74
2016-11,68
2016-12,56
2017-01,69
2017-02,71
2017-03,74
2017-04,70
2017-05,75
2017-06,74
2017-07,70
2017-08,75
2017-09,66
2017-10,74
2017-11,73
2017-12,59
2018-01,75
2018-02,75
2018-03,81
2018-04,83
2018-05,80
2018-06,83
2018-07,77
2018-08,88
2018-09,86
2018-10,89
2018-11,78
2018-12,68
2019-01,84
2019-02,84
2019-03,84
2019-04,85
2019-05,94
2019-06,100
2019-07,94
2019-08,98
2019-09,90
2019-10,96
2019-11,86
2019-12,74
2020-01,92
2020-02,98
2020-03,87
2020-04,85
2020-05,80
2020-06,88
2020-07,92
2020-08,94
2020-09,84
2020-10,66
2020-11,53
2020-12,87
