Catégorie : Toutes catégories

Mois,abbott labs: (États-Unis)
2004-01,96
2004-02,60
2004-03,44
2004-04,84
2004-05,100
2004-06,87
2004-07,73
2004-08,51
2004-09,48
2004-10,63
2004-11,51
2004-12,65
2005-01,63
2005-02,67
2005-03,82
2005-04,41
2005-05,57
2005-06,75
2005-07,75
2005-08,74
2005-09,65
2005-10,65
2005-11,44
2005-12,17
2006-01,52
2006-02,55
2006-03,54
2006-04,25
2006-05,52
2006-06,87
2006-07,49
2006-08,39
2006-09,44
2006-10,58
2006-11,47
2006-12,29
2007-01,44
2007-02,49
2007-03,64
2007-04,52
2007-05,41
2007-06,66
2007-07,59
2007-08,35
2007-09,28
2007-10,54
2007-11,33
2007-12,26
2008-01,54
2008-02,39
2008-03,34
2008-04,34
2008-05,41
2008-06,42
2008-07,43
2008-08,40
2008-09,39
2008-10,35
2008-11,27
2008-12,40
2009-01,34
2009-02,39
2009-03,33
2009-04,44
2009-05,34
2009-06,31
2009-07,43
2009-08,29
2009-09,41
2009-10,37
2009-11,32
2009-12,35
2010-01,27
2010-02,27
2010-03,28
2010-04,38
2010-05,32
2010-06,37
2010-07,24
2010-08,24
2010-09,36
2010-10,28
2010-11,22
2010-12,25
2011-01,34
2011-02,32
2011-03,32
2011-04,30
2011-05,28
2011-06,17
2011-07,37
2011-08,21
2011-09,33
2011-10,36
2011-11,18
2011-12,18
2012-01,25
2012-02,31
2012-03,23
2012-04,16
2012-05,26
2012-06,23
2012-07,18
2012-08,25
2012-09,15
2012-10,25
2012-11,21
2012-12,19
2013-01,31
2013-02,19
2013-03,22
2013-04,13
2013-05,16
2013-06,16
2013-07,24
2013-08,17
2013-09,16
2013-10,15
2013-11,8
2013-12,10
2014-01,10
2014-02,11
2014-03,14
2014-04,13
2014-05,9
2014-06,11
2014-07,14
2014-08,9
2014-09,13
2014-10,13
2014-11,12
2014-12,14
2015-01,10
2015-02,15
2015-03,11
2015-04,8
2015-05,11
2015-06,9
2015-07,9
2015-08,15
2015-09,11
2015-10,9
2015-11,10
2015-12,10
2016-01,10
2016-02,11
2016-03,8
2016-04,15
2016-05,13
2016-06,5
2016-07,8
2016-08,11
2016-09,7
2016-10,7
2016-11,6
2016-12,5
2017-01,12
2017-02,9
2017-03,11
2017-04,10
2017-05,6
2017-06,11
2017-07,11
2017-08,9
2017-09,7
2017-10,13
2017-11,9
2017-12,8
2018-01,12
2018-02,6
2018-03,11
2018-04,12
2018-05,11
2018-06,5
2018-07,8
2018-08,10
2018-09,13
2018-10,11
2018-11,6
2018-12,9
2019-01,12
2019-02,9
2019-03,10
2019-04,10
2019-05,9
2019-06,10
2019-07,9
2019-08,13
2019-09,11
2019-10,10
2019-11,8
2019-12,6
2020-01,11
2020-02,10
2020-03,75
2020-04,99
2020-05,36
2020-06,15
2020-07,20
2020-08,38
2020-09,19
2020-10,18
2020-11,14
2020-12,9
