Catégorie : Toutes catégories

Mois,jp morgan: (États-Unis)
2004-01,67
2004-02,56
2004-03,49
2004-04,38
2004-05,39
2004-06,47
2004-07,63
2004-08,43
2004-09,56
2004-10,52
2004-11,36
2004-12,53
2005-01,52
2005-02,48
2005-03,54
2005-04,43
2005-05,49
2005-06,55
2005-07,52
2005-08,54
2005-09,53
2005-10,52
2005-11,50
2005-12,50
2006-01,55
2006-02,56
2006-03,53
2006-04,53
2006-05,52
2006-06,51
2006-07,48
2006-08,56
2006-09,49
2006-10,47
2006-11,42
2006-12,48
2007-01,57
2007-02,48
2007-03,49
2007-04,50
2007-05,54
2007-06,57
2007-07,49
2007-08,54
2007-09,47
2007-10,55
2007-11,52
2007-12,45
2008-01,53
2008-02,50
2008-03,73
2008-04,58
2008-05,50
2008-06,57
2008-07,56
2008-08,48
2008-09,99
2008-10,75
2008-11,59
2008-12,56
2009-01,70
2009-02,62
2009-03,66
2009-04,59
2009-05,57
2009-06,62
2009-07,67
2009-08,51
2009-09,58
2009-10,63
2009-11,57
2009-12,52
2010-01,61
2010-02,60
2010-03,64
2010-04,63
2010-05,58
2010-06,65
2010-07,52
2010-08,52
2010-09,53
2010-10,57
2010-11,55
2010-12,53
2011-01,60
2011-02,57
2011-03,57
2011-04,59
2011-05,55
2011-06,63
2011-07,57
2011-08,60
2011-09,54
2011-10,56
2011-11,51
2011-12,47
2012-01,59
2012-02,54
2012-03,54
2012-04,51
2012-05,100
2012-06,62
2012-07,56
2012-08,50
2012-09,52
2012-10,61
2012-11,64
2012-12,43
2013-01,58
2013-02,53
2013-03,53
2013-04,50
2013-05,48
2013-06,48
2013-07,53
2013-08,48
2013-09,51
2013-10,60
2013-11,56
2013-12,47
2014-01,58
2014-02,55
2014-03,51
2014-04,48
2014-05,46
2014-06,49
2014-07,48
2014-08,48
2014-09,48
2014-10,57
2014-11,43
2014-12,40
2015-01,52
2015-02,49
2015-03,44
2015-04,42
2015-05,43
2015-06,51
2015-07,45
2015-08,42
2015-09,45
2015-10,44
2015-11,41
2015-12,41
2016-01,46
2016-02,43
2016-03,44
2016-04,41
2016-05,37
2016-06,46
2016-07,38
2016-08,37
2016-09,45
2016-10,43
2016-11,42
2016-12,37
2017-01,46
2017-02,41
2017-03,46
2017-04,40
2017-05,41
2017-06,42
2017-07,41
2017-08,40
2017-09,47
2017-10,47
2017-11,41
2017-12,38
2018-01,51
2018-02,49
2018-03,44
2018-04,43
2018-05,43
2018-06,44
2018-07,42
2018-08,46
2018-09,50
2018-10,47
2018-11,43
2018-12,41
2019-01,49
2019-02,46
2019-03,42
2019-04,45
2019-05,44
2019-06,43
2019-07,65
2019-08,45
2019-09,49
2019-10,47
2019-11,39
2019-12,40
2020-01,50
2020-02,48
2020-03,52
2020-04,50
2020-05,40
2020-06,41
2020-07,45
2020-08,40
2020-09,46
2020-10,42
2020-11,34
2020-12,37
