Catégorie : Toutes catégories

Mois,opportunity: (États-Unis)
2004-01,100
2004-02,77
2004-03,64
2004-04,59
2004-05,57
2004-06,58
2004-07,63
2004-08,60
2004-09,59
2004-10,56
2004-11,57
2004-12,52
2005-01,53
2005-02,64
2005-03,55
2005-04,58
2005-05,53
2005-06,57
2005-07,53
2005-08,55
2005-09,54
2005-10,54
2005-11,53
2005-12,45
2006-01,53
2006-02,57
2006-03,55
2006-04,56
2006-05,52
2006-06,50
2006-07,48
2006-08,51
2006-09,52
2006-10,53
2006-11,51
2006-12,47
2007-01,51
2007-02,50
2007-03,50
2007-04,51
2007-05,51
2007-06,51
2007-07,49
2007-08,51
2007-09,54
2007-10,52
2007-11,49
2007-12,44
2008-01,49
2008-02,48
2008-03,45
2008-04,52
2008-05,44
2008-06,46
2008-07,46
2008-08,46
2008-09,50
2008-10,51
2008-11,44
2008-12,42
2009-01,47
2009-02,49
2009-03,49
2009-04,48
2009-05,48
2009-06,44
2009-07,41
2009-08,44
2009-09,51
2009-10,46
2009-11,47
2009-12,43
2010-01,53
2010-02,58
2010-03,54
2010-04,51
2010-05,46
2010-06,46
2010-07,39
2010-08,39
2010-09,49
2010-10,45
2010-11,44
2010-12,41
2011-01,56
2011-02,59
2011-03,52
2011-04,54
2011-05,50
2011-06,45
2011-07,43
2011-08,49
2011-09,53
2011-10,52
2011-11,48
2011-12,45
2012-01,56
2012-02,58
2012-03,51
2012-04,50
2012-05,44
2012-06,42
2012-07,39
2012-08,47
2012-09,54
2012-10,49
2012-11,42
2012-12,39
2013-01,51
2013-02,57
2013-03,49
2013-04,50
2013-05,45
2013-06,37
2013-07,37
2013-08,42
2013-09,52
2013-10,48
2013-11,44
2013-12,39
2014-01,53
2014-02,56
2014-03,49
2014-04,49
2014-05,45
2014-06,41
2014-07,43
2014-08,41
2014-09,55
2014-10,47
2014-11,43
2014-12,42
2015-01,55
2015-02,56
2015-03,52
2015-04,54
2015-05,48
2015-06,44
2015-07,42
2015-08,45
2015-09,58
2015-10,50
2015-11,46
2015-12,42
2016-01,52
2016-02,58
2016-03,52
2016-04,52
2016-05,45
2016-06,40
2016-07,36
2016-08,42
2016-09,52
2016-10,46
2016-11,45
2016-12,40
2017-01,53
2017-02,57
2017-03,55
2017-04,50
2017-05,46
2017-06,39
2017-07,36
2017-08,43
2017-09,52
2017-10,49
2017-11,46
2017-12,40
2018-01,52
2018-02,58
2018-03,50
2018-04,52
2018-05,48
2018-06,41
2018-07,39
2018-08,48
2018-09,57
2018-10,58
2018-11,50
2018-12,46
2019-01,59
2019-02,82
2019-03,57
2019-04,57
2019-05,53
2019-06,46
2019-07,42
2019-08,48
2019-09,59
2019-10,54
2019-11,47
2019-12,43
2020-01,55
2020-02,62
2020-03,49
2020-04,53
2020-05,45
2020-06,47
2020-07,43
2020-08,47
2020-09,64
2020-10,50
2020-11,40
2020-12,44
