Catégorie : Toutes catégories

Mois,alphabet: (États-Unis)
2004-01,89
2004-02,90
2004-03,80
2004-04,77
2004-05,73
2004-06,74
2004-07,69
2004-08,83
2004-09,86
2004-10,82
2004-11,83
2004-12,69
2005-01,78
2005-02,91
2005-03,86
2005-04,71
2005-05,76
2005-06,63
2005-07,60
2005-08,69
2005-09,92
2005-10,100
2005-11,88
2005-12,79
2006-01,81
2006-02,75
2006-03,78
2006-04,79
2006-05,75
2006-06,59
2006-07,58
2006-08,66
2006-09,85
2006-10,74
2006-11,74
2006-12,63
2007-01,71
2007-02,72
2007-03,67
2007-04,60
2007-05,62
2007-06,60
2007-07,54
2007-08,65
2007-09,79
2007-10,74
2007-11,69
2007-12,62
2008-01,67
2008-02,61
2008-03,64
2008-04,62
2008-05,60
2008-06,51
2008-07,49
2008-08,60
2008-09,81
2008-10,73
2008-11,72
2008-12,66
2009-01,68
2009-02,74
2009-03,69
2009-04,65
2009-05,66
2009-06,57
2009-07,53
2009-08,67
2009-09,83
2009-10,76
2009-11,72
2009-12,64
2010-01,69
2010-02,71
2010-03,71
2010-04,66
2010-05,64
2010-06,52
2010-07,49
2010-08,56
2010-09,72
2010-10,67
2010-11,60
2010-12,57
2011-01,66
2011-02,67
2011-03,61
2011-04,57
2011-05,61
2011-06,54
2011-07,51
2011-08,62
2011-09,76
2011-10,71
2011-11,67
2011-12,60
2012-01,68
2012-02,67
2012-03,63
2012-04,62
2012-05,59
2012-06,53
2012-07,51
2012-08,61
2012-09,73
2012-10,66
2012-11,64
2012-12,58
2013-01,64
2013-02,63
2013-03,62
2013-04,59
2013-05,56
2013-06,51
2013-07,48
2013-08,62
2013-09,72
2013-10,67
2013-11,65
2013-12,56
2014-01,58
2014-02,70
2014-03,60
2014-04,60
2014-05,57
2014-06,48
2014-07,47
2014-08,60
2014-09,74
2014-10,69
2014-11,66
2014-12,63
2015-01,66
2015-02,66
2015-03,62
2015-04,59
2015-05,60
2015-06,54
2015-07,51
2015-08,84
2015-09,83
2015-10,78
2015-11,70
2015-12,64
2016-01,62
2016-02,72
2016-03,64
2016-04,62
2016-05,58
2016-06,54
2016-07,51
2016-08,65
2016-09,73
2016-10,66
2016-11,60
2016-12,58
2017-01,62
2017-02,63
2017-03,61
2017-04,61
2017-05,65
2017-06,55
2017-07,50
2017-08,60
2017-09,73
2017-10,75
2017-11,68
2017-12,62
2018-01,65
2018-02,73
2018-03,67
2018-04,67
2018-05,63
2018-06,54
2018-07,53
2018-08,66
2018-09,77
2018-10,73
2018-11,65
2018-12,61
2019-01,63
2019-02,68
2019-03,65
2019-04,64
2019-05,63
2019-06,55
2019-07,53
2019-08,64
2019-09,75
2019-10,75
2019-11,70
2019-12,64
2020-01,68
2020-02,67
2020-03,67
2020-04,72
2020-05,67
2020-06,62
2020-07,64
2020-08,76
2020-09,99
2020-10,83
2020-11,64
2020-12,64
