Catégorie : Toutes catégories

Mois,nvidia: (États-Unis),united health: (États-Unis),home depot: (États-Unis),walt disney: (États-Unis),verizon communications: (États-Unis)
2010-09,5,1,26,3,< 1
2010-10,5,1,25,3,< 1
2010-11,4,1,30,3,< 1
2010-12,5,1,28,3,< 1
2011-01,4,1,30,3,< 1
2011-02,4,1,30,3,< 1
2011-03,4,1,33,3,< 1
2011-04,4,1,36,3,< 1
2011-05,4,1,40,3,< 1
2011-06,4,1,39,3,< 1
2011-07,4,1,40,3,< 1
2011-08,4,1,37,2,< 1
2011-09,4,1,36,3,< 1
2011-10,4,1,33,3,< 1
2011-11,4,1,38,3,< 1
2011-12,4,1,34,3,< 1
2012-01,3,1,32,3,< 1
2012-02,3,1,33,3,< 1
2012-03,3,1,38,3,< 1
2012-04,3,1,39,3,< 1
2012-05,4,1,41,3,< 1
2012-06,3,1,42,3,< 1
2012-07,3,1,41,3,< 1
2012-08,3,1,37,2,< 1
2012-09,3,1,35,3,< 1
2012-10,3,1,34,3,< 1
2012-11,3,1,40,3,< 1
2012-12,3,1,36,3,< 1
2013-01,3,1,36,3,< 1
2013-02,3,1,36,3,< 1
2013-03,3,1,41,3,< 1
2013-04,3,1,46,3,< 1
2013-05,3,1,51,3,< 1
2013-06,3,1,48,3,< 1
2013-07,3,1,47,3,< 1
2013-08,3,1,44,2,< 1
2013-09,3,1,41,2,< 1
2013-10,3,1,39,3,< 1
2013-11,3,1,46,3,< 1
2013-12,3,1,43,4,< 1
2014-01,3,1,39,4,< 1
2014-02,3,1,40,3,< 1
2014-03,3,1,44,4,< 1
2014-04,3,1,50,3,< 1
2014-05,3,1,56,3,< 1
2014-06,3,1,52,3,< 1
2014-07,3,1,51,2,< 1
2014-08,3,1,46,2,< 1
2014-09,3,1,45,3,< 1
2014-10,3,1,40,2,< 1
2014-11,3,1,47,2,< 1
2014-12,3,1,44,3,< 1
2015-01,3,1,40,3,< 1
2015-02,3,1,40,3,< 1
2015-03,3,1,43,3,< 1
2015-04,3,1,50,3,< 1
2015-05,3,1,56,3,< 1
2015-06,3,1,54,2,< 1
2015-07,3,1,52,2,< 1
2015-08,3,1,47,2,< 1
2015-09,3,1,46,3,< 1
2015-10,3,1,43,3,< 1
2015-11,4,1,50,2,< 1
2015-12,4,1,47,2,< 1
2016-01,3,1,40,3,< 1
2016-02,3,1,39,3,< 1
2016-03,3,1,44,3,< 1
2016-04,2,1,52,3,< 1
2016-05,3,1,55,3,< 1
2016-06,3,1,53,3,< 1
2016-07,3,1,53,2,< 1
2016-08,3,1,45,2,< 1
2016-09,2,1,44,2,< 1
2016-10,3,1,42,2,< 1
2016-11,3,1,50,2,< 1
2016-12,3,1,45,2,< 1
2017-01,3,1,41,3,< 1
2017-02,3,1,40,3,< 1
2017-03,3,1,46,3,< 1
2017-04,2,1,56,3,< 1
2017-05,3,1,56,2,< 1
2017-06,3,1,56,2,< 1
2017-07,3,1,55,2,< 1
2017-08,3,1,51,2,< 1
2017-09,2,1,50,2,< 1
2017-10,2,1,46,2,< 1
2017-11,3,1,54,2,< 1
2017-12,3,1,49,2,< 1
2018-01,4,1,46,2,< 1
2018-02,3,1,43,2,< 1
2018-03,3,1,49,2,< 1
2018-04,3,1,56,2,< 1
2018-05,3,1,62,2,< 1
2018-06,3,1,60,2,< 1
2018-07,3,1,62,2,< 1
2018-08,3,1,52,2,< 1
2018-09,3,1,48,2,< 1
2018-10,2,1,45,2,< 1
2018-11,3,1,58,2,< 1
2018-12,3,1,48,2,< 1
2019-01,3,1,45,3,< 1
2019-02,3,1,44,2,< 1
2019-03,2,1,53,3,< 1
2019-04,2,1,59,2,< 1
2019-05,2,1,64,2,< 1
2019-06,2,1,65,2,< 1
2019-07,2,1,64,2,< 1
2019-08,2,1,57,2,< 1
2019-09,2,1,54,2,< 1
2019-10,2,1,51,2,< 1
2019-11,3,1,59,2,< 1
2019-12,2,1,53,2,< 1
2020-01,2,1,47,3,< 1
2020-02,3,1,48,2,< 1
2020-03,3,1,63,2,< 1
2020-04,3,1,89,2,< 1
2020-05,3,1,100,2,< 1
2020-06,3,1,86,1,< 1
2020-07,3,1,82,1,< 1
2020-08,4,1,71,2,< 1
2020-09,7,1,64,1,< 1
2020-10,4,1,64,1,< 1
2020-11,3,1,72,1,< 1
2020-12,4,1,72,2,< 1
