Catégorie : Toutes catégories

Mois,success: (États-Unis)
2004-01,67
2004-02,72
2004-03,63
2004-04,72
2004-05,64
2004-06,63
2004-07,63
2004-08,64
2004-09,69
2004-10,67
2004-11,76
2004-12,55
2005-01,65
2005-02,71
2005-03,65
2005-04,69
2005-05,71
2005-06,65
2005-07,60
2005-08,61
2005-09,73
2005-10,80
2005-11,76
2005-12,56
2006-01,69
2006-02,64
2006-03,67
2006-04,76
2006-05,70
2006-06,60
2006-07,52
2006-08,65
2006-09,59
2006-10,64
2006-11,66
2006-12,53
2007-01,63
2007-02,59
2007-03,64
2007-04,67
2007-05,65
2007-06,63
2007-07,54
2007-08,58
2007-09,62
2007-10,69
2007-11,70
2007-12,54
2008-01,61
2008-02,66
2008-03,64
2008-04,66
2008-05,67
2008-06,56
2008-07,55
2008-08,55
2008-09,62
2008-10,61
2008-11,66
2008-12,58
2009-01,61
2009-02,68
2009-03,64
2009-04,68
2009-05,68
2009-06,64
2009-07,63
2009-08,63
2009-09,73
2009-10,77
2009-11,73
2009-12,64
2010-01,72
2010-02,76
2010-03,80
2010-04,78
2010-05,70
2010-06,71
2010-07,58
2010-08,61
2010-09,73
2010-10,71
2010-11,70
2010-12,61
2011-01,74
2011-02,77
2011-03,81
2011-04,80
2011-05,75
2011-06,69
2011-07,60
2011-08,71
2011-09,83
2011-10,84
2011-11,80
2011-12,69
2012-01,84
2012-02,89
2012-03,83
2012-04,83
2012-05,78
2012-06,66
2012-07,61
2012-08,73
2012-09,88
2012-10,87
2012-11,77
2012-12,70
2013-01,79
2013-02,84
2013-03,87
2013-04,100
2013-05,76
2013-06,64
2013-07,58
2013-08,70
2013-09,90
2013-10,96
2013-11,86
2013-12,72
2014-01,81
2014-02,79
2014-03,85
2014-04,81
2014-05,77
2014-06,66
2014-07,65
2014-08,68
2014-09,79
2014-10,79
2014-11,69
2014-12,63
2015-01,72
2015-02,74
2015-03,75
2015-04,77
2015-05,75
2015-06,66
2015-07,64
2015-08,70
2015-09,81
2015-10,76
2015-11,74
2015-12,68
2016-01,75
2016-02,79
2016-03,76
2016-04,77
2016-05,73
2016-06,63
2016-07,58
2016-08,63
2016-09,73
2016-10,69
2016-11,67
2016-12,60
2017-01,70
2017-02,74
2017-03,76
2017-04,69
2017-05,66
2017-06,59
2017-07,57
2017-08,62
2017-09,69
2017-10,69
2017-11,67
2017-12,59
2018-01,69
2018-02,71
2018-03,70
2018-04,67
2018-05,67
2018-06,57
2018-07,55
2018-08,65
2018-09,71
2018-10,68
2018-11,61
2018-12,56
2019-01,67
2019-02,68
2019-03,67
2019-04,69
2019-05,64
2019-06,55
2019-07,54
2019-08,59
2019-09,67
2019-10,66
2019-11,58
2019-12,51
2020-01,62
2020-02,63
2020-03,51
2020-04,53
2020-05,52
2020-06,50
2020-07,50
2020-08,55
2020-09,62
2020-10,57
2020-11,45
2020-12,52
