Catégorie : Toutes catégories

Mois,employment: (États-Unis)
2004-01,99
2004-02,88
2004-03,88
2004-04,92
2004-05,92
2004-06,100
2004-07,97
2004-08,94
2004-09,85
2004-10,79
2004-11,75
2004-12,70
2005-01,88
2005-02,79
2005-03,82
2005-04,79
2005-05,81
2005-06,87
2005-07,86
2005-08,84
2005-09,77
2005-10,72
2005-11,66
2005-12,59
2006-01,74
2006-02,69
2006-03,71
2006-04,70
2006-05,74
2006-06,76
2006-07,74
2006-08,76
2006-09,66
2006-10,65
2006-11,59
2006-12,54
2007-01,72
2007-02,63
2007-03,64
2007-04,68
2007-05,68
2007-06,72
2007-07,74
2007-08,72
2007-09,66
2007-10,67
2007-11,60
2007-12,53
2008-01,72
2008-02,62
2008-03,63
2008-04,68
2008-05,64
2008-06,68
2008-07,69
2008-08,66
2008-09,68
2008-10,62
2008-11,59
2008-12,56
2009-01,73
2009-02,64
2009-03,64
2009-04,64
2009-05,63
2009-06,67
2009-07,68
2009-08,68
2009-09,65
2009-10,61
2009-11,57
2009-12,53
2010-01,64
2010-02,59
2010-03,62
2010-04,64
2010-05,64
2010-06,68
2010-07,59
2010-08,57
2010-09,51
2010-10,48
2010-11,47
2010-12,41
2011-01,61
2011-02,54
2011-03,54
2011-04,54
2011-05,56
2011-06,59
2011-07,57
2011-08,60
2011-09,52
2011-10,49
2011-11,44
2011-12,38
2012-01,49
2012-02,47
2012-03,45
2012-04,50
2012-05,50
2012-06,49
2012-07,48
2012-08,48
2012-09,45
2012-10,43
2012-11,38
2012-12,33
2013-01,45
2013-02,42
2013-03,41
2013-04,45
2013-05,46
2013-06,44
2013-07,45
2013-08,44
2013-09,41
2013-10,41
2013-11,36
2013-12,33
2014-01,42
2014-02,39
2014-03,39
2014-04,42
2014-05,41
2014-06,42
2014-07,41
2014-08,39
2014-09,39
2014-10,37
2014-11,32
2014-12,30
2015-01,36
2015-02,35
2015-03,36
2015-04,39
2015-05,37
2015-06,40
2015-07,39
2015-08,39
2015-09,35
2015-10,33
2015-11,30
2015-12,28
2016-01,34
2016-02,34
2016-03,34
2016-04,35
2016-05,35
2016-06,35
2016-07,32
2016-08,34
2016-09,30
2016-10,29
2016-11,28
2016-12,25
2017-01,33
2017-02,31
2017-03,33
2017-04,33
2017-05,33
2017-06,32
2017-07,31
2017-08,32
2017-09,29
2017-10,31
2017-11,27
2017-12,25
2018-01,32
2018-02,30
2018-03,30
2018-04,32
2018-05,32
2018-06,31
2018-07,30
2018-08,31
2018-09,27
2018-10,28
2018-11,24
2018-12,22
2019-01,29
2019-02,28
2019-03,28
2019-04,30
2019-05,29
2019-06,29
2019-07,28
2019-08,28
2019-09,26
2019-10,26
2019-11,23
2019-12,22
2020-01,28
2020-02,27
2020-03,28
2020-04,29
2020-05,25
2020-06,27
2020-07,26
2020-08,25
2020-09,24
2020-10,23
2020-11,20
2020-12,23
