Catégorie : Toutes catégories

Mois,portfolio: (États-Unis)
2004-01,100
2004-02,84
2004-03,98
2004-04,97
2004-05,93
2004-06,83
2004-07,83
2004-08,88
2004-09,78
2004-10,80
2004-11,92
2004-12,82
2005-01,83
2005-02,91
2005-03,85
2005-04,87
2005-05,85
2005-06,83
2005-07,85
2005-08,82
2005-09,78
2005-10,79
2005-11,84
2005-12,80
2006-01,81
2006-02,87
2006-03,84
2006-04,94
2006-05,76
2006-06,73
2006-07,76
2006-08,69
2006-09,71
2006-10,77
2006-11,75
2006-12,70
2007-01,79
2007-02,78
2007-03,83
2007-04,87
2007-05,78
2007-06,76
2007-07,77
2007-08,74
2007-09,72
2007-10,83
2007-11,84
2007-12,77
2008-01,78
2008-02,75
2008-03,74
2008-04,83
2008-05,81
2008-06,72
2008-07,70
2008-08,70
2008-09,75
2008-10,80
2008-11,80
2008-12,76
2009-01,75
2009-02,78
2009-03,75
2009-04,79
2009-05,75
2009-06,70
2009-07,65
2009-08,68
2009-09,68
2009-10,71
2009-11,76
2009-12,68
2010-01,73
2010-02,71
2010-03,74
2010-04,82
2010-05,75
2010-06,70
2010-07,57
2010-08,59
2010-09,61
2010-10,66
2010-11,68
2010-12,68
2011-01,74
2011-02,76
2011-03,73
2011-04,75
2011-05,73
2011-06,66
2011-07,64
2011-08,69
2011-09,73
2011-10,72
2011-11,70
2011-12,66
2012-01,70
2012-02,71
2012-03,70
2012-04,68
2012-05,68
2012-06,62
2012-07,59
2012-08,61
2012-09,62
2012-10,61
2012-11,64
2012-12,60
2013-01,65
2013-02,64
2013-03,66
2013-04,71
2013-05,70
2013-06,58
2013-07,59
2013-08,58
2013-09,61
2013-10,65
2013-11,66
2013-12,61
2014-01,65
2014-02,66
2014-03,67
2014-04,69
2014-05,66
2014-06,59
2014-07,58
2014-08,59
2014-09,63
2014-10,66
2014-11,63
2014-12,63
2015-01,63
2015-02,66
2015-03,66
2015-04,70
2015-05,64
2015-06,60
2015-07,59
2015-08,60
2015-09,60
2015-10,62
2015-11,64
2015-12,59
2016-01,62
2016-02,65
2016-03,64
2016-04,66
2016-05,62
2016-06,56
2016-07,50
2016-08,55
2016-09,57
2016-10,60
2016-11,60
2016-12,60
2017-01,63
2017-02,68
2017-03,71
2017-04,72
2017-05,67
2017-06,57
2017-07,55
2017-08,59
2017-09,60
2017-10,67
2017-11,68
2017-12,68
2018-01,73
2018-02,69
2018-03,68
2018-04,73
2018-05,66
2018-06,57
2018-07,55
2018-08,60
2018-09,61
2018-10,64
2018-11,62
2018-12,59
2019-01,64
2019-02,65
2019-03,66
2019-04,72
2019-05,65
2019-06,56
2019-07,57
2019-08,59
2019-09,62
2019-10,65
2019-11,61
2019-12,57
2020-01,63
2020-02,70
2020-03,65
2020-04,64
2020-05,64
2020-06,60
2020-07,61
2020-08,62
2020-09,64
2020-10,59
2020-11,55
2020-12,64
