Catégorie : Toutes catégories

Mois,bank of america: (États-Unis)
2004-01,23
2004-02,22
2004-03,22
2004-04,22
2004-05,23
2004-06,28
2004-07,29
2004-08,29
2004-09,27
2004-10,26
2004-11,29
2004-12,31
2005-01,29
2005-02,31
2005-03,32
2005-04,34
2005-05,34
2005-06,41
2005-07,45
2005-08,45
2005-09,41
2005-10,40
2005-11,39
2005-12,42
2006-01,41
2006-02,43
2006-03,42
2006-04,44
2006-05,46
2006-06,48
2006-07,50
2006-08,52
2006-09,49
2006-10,49
2006-11,50
2006-12,55
2007-01,53
2007-02,55
2007-03,56
2007-04,57
2007-05,57
2007-06,61
2007-07,62
2007-08,65
2007-09,62
2007-10,62
2007-11,58
2007-12,61
2008-01,62
2008-02,60
2008-03,62
2008-04,61
2008-05,67
2008-06,68
2008-07,72
2008-08,74
2008-09,81
2008-10,72
2008-11,68
2008-12,75
2009-01,76
2009-02,76
2009-03,76
2009-04,74
2009-05,71
2009-06,77
2009-07,81
2009-08,82
2009-09,77
2009-10,79
2009-11,75
2009-12,83
2010-01,82
2010-02,77
2010-03,78
2010-04,77
2010-05,76
2010-06,72
2010-07,72
2010-08,71
2010-09,71
2010-10,73
2010-11,73
2010-12,78
2011-01,88
2011-02,85
2011-03,82
2011-04,84
2011-05,82
2011-06,91
2011-07,93
2011-08,100
2011-09,95
2011-10,93
2011-11,86
2011-12,87
2012-01,87
2012-02,84
2012-03,84
2012-04,80
2012-05,80
2012-06,83
2012-07,81
2012-08,85
2012-09,82
2012-10,79
2012-11,77
2012-12,84
2013-01,80
2013-02,82
2013-03,78
2013-04,76
2013-05,76
2013-06,77
2013-07,80
2013-08,80
2013-09,74
2013-10,73
2013-11,65
2013-12,69
2014-01,69
2014-02,70
2014-03,66
2014-04,64
2014-05,63
2014-06,66
2014-07,66
2014-08,66
2014-09,62
2014-10,62
2014-11,58
2014-12,61
2015-01,58
2015-02,59
2015-03,57
2015-04,57
2015-05,59
2015-06,62
2015-07,63
2015-08,61
2015-09,58
2015-10,56
2015-11,51
2015-12,56
2016-01,49
2016-02,49
2016-03,49
2016-04,49
2016-05,48
2016-06,51
2016-07,50
2016-08,48
2016-09,46
2016-10,46
2016-11,46
2016-12,47
2017-01,45
2017-02,44
2017-03,46
2017-04,45
2017-05,45
2017-06,49
2017-07,49
2017-08,48
2017-09,46
2017-10,46
2017-11,44
2017-12,47
2018-01,47
2018-02,46
2018-03,44
2018-04,42
2018-05,42
2018-06,45
2018-07,45
2018-08,45
2018-09,43
2018-10,41
2018-11,42
2018-12,42
2019-01,40
2019-02,40
2019-03,41
2019-04,43
2019-05,41
2019-06,44
2019-07,44
2019-08,44
2019-09,40
2019-10,39
2019-11,37
2019-12,39
2020-01,38
2020-02,38
2020-03,37
2020-04,48
2020-05,45
2020-06,45
2020-07,48
2020-08,43
2020-09,40
2020-10,42
2020-11,36
2020-12,40
