Catégorie : Toutes catégories

Mois,credit: (États-Unis)
2004-01,59
2004-02,52
2004-03,56
2004-04,54
2004-05,54
2004-06,59
2004-07,62
2004-08,61
2004-09,56
2004-10,54
2004-11,55
2004-12,57
2005-01,59
2005-02,61
2005-03,61
2005-04,60
2005-05,59
2005-06,67
2005-07,67
2005-08,68
2005-09,61
2005-10,60
2005-11,57
2005-12,55
2006-01,63
2006-02,60
2006-03,62
2006-04,61
2006-05,63
2006-06,64
2006-07,67
2006-08,66
2006-09,60
2006-10,60
2006-11,60
2006-12,62
2007-01,68
2007-02,67
2007-03,67
2007-04,67
2007-05,63
2007-06,68
2007-07,72
2007-08,72
2007-09,66
2007-10,64
2007-11,63
2007-12,63
2008-01,71
2008-02,70
2008-03,67
2008-04,67
2008-05,68
2008-06,68
2008-07,68
2008-08,69
2008-09,70
2008-10,68
2008-11,63
2008-12,69
2009-01,75
2009-02,82
2009-03,75
2009-04,74
2009-05,70
2009-06,72
2009-07,76
2009-08,75
2009-09,70
2009-10,73
2009-11,68
2009-12,68
2010-01,75
2010-02,76
2010-03,74
2010-04,75
2010-05,67
2010-06,73
2010-07,68
2010-08,70
2010-09,64
2010-10,66
2010-11,63
2010-12,64
2011-01,77
2011-02,75
2011-03,72
2011-04,73
2011-05,72
2011-06,75
2011-07,76
2011-08,80
2011-09,77
2011-10,77
2011-11,77
2011-12,80
2012-01,81
2012-02,81
2012-03,79
2012-04,78
2012-05,80
2012-06,81
2012-07,79
2012-08,78
2012-09,73
2012-10,73
2012-11,73
2012-12,73
2013-01,78
2013-02,79
2013-03,78
2013-04,77
2013-05,81
2013-06,82
2013-07,83
2013-08,81
2013-09,75
2013-10,76
2013-11,79
2013-12,82
2014-01,85
2014-02,83
2014-03,81
2014-04,83
2014-05,83
2014-06,84
2014-07,87
2014-08,91
2014-09,84
2014-10,83
2014-11,84
2014-12,86
2015-01,88
2015-02,89
2015-03,85
2015-04,88
2015-05,90
2015-06,95
2015-07,98
2015-08,95
2015-09,85
2015-10,84
2015-11,84
2015-12,86
2016-01,89
2016-02,87
2016-03,85
2016-04,88
2016-05,85
2016-06,87
2016-07,90
2016-08,92
2016-09,84
2016-10,84
2016-11,81
2016-12,85
2017-01,88
2017-02,92
2017-03,91
2017-04,90
2017-05,88
2017-06,92
2017-07,93
2017-08,91
2017-09,94
2017-10,90
2017-11,90
2017-12,94
2018-01,93
2018-02,97
2018-03,94
2018-04,92
2018-05,93
2018-06,98
2018-07,96
2018-08,93
2018-09,85
2018-10,86
2018-11,88
2018-12,88
2019-01,89
2019-02,93
2019-03,90
2019-04,93
2019-05,93
2019-06,96
2019-07,100
2019-08,99
2019-09,92
2019-10,91
2019-11,91
2019-12,91
2020-01,95
2020-02,99
2020-03,86
2020-04,92
2020-05,83
2020-06,87
2020-07,87
2020-08,80
2020-09,79
2020-10,81
2020-11,79
2020-12,92
