Catégorie : Toutes catégories

Mois,consumption: (États-Unis)
2004-01,74
2004-02,73
2004-03,66
2004-04,74
2004-05,100
2004-06,75
2004-07,72
2004-08,75
2004-09,83
2004-10,84
2004-11,90
2004-12,74
2005-01,66
2005-02,66
2005-03,75
2005-04,71
2005-05,68
2005-06,58
2005-07,61
2005-08,62
2005-09,74
2005-10,72
2005-11,75
2005-12,66
2006-01,69
2006-02,75
2006-03,77
2006-04,86
2006-05,84
2006-06,73
2006-07,75
2006-08,70
2006-09,77
2006-10,83
2006-11,80
2006-12,80
2007-01,71
2007-02,73
2007-03,72
2007-04,80
2007-05,76
2007-06,76
2007-07,68
2007-08,65
2007-09,63
2007-10,63
2007-11,66
2007-12,60
2008-01,56
2008-02,55
2008-03,44
2008-04,47
2008-05,44
2008-06,43
2008-07,40
2008-08,33
2008-09,37
2008-10,39
2008-11,40
2008-12,36
2009-01,35
2009-02,38
2009-03,38
2009-04,41
2009-05,33
2009-06,32
2009-07,34
2009-08,28
2009-09,33
2009-10,40
2009-11,40
2009-12,34
2010-01,32
2010-02,40
2010-03,39
2010-04,37
2010-05,36
2010-06,31
2010-07,27
2010-08,24
2010-09,32
2010-10,33
2010-11,33
2010-12,28
2011-01,28
2011-02,36
2011-03,35
2011-04,36
2011-05,29
2011-06,28
2011-07,27
2011-08,25
2011-09,32
2011-10,33
2011-11,35
2011-12,28
2012-01,28
2012-02,33
2012-03,33
2012-04,33
2012-05,28
2012-06,26
2012-07,24
2012-08,24
2012-09,29
2012-10,32
2012-11,32
2012-12,25
2013-01,27
2013-02,33
2013-03,31
2013-04,31
2013-05,29
2013-06,24
2013-07,24
2013-08,23
2013-09,29
2013-10,32
2013-11,32
2013-12,26
2014-01,27
2014-02,35
2014-03,32
2014-04,32
2014-05,30
2014-06,32
2014-07,29
2014-08,26
2014-09,30
2014-10,33
2014-11,37
2014-12,30
2015-01,30
2015-02,33
2015-03,32
2015-04,36
2015-05,30
2015-06,26
2015-07,26
2015-08,25
2015-09,33
2015-10,34
2015-11,32
2015-12,29
2016-01,27
2016-02,35
2016-03,32
2016-04,34
2016-05,28
2016-06,25
2016-07,26
2016-08,23
2016-09,30
2016-10,31
2016-11,30
2016-12,26
2017-01,28
2017-02,34
2017-03,33
2017-04,33
2017-05,28
2017-06,24
2017-07,24
2017-08,22
2017-09,28
2017-10,36
2017-11,33
2017-12,29
2018-01,29
2018-02,34
2018-03,32
2018-04,32
2018-05,28
2018-06,24
2018-07,24
2018-08,24
2018-09,28
2018-10,32
2018-11,30
2018-12,27
2019-01,26
2019-02,32
2019-03,29
2019-04,31
2019-05,26
2019-06,24
2019-07,23
2019-08,23
2019-09,29
2019-10,31
2019-11,29
2019-12,24
2020-01,27
2020-02,31
2020-03,30
2020-04,32
2020-05,28
2020-06,25
2020-07,24
2020-08,23
2020-09,29
2020-10,30
2020-11,26
2020-12,28
