Catégorie : Toutes catégories

Mois,mastercard: (États-Unis)
2004-01,76
2004-02,73
2004-03,73
2004-04,64
2004-05,73
2004-06,79
2004-07,79
2004-08,86
2004-09,85
2004-10,61
2004-11,75
2004-12,84
2005-01,70
2005-02,70
2005-03,69
2005-04,64
2005-05,64
2005-06,80
2005-07,81
2005-08,78
2005-09,66
2005-10,64
2005-11,69
2005-12,70
2006-01,67
2006-02,60
2006-03,62
2006-04,63
2006-05,78
2006-06,73
2006-07,72
2006-08,74
2006-09,70
2006-10,68
2006-11,75
2006-12,79
2007-01,65
2007-02,62
2007-03,62
2007-04,58
2007-05,62
2007-06,69
2007-07,72
2007-08,73
2007-09,60
2007-10,73
2007-11,70
2007-12,78
2008-01,62
2008-02,64
2008-03,67
2008-04,61
2008-05,62
2008-06,68
2008-07,69
2008-08,62
2008-09,65
2008-10,65
2008-11,69
2008-12,71
2009-01,65
2009-02,65
2009-03,64
2009-04,60
2009-05,64
2009-06,68
2009-07,74
2009-08,75
2009-09,69
2009-10,72
2009-11,70
2009-12,79
2010-01,67
2010-02,68
2010-03,67
2010-04,70
2010-05,75
2010-06,73
2010-07,74
2010-08,71
2010-09,66
2010-10,68
2010-11,69
2010-12,100
2011-01,67
2011-02,67
2011-03,66
2011-04,66
2011-05,66
2011-06,72
2011-07,70
2011-08,68
2011-09,64
2011-10,61
2011-11,63
2011-12,65
2012-01,63
2012-02,59
2012-03,61
2012-04,64
2012-05,63
2012-06,64
2012-07,59
2012-08,62
2012-09,60
2012-10,60
2012-11,59
2012-12,61
2013-01,64
2013-02,62
2013-03,58
2013-04,56
2013-05,59
2013-06,60
2013-07,63
2013-08,60
2013-09,58
2013-10,59
2013-11,61
2013-12,70
2014-01,62
2014-02,61
2014-03,60
2014-04,61
2014-05,59
2014-06,60
2014-07,66
2014-08,65
2014-09,61
2014-10,63
2014-11,62
2014-12,70
2015-01,65
2015-02,63
2015-03,62
2015-04,63
2015-05,61
2015-06,64
2015-07,68
2015-08,65
2015-09,62
2015-10,58
2015-11,59
2015-12,61
2016-01,58
2016-02,57
2016-03,57
2016-04,55
2016-05,57
2016-06,62
2016-07,59
2016-08,55
2016-09,54
2016-10,53
2016-11,55
2016-12,60
2017-01,60
2017-02,56
2017-03,57
2017-04,55
2017-05,57
2017-06,61
2017-07,63
2017-08,62
2017-09,60
2017-10,59
2017-11,63
2017-12,68
2018-01,65
2018-02,59
2018-03,65
2018-04,59
2018-05,61
2018-06,63
2018-07,70
2018-08,66
2018-09,64
2018-10,66
2018-11,65
2018-12,68
2019-01,67
2019-02,67
2019-03,65
2019-04,64
2019-05,65
2019-06,72
2019-07,71
2019-08,72
2019-09,69
2019-10,69
2019-11,71
2019-12,73
2020-01,71
2020-02,71
2020-03,66
2020-04,61
2020-05,60
2020-06,63
2020-07,66
2020-08,63
2020-09,59
2020-10,61
2020-11,58
2020-12,66
