Catégorie : Toutes catégories

Mois,revenues: (États-Unis),employment: (États-Unis),unemployment: (États-Unis),leverage: (États-Unis),credit: (États-Unis)
2004-01,< 1,15,5,< 1,39
2004-02,< 1,13,5,< 1,38
2004-03,< 1,14,4,< 1,38
2004-04,< 1,14,4,< 1,37
2004-05,< 1,14,4,< 1,37
2004-06,< 1,15,4,< 1,41
2004-07,< 1,15,4,< 1,43
2004-08,< 1,14,4,< 1,43
2004-09,< 1,13,4,< 1,38
2004-10,< 1,12,4,< 1,36
2004-11,< 1,12,4,< 1,36
2004-12,< 1,10,4,< 1,40
2005-01,< 1,13,5,< 1,41
2005-02,< 1,12,4,< 1,42
2005-03,< 1,12,4,< 1,43
2005-04,< 1,12,4,< 1,42
2005-05,< 1,12,4,< 1,40
2005-06,< 1,13,4,< 1,45
2005-07,< 1,13,4,< 1,45
2005-08,< 1,12,4,< 1,46
2005-09,< 1,12,4,< 1,43
2005-10,< 1,11,4,< 1,41
2005-11,< 1,10,4,< 1,38
2005-12,< 1,9,4,< 1,38
2006-01,< 1,11,4,< 1,44
2006-02,< 1,10,4,< 1,42
2006-03,< 1,11,4,< 1,42
2006-04,< 1,11,4,< 1,42
2006-05,< 1,11,4,< 1,42
2006-06,< 1,11,4,< 1,45
2006-07,< 1,11,4,< 1,45
2006-08,< 1,11,4,< 1,46
2006-09,< 1,10,4,< 1,43
2006-10,< 1,10,4,< 1,41
2006-11,< 1,9,4,< 1,41
2006-12,< 1,8,4,< 1,42
2007-01,< 1,11,5,< 1,46
2007-02,< 1,9,4,< 1,46
2007-03,< 1,10,4,< 1,46
2007-04,< 1,10,4,< 1,46
2007-05,< 1,10,4,< 1,44
2007-06,< 1,11,4,< 1,47
2007-07,< 1,11,4,< 1,48
2007-08,< 1,11,4,< 1,49
2007-09,< 1,10,4,< 1,45
2007-10,< 1,10,4,< 1,43
2007-11,< 1,9,4,< 1,43
2007-12,< 1,8,5,< 1,43
2008-01,< 1,11,6,< 1,50
2008-02,< 1,9,5,< 1,47
2008-03,< 1,10,5,< 1,47
2008-04,< 1,10,5,< 1,47
2008-05,< 1,10,5,< 1,47
2008-06,< 1,10,6,< 1,46
2008-07,< 1,10,6,< 1,47
2008-08,< 1,10,6,< 1,48
2008-09,< 1,10,7,< 1,48
2008-10,< 1,9,8,< 1,48
2008-11,< 1,9,10,< 1,44
2008-12,< 1,9,11,1,47
2009-01,< 1,11,14,1,52
2009-02,< 1,10,14,1,55
2009-03,< 1,10,14,< 1,52
2009-04,< 1,10,13,< 1,50
2009-05,< 1,9,12,< 1,49
2009-06,< 1,10,13,< 1,50
2009-07,< 1,10,13,1,51
2009-08,< 1,10,13,1,51
2009-09,< 1,10,13,1,47
2009-10,< 1,9,14,< 1,49
2009-11,< 1,9,15,< 1,48
2009-12,< 1,8,14,< 1,47
2010-01,< 1,10,15,1,52
2010-02,< 1,9,14,1,51
2010-03,< 1,9,15,< 1,51
2010-04,< 1,10,14,< 1,50
2010-05,< 1,9,12,< 1,46
2010-06,< 1,10,16,1,50
2010-07,< 1,9,19,1,48
2010-08,< 1,9,13,1,46
2010-09,< 1,8,11,1,45
2010-10,< 1,7,11,< 1,44
2010-11,< 1,7,11,< 1,43
2010-12,< 1,6,14,1,44
2011-01,< 1,9,15,< 1,53
2011-02,< 1,8,12,< 1,53
2011-03,< 1,8,11,< 1,51
2011-04,< 1,8,11,< 1,51
2011-05,< 1,8,11,< 1,50
2011-06,< 1,9,11,1,53
2011-07,< 1,8,12,1,53
2011-08,< 1,9,11,1,55
2011-09,< 1,8,11,< 1,54
2011-10,< 1,7,11,< 1,53
2011-11,< 1,7,11,< 1,52
2011-12,< 1,6,12,1,53
2012-01,< 1,8,14,1,55
2012-02,< 1,7,11,< 1,53
2012-03,< 1,7,10,< 1,54
2012-04,< 1,7,11,< 1,54
2012-05,< 1,8,10,< 1,54
2012-06,< 1,7,10,< 1,55
2012-07,< 1,7,11,1,55
2012-08,< 1,7,9,1,53
2012-09,< 1,7,10,1,51
2012-10,< 1,7,10,< 1,51
2012-11,< 1,6,11,< 1,51
2012-12,< 1,5,11,1,50
2013-01,< 1,7,12,< 1,53
2013-02,< 1,6,9,< 1,53
2013-03,< 1,6,9,< 1,54
2013-04,< 1,7,9,< 1,52
2013-05,< 1,7,8,< 1,54
2013-06,< 1,7,8,< 1,55
2013-07,< 1,7,9,< 1,56
2013-08,< 1,7,8,< 1,55
2013-09,< 1,6,8,< 1,52
2013-10,< 1,6,9,< 1,52
2013-11,< 1,5,8,< 1,53
2013-12,< 1,5,10,< 1,58
2014-01,< 1,6,13,1,58
2014-02,< 1,6,11,1,56
2014-03,< 1,6,10,< 1,56
2014-04,< 1,6,10,< 1,57
2014-05,< 1,6,9,< 1,56
2014-06,< 1,6,7,< 1,56
2014-07,< 1,6,7,< 1,59
2014-08,< 1,6,6,< 1,60
2014-09,< 1,6,6,< 1,57
2014-10,< 1,6,6,< 1,57
2014-11,< 1,5,6,< 1,56
2014-12,< 1,5,6,< 1,59
2015-01,< 1,6,7,< 1,61
2015-02,< 1,5,6,< 1,62
2015-03,< 1,6,6,< 1,59
2015-04,< 1,6,6,< 1,61
2015-05,< 1,6,5,< 1,60
2015-06,< 1,6,5,< 1,65
2015-07,< 1,6,6,< 1,66
2015-08,< 1,6,5,< 1,64
2015-09,< 1,5,5,< 1,58
2015-10,< 1,5,5,< 1,59
2015-11,< 1,5,5,< 1,58
2015-12,< 1,4,5,< 1,60
2016-01,< 1,5,7,< 1,59
2016-02,< 1,5,6,< 1,60
2016-03,< 1,5,5,< 1,58
2016-04,< 1,5,5,< 1,62
2016-05,< 1,5,5,< 1,58
2016-06,< 1,5,5,< 1,60
2016-07,< 1,5,5,< 1,61
2016-08,< 1,5,5,< 1,62
2016-09,< 1,5,4,< 1,58
2016-10,< 1,4,5,< 1,56
2016-11,< 1,4,5,< 1,56
2016-12,< 1,4,5,< 1,60
2017-01,< 1,5,7,< 1,62
2017-02,< 1,5,5,< 1,63
2017-03,< 1,5,5,< 1,61
2017-04,< 1,5,5,< 1,61
2017-05,< 1,5,4,< 1,61
2017-06,< 1,5,5,< 1,65
2017-07,< 1,5,5,< 1,66
2017-08,< 1,5,4,< 1,64
2017-09,< 1,4,4,< 1,65
2017-10,< 1,5,4,< 1,62
2017-11,< 1,4,5,< 1,62
2017-12,< 1,4,5,< 1,65
2018-01,< 1,5,6,< 1,63
2018-02,< 1,5,5,< 1,67
2018-03,< 1,5,4,< 1,64
2018-04,< 1,5,5,< 1,63
2018-05,< 1,5,4,< 1,64
2018-06,< 1,5,4,< 1,65
2018-07,< 1,5,5,< 1,64
2018-08,< 1,5,4,< 1,65
2018-09,< 1,4,4,< 1,59
2018-10,< 1,4,4,< 1,60
2018-11,< 1,4,4,< 1,60
2018-12,< 1,3,5,< 1,61
2019-01,< 1,4,6,< 1,63
2019-02,< 1,4,5,< 1,65
2019-03,< 1,4,4,< 1,64
2019-04,< 1,5,4,< 1,67
2019-05,< 1,4,4,< 1,63
2019-06,< 1,4,4,< 1,65
2019-07,< 1,4,4,< 1,69
2019-08,< 1,4,4,< 1,68
2019-09,< 1,4,4,< 1,62
2019-10,< 1,4,4,< 1,62
2019-11,< 1,3,4,< 1,63
2019-12,< 1,3,5,< 1,61
