Catégorie : Toutes catégories

Mois,leverage: (États-Unis)
2004-01,9
2004-02,18
2004-03,23
2004-04,19
2004-05,19
2004-06,15
2004-07,21
2004-08,16
2004-09,18
2004-10,14
2004-11,20
2004-12,15
2005-01,15
2005-02,21
2005-03,16
2005-04,26
2005-05,20
2005-06,28
2005-07,17
2005-08,21
2005-09,18
2005-10,24
2005-11,22
2005-12,17
2006-01,15
2006-02,23
2006-03,20
2006-04,24
2006-05,24
2006-06,20
2006-07,17
2006-08,18
2006-09,19
2006-10,24
2006-11,18
2006-12,20
2007-01,18
2007-02,25
2007-03,17
2007-04,24
2007-05,25
2007-06,21
2007-07,19
2007-08,19
2007-09,22
2007-10,26
2007-11,23
2007-12,23
2008-01,19
2008-02,25
2008-03,27
2008-04,29
2008-05,23
2008-06,26
2008-07,24
2008-08,19
2008-09,34
2008-10,43
2008-11,35
2008-12,95
2009-01,78
2009-02,100
2009-03,54
2009-04,41
2009-05,41
2009-06,45
2009-07,80
2009-08,88
2009-09,77
2009-10,45
2009-11,43
2009-12,38
2010-01,88
2010-02,82
2010-03,54
2010-04,45
2010-05,52
2010-06,99
2010-07,97
2010-08,89
2010-09,69
2010-10,45
2010-11,45
2010-12,69
2011-01,52
2011-02,46
2011-03,43
2011-04,46
2011-05,43
2011-06,64
2011-07,74
2011-08,80
2011-09,55
2011-10,44
2011-11,46
2011-12,63
2012-01,68
2012-02,43
2012-03,39
2012-04,39
2012-05,38
2012-06,39
2012-07,74
2012-08,64
2012-09,76
2012-10,45
2012-11,48
2012-12,76
2013-01,47
2013-02,34
2013-03,37
2013-04,35
2013-05,33
2013-06,30
2013-07,33
2013-08,29
2013-09,31
2013-10,36
2013-11,53
2013-12,49
2014-01,65
2014-02,63
2014-03,57
2014-04,48
2014-05,41
2014-06,44
2014-07,44
2014-08,45
2014-09,44
2014-10,38
2014-11,33
2014-12,37
2015-01,32
2015-02,35
2015-03,36
2015-04,35
2015-05,32
2015-06,33
2015-07,32
2015-08,31
2015-09,31
2015-10,33
2015-11,32
2015-12,30
2016-01,45
2016-02,41
2016-03,42
2016-04,46
2016-05,44
2016-06,30
2016-07,39
2016-08,36
2016-09,38
2016-10,38
2016-11,37
2016-12,29
2017-01,36
2017-02,34
2017-03,33
2017-04,35
2017-05,31
2017-06,26
2017-07,28
2017-08,27
2017-09,28
2017-10,33
2017-11,30
2017-12,28
2018-01,24
2018-02,30
2018-03,29
2018-04,35
2018-05,31
2018-06,31
2018-07,30
2018-08,32
2018-09,39
2018-10,35
2018-11,32
2018-12,30
2019-01,32
2019-02,35
2019-03,35
2019-04,33
2019-05,31
2019-06,29
2019-07,31
2019-08,26
2019-09,28
2019-10,31
2019-11,33
2019-12,27
2020-01,28
2020-02,33
2020-03,37
2020-04,40
2020-05,35
2020-06,32
2020-07,33
2020-08,33
2020-09,34
2020-10,34
2020-11,29
2020-12,28
