Catégorie : Toutes catégories

Mois,nyse: (États-Unis)
2004-01,40
2004-02,40
2004-03,33
2004-04,35
2004-05,35
2004-06,43
2004-07,31
2004-08,35
2004-09,31
2004-10,40
2004-11,45
2004-12,49
2005-01,45
2005-02,40
2005-03,37
2005-04,45
2005-05,38
2005-06,37
2005-07,35
2005-08,31
2005-09,34
2005-10,40
2005-11,44
2005-12,44
2006-01,45
2006-02,40
2006-03,43
2006-04,40
2006-05,43
2006-06,36
2006-07,35
2006-08,30
2006-09,33
2006-10,44
2006-11,44
2006-12,50
2007-01,44
2007-02,44
2007-03,38
2007-04,38
2007-05,33
2007-06,31
2007-07,36
2007-08,41
2007-09,35
2007-10,40
2007-11,47
2007-12,42
2008-01,50
2008-02,35
2008-03,40
2008-04,34
2008-05,30
2008-06,31
2008-07,36
2008-08,29
2008-09,63
2008-10,100
2008-11,59
2008-12,53
2009-01,42
2009-02,43
2009-03,51
2009-04,44
2009-05,33
2009-06,33
2009-07,28
2009-08,28
2009-09,28
2009-10,31
2009-11,31
2009-12,31
2010-01,28
2010-02,28
2010-03,29
2010-04,27
2010-05,33
2010-06,27
2010-07,22
2010-08,21
2010-09,24
2010-10,25
2010-11,28
2010-12,32
2011-01,29
2011-02,35
2011-03,28
2011-04,28
2011-05,22
2011-06,21
2011-07,20
2011-08,38
2011-09,23
2011-10,29
2011-11,26
2011-12,25
2012-01,24
2012-02,23
2012-03,20
2012-04,20
2012-05,21
2012-06,18
2012-07,16
2012-08,17
2012-09,17
2012-10,29
2012-11,24
2012-12,24
2013-01,21
2013-02,19
2013-03,18
2013-04,18
2013-05,18
2013-06,16
2013-07,17
2013-08,16
2013-09,17
2013-10,20
2013-11,21
2013-12,19
2014-01,21
2014-02,18
2014-03,16
2014-04,18
2014-05,15
2014-06,15
2014-07,17
2014-08,14
2014-09,19
2014-10,21
2014-11,19
2014-12,22
2015-01,22
2015-02,19
2015-03,18
2015-04,17
2015-05,15
2015-06,17
2015-07,46
2015-08,25
2015-09,19
2015-10,18
2015-11,18
2015-12,19
2016-01,21
2016-02,19
2016-03,17
2016-04,15
2016-05,14
2016-06,19
2016-07,16
2016-08,14
2016-09,14
2016-10,15
2016-11,22
2016-12,18
2017-01,19
2017-02,17
2017-03,19
2017-04,17
2017-05,16
2017-06,16
2017-07,14
2017-08,15
2017-09,14
2017-10,17
2017-11,20
2017-12,19
2018-01,23
2018-02,26
2018-03,19
2018-04,19
2018-05,18
2018-06,18
2018-07,18
2018-08,19
2018-09,18
2018-10,25
2018-11,23
2018-12,28
2019-01,24
2019-02,23
2019-03,20
2019-04,23
2019-05,22
2019-06,19
2019-07,18
2019-08,21
2019-09,17
2019-10,19
2019-11,20
2019-12,19
2020-01,21
2020-02,25
2020-03,54
2020-04,31
2020-05,23
2020-06,26
2020-07,22
2020-08,19
2020-09,20
2020-10,19
2020-11,22
2020-12,23
