Catégorie : Toutes catégories

Mois,war: (États-Unis)
2004-01,69
2004-02,77
2004-03,83
2004-04,90
2004-05,100
2004-06,51
2004-07,39
2004-08,42
2004-09,61
2004-10,69
2004-11,71
2004-12,67
2005-01,61
2005-02,69
2005-03,72
2005-04,82
2005-05,86
2005-06,56
2005-07,46
2005-08,39
2005-09,51
2005-10,57
2005-11,61
2005-12,59
2006-01,57
2006-02,62
2006-03,67
2006-04,65
2006-05,72
2006-06,41
2006-07,37
2006-08,34
2006-09,43
2006-10,53
2006-11,68
2006-12,59
2007-01,55
2007-02,57
2007-03,63
2007-04,62
2007-05,66
2007-06,43
2007-07,34
2007-08,35
2007-09,48
2007-10,50
2007-11,53
2007-12,52
2008-01,48
2008-02,55
2008-03,57
2008-04,59
2008-05,62
2008-06,41
2008-07,36
2008-08,38
2008-09,44
2008-10,54
2008-11,70
2008-12,56
2009-01,53
2009-02,57
2009-03,58
2009-04,56
2009-05,60
2009-06,40
2009-07,34
2009-08,34
2009-09,41
2009-10,46
2009-11,50
2009-12,51
2010-01,43
2010-02,48
2010-03,59
2010-04,58
2010-05,59
2010-06,42
2010-07,34
2010-08,32
2010-09,37
2010-10,38
2010-11,42
2010-12,41
2011-01,44
2011-02,46
2011-03,49
2011-04,54
2011-05,52
2011-06,38
2011-07,32
2011-08,32
2011-09,48
2011-10,45
2011-11,44
2011-12,45
2012-01,45
2012-02,46
2012-03,45
2012-04,46
2012-05,49
2012-06,35
2012-07,30
2012-08,28
2012-09,35
2012-10,36
2012-11,43
2012-12,41
2013-01,41
2013-02,43
2013-03,52
2013-04,50
2013-05,49
2013-06,45
2013-07,33
2013-08,33
2013-09,45
2013-10,38
2013-11,41
2013-12,38
2014-01,35
2014-02,39
2014-03,43
2014-04,43
2014-05,47
2014-06,35
2014-07,31
2014-08,35
2014-09,37
2014-10,38
2014-11,40
2014-12,42
2015-01,44
2015-02,47
2015-03,45
2015-04,48
2015-05,54
2015-06,39
2015-07,35
2015-08,38
2015-09,49
2015-10,44
2015-11,51
2015-12,47
2016-01,44
2016-02,48
2016-03,54
2016-04,62
2016-05,79
2016-06,39
2016-07,35
2016-08,36
2016-09,43
2016-10,47
2016-11,44
2016-12,41
2017-01,43
2017-02,43
2017-03,45
2017-04,56
2017-05,52
2017-06,35
2017-07,40
2017-08,37
2017-09,39
2017-10,43
2017-11,48
2017-12,42
2018-01,39
2018-02,43
2018-03,52
2018-04,98
2018-05,93
2018-06,42
2018-07,37
2018-08,39
2018-09,37
2018-10,39
2018-11,40
2018-12,41
2019-01,39
2019-02,41
2019-03,42
2019-04,50
2019-05,51
2019-06,32
2019-07,26
2019-08,27
2019-09,33
2019-10,37
2019-11,37
2019-12,35
2020-01,53
2020-02,38
2020-03,38
2020-04,45
2020-05,44
2020-06,34
2020-07,29
2020-08,31
2020-09,38
2020-10,38
2020-11,56
2020-12,49
