Catégorie : Toutes catégories

Mois,health: (États-Unis)
2004-01,82
2004-02,81
2004-03,79
2004-04,78
2004-05,76
2004-06,79
2004-07,76
2004-08,77
2004-09,81
2004-10,81
2004-11,76
2004-12,68
2005-01,80
2005-02,79
2005-03,77
2005-04,76
2005-05,74
2005-06,75
2005-07,72
2005-08,73
2005-09,74
2005-10,75
2005-11,73
2005-12,64
2006-01,78
2006-02,74
2006-03,74
2006-04,72
2006-05,71
2006-06,69
2006-07,67
2006-08,71
2006-09,70
2006-10,74
2006-11,70
2006-12,62
2007-01,75
2007-02,71
2007-03,70
2007-04,70
2007-05,69
2007-06,72
2007-07,70
2007-08,71
2007-09,71
2007-10,76
2007-11,71
2007-12,60
2008-01,74
2008-02,74
2008-03,71
2008-04,73
2008-05,66
2008-06,68
2008-07,67
2008-08,66
2008-09,71
2008-10,70
2008-11,65
2008-12,60
2009-01,72
2009-02,72
2009-03,72
2009-04,71
2009-05,68
2009-06,71
2009-07,75
2009-08,79
2009-09,81
2009-10,82
2009-11,81
2009-12,66
2010-01,72
2010-02,70
2010-03,96
2010-04,72
2010-05,66
2010-06,65
2010-07,59
2010-08,62
2010-09,63
2010-10,63
2010-11,61
2010-12,53
2011-01,69
2011-02,67
2011-03,68
2011-04,66
2011-05,63
2011-06,64
2011-07,62
2011-08,66
2011-09,66
2011-10,66
2011-11,63
2011-12,56
2012-01,67
2012-02,64
2012-03,64
2012-04,62
2012-05,62
2012-06,66
2012-07,62
2012-08,62
2012-09,62
2012-10,62
2012-11,60
2012-12,51
2013-01,66
2013-02,62
2013-03,62
2013-04,65
2013-05,61
2013-06,58
2013-07,62
2013-08,63
2013-09,68
2013-10,76
2013-11,66
2013-12,59
2014-01,69
2014-02,67
2014-03,69
2014-04,67
2014-05,63
2014-06,60
2014-07,61
2014-08,63
2014-09,68
2014-10,70
2014-11,63
2014-12,61
2015-01,69
2015-02,71
2015-03,65
2015-04,67
2015-05,61
2015-06,65
2015-07,66
2015-08,66
2015-09,69
2015-10,69
2015-11,67
2015-12,63
2016-01,70
2016-02,69
2016-03,70
2016-04,68
2016-05,64
2016-06,64
2016-07,60
2016-08,67
2016-09,67
2016-10,68
2016-11,65
2016-12,60
2017-01,72
2017-02,69
2017-03,74
2017-04,67
2017-05,70
2017-06,67
2017-07,69
2017-08,69
2017-09,68
2017-10,71
2017-11,70
2017-12,65
2018-01,73
2018-02,72
2018-03,68
2018-04,71
2018-05,68
2018-06,67
2018-07,68
2018-08,72
2018-09,70
2018-10,73
2018-11,69
2018-12,64
2019-01,77
2019-02,73
2019-03,71
2019-04,74
2019-05,70
2019-06,69
2019-07,72
2019-08,73
2019-09,74
2019-10,77
2019-11,71
2019-12,65
2020-01,78
2020-02,77
2020-03,100
2020-04,82
2020-05,73
2020-06,77
2020-07,84
2020-08,80
2020-09,77
2020-10,85
2020-11,77
2020-12,86
