Catégorie : Toutes catégories

Mois,merck: (États-Unis)
2004-01,70
2004-02,70
2004-03,69
2004-04,71
2004-05,67
2004-06,66
2004-07,58
2004-08,63
2004-09,87
2004-10,100
2004-11,89
2004-12,65
2005-01,61
2005-02,78
2005-03,64
2005-04,64
2005-05,63
2005-06,64
2005-07,69
2005-08,73
2005-09,67
2005-10,65
2005-11,76
2005-12,60
2006-01,56
2006-02,59
2006-03,58
2006-04,59
2006-05,58
2006-06,59
2006-07,48
2006-08,56
2006-09,55
2006-10,64
2006-11,52
2006-12,46
2007-01,52
2007-02,58
2007-03,53
2007-04,54
2007-05,47
2007-06,43
2007-07,46
2007-08,47
2007-09,46
2007-10,50
2007-11,47
2007-12,42
2008-01,44
2008-02,47
2008-03,46
2008-04,47
2008-05,39
2008-06,36
2008-07,37
2008-08,36
2008-09,39
2008-10,42
2008-11,36
2008-12,33
2009-01,39
2009-02,42
2009-03,56
2009-04,40
2009-05,32
2009-06,35
2009-07,36
2009-08,35
2009-09,37
2009-10,38
2009-11,42
2009-12,28
2010-01,34
2010-02,33
2010-03,40
2010-04,39
2010-05,34
2010-06,34
2010-07,32
2010-08,29
2010-09,34
2010-10,33
2010-11,32
2010-12,26
2011-01,31
2011-02,31
2011-03,31
2011-04,29
2011-05,30
2011-06,29
2011-07,24
2011-08,29
2011-09,31
2011-10,28
2011-11,28
2011-12,22
2012-01,25
2012-02,28
2012-03,26
2012-04,26
2012-05,24
2012-06,25
2012-07,24
2012-08,23
2012-09,25
2012-10,26
2012-11,23
2012-12,19
2013-01,24
2013-02,24
2013-03,24
2013-04,24
2013-05,23
2013-06,22
2013-07,22
2013-08,20
2013-09,22
2013-10,29
2013-11,22
2013-12,17
2014-01,22
2014-02,23
2014-03,22
2014-04,24
2014-05,25
2014-06,23
2014-07,21
2014-08,21
2014-09,26
2014-10,24
2014-11,21
2014-12,21
2015-01,22
2015-02,23
2015-03,23
2015-04,23
2015-05,20
2015-06,23
2015-07,20
2015-08,20
2015-09,21
2015-10,22
2015-11,22
2015-12,18
2016-01,19
2016-02,20
2016-03,20
2016-04,20
2016-05,19
2016-06,19
2016-07,19
2016-08,20
2016-09,19
2016-10,20
2016-11,18
2016-12,17
2017-01,20
2017-02,20
2017-03,19
2017-04,19
2017-05,20
2017-06,25
2017-07,21
2017-08,30
2017-09,17
2017-10,20
2017-11,19
2017-12,16
2018-01,19
2018-02,21
2018-03,18
2018-04,22
2018-05,18
2018-06,19
2018-07,19
2018-08,20
2018-09,19
2018-10,21
2018-11,19
2018-12,17
2019-01,20
2019-02,22
2019-03,20
2019-04,22
2019-05,21
2019-06,19
2019-07,20
2019-08,18
2019-09,18
2019-10,21
2019-11,19
2019-12,26
2020-01,22
2020-02,22
2020-03,21
2020-04,20
2020-05,19
2020-06,21
2020-07,20
2020-08,20
2020-09,19
2020-10,19
2020-11,18
2020-12,21
