Catégorie : Toutes catégories

Mois,walmart: (États-Unis)
2004-01,8
2004-02,8
2004-03,8
2004-04,8
2004-05,9
2004-06,10
2004-07,11
2004-08,11
2004-09,9
2004-10,10
2004-11,14
2004-12,18
2005-01,11
2005-02,10
2005-03,10
2005-04,11
2005-05,12
2005-06,13
2005-07,13
2005-08,13
2005-09,12
2005-10,13
2005-11,20
2005-12,23
2006-01,13
2006-02,12
2006-03,12
2006-04,14
2006-05,15
2006-06,15
2006-07,16
2006-08,15
2006-09,15
2006-10,17
2006-11,27
2006-12,29
2007-01,16
2007-02,15
2007-03,15
2007-04,16
2007-05,18
2007-06,19
2007-07,19
2007-08,19
2007-09,18
2007-10,18
2007-11,31
2007-12,33
2008-01,18
2008-02,17
2008-03,18
2008-04,18
2008-05,20
2008-06,24
2008-07,23
2008-08,22
2008-09,21
2008-10,23
2008-11,38
2008-12,44
2009-01,24
2009-02,23
2009-03,24
2009-04,22
2009-05,22
2009-06,24
2009-07,25
2009-08,25
2009-09,25
2009-10,26
2009-11,44
2009-12,44
2010-01,25
2010-02,25
2010-03,24
2010-04,24
2010-05,25
2010-06,26
2010-07,28
2010-08,26
2010-09,25
2010-10,27
2010-11,46
2010-12,47
2011-01,35
2011-02,35
2011-03,31
2011-04,33
2011-05,35
2011-06,37
2011-07,40
2011-08,37
2011-09,37
2011-10,39
2011-11,64
2011-12,60
2012-01,41
2012-02,40
2012-03,37
2012-04,37
2012-05,38
2012-06,43
2012-07,43
2012-08,42
2012-09,41
2012-10,40
2012-11,70
2012-12,69
2013-01,43
2013-02,41
2013-03,43
2013-04,40
2013-05,42
2013-06,48
2013-07,47
2013-08,46
2013-09,45
2013-10,44
2013-11,74
2013-12,74
2014-01,41
2014-02,42
2014-03,43
2014-04,42
2014-05,44
2014-06,45
2014-07,47
2014-08,49
2014-09,44
2014-10,46
2014-11,74
2014-12,74
2015-01,45
2015-02,44
2015-03,42
2015-04,44
2015-05,48
2015-06,52
2015-07,56
2015-08,54
2015-09,46
2015-10,50
2015-11,73
2015-12,75
2016-01,47
2016-02,43
2016-03,46
2016-04,45
2016-05,50
2016-06,55
2016-07,56
2016-08,52
2016-09,49
2016-10,51
2016-11,78
2016-12,74
2017-01,48
2017-02,47
2017-03,51
2017-04,51
2017-05,55
2017-06,59
2017-07,63
2017-08,59
2017-09,54
2017-10,55
2017-11,83
2017-12,83
2018-01,53
2018-02,50
2018-03,54
2018-04,56
2018-05,60
2018-06,61
2018-07,65
2018-08,60
2018-09,59
2018-10,56
2018-11,85
2018-12,88
2019-01,55
2019-02,54
2019-03,57
2019-04,59
2019-05,61
2019-06,65
2019-07,68
2019-08,66
2019-09,57
2019-10,57
2019-11,82
2019-12,87
2020-01,52
2020-02,54
2020-03,78
2020-04,88
2020-05,87
2020-06,83
2020-07,79
2020-08,68
2020-09,61
2020-10,68
2020-11,100
2020-12,91
