Catégorie : Toutes catégories

Mois,merck: (États-Unis),salesforce: (États-Unis),pepsico: (États-Unis),abbott labs: (États-Unis),cisco: (États-Unis)
2004-01,14,1,1,1,94
2004-02,13,1,2,1,97
2004-03,13,1,3,< 1,100
2004-04,14,1,2,1,94
2004-05,13,1,2,2,94
2004-06,14,1,2,2,100
2004-07,12,1,2,1,92
2004-08,14,1,1,2,98
2004-09,17,< 1,2,1,91
2004-10,19,1,2,1,87
2004-11,16,1,2,1,79
2004-12,14,1,2,1,83
2005-01,12,1,2,1,83
2005-02,15,1,2,1,89
2005-03,11,1,2,1,86
2005-04,14,1,3,1,84
2005-05,12,1,2,1,90
2005-06,13,1,2,1,87
2005-07,13,2,2,1,84
2005-08,15,1,2,1,93
2005-09,13,1,3,1,85
2005-10,13,1,2,1,82
2005-11,14,2,2,1,76
2005-12,11,2,1,1,72
2006-01,10,2,2,1,77
2006-02,11,1,2,1,79
2006-03,11,1,3,1,81
2006-04,12,1,2,1,72
2006-05,11,1,2,1,74
2006-06,11,2,2,1,74
2006-07,10,1,2,1,69
2006-08,11,2,3,1,76
2006-09,10,1,2,1,70
2006-10,13,2,2,1,71
2006-11,10,1,2,1,67
2006-12,10,2,2,1,59
2007-01,10,2,2,1,71
2007-02,12,2,3,1,74
2007-03,10,2,2,1,68
2007-04,10,2,2,1,68
2007-05,9,2,2,1,69
2007-06,8,2,2,1,73
2007-07,9,2,2,1,71
2007-08,9,3,2,1,74
2007-09,9,2,2,1,68
2007-10,10,3,2,1,72
2007-11,10,2,2,1,64
2007-12,8,2,2,< 1,56
2008-01,9,3,2,1,65
2008-02,9,3,3,1,66
2008-03,9,3,2,< 1,64
2008-04,8,3,3,1,69
2008-05,8,3,2,1,65
2008-06,7,3,2,1,65
2008-07,7,4,2,1,66
2008-08,7,3,2,1,64
2008-09,8,4,3,< 1,64
2008-10,8,4,3,1,64
2008-11,7,3,2,1,58
2008-12,6,3,2,< 1,56
2009-01,7,4,2,1,63
2009-02,8,4,3,1,68
2009-03,11,4,3,1,69
2009-04,8,4,3,1,66
2009-05,6,4,2,< 1,60
2009-06,7,4,2,< 1,64
2009-07,7,4,2,1,65
2009-08,7,4,3,1,61
2009-09,7,4,2,1,64
2009-10,8,5,3,1,64
2009-11,8,5,3,< 1,64
2009-12,6,4,2,< 1,58
2010-01,7,5,2,< 1,63
2010-02,7,5,2,< 1,67
2010-03,8,6,3,1,73
2010-04,7,6,3,< 1,70
2010-05,6,6,3,< 1,68
2010-06,6,7,2,< 1,72
2010-07,6,6,2,< 1,62
2010-08,6,6,2,< 1,64
2010-09,6,6,2,< 1,65
2010-10,6,7,3,< 1,61
2010-11,6,6,2,< 1,63
2010-12,5,7,2,< 1,58
2011-01,6,8,2,1,63
2011-02,6,9,3,< 1,64
2011-03,6,9,3,1,65
2011-04,6,8,3,< 1,63
2011-05,6,9,3,1,63
2011-06,5,10,2,< 1,63
2011-07,5,10,2,< 1,62
2011-08,6,10,2,< 1,61
2011-09,6,10,3,< 1,59
2011-10,5,10,3,1,57
2011-11,6,10,3,< 1,55
2011-12,4,9,2,< 1,52
2012-01,5,11,3,< 1,56
2012-02,5,11,3,< 1,57
2012-03,5,12,3,< 1,56
2012-04,5,12,3,< 1,56
2012-05,5,12,3,< 1,59
2012-06,5,12,3,< 1,57
2012-07,5,12,3,< 1,56
2012-08,5,13,3,< 1,56
2012-09,5,13,3,< 1,54
2012-10,5,13,3,< 1,55
2012-11,4,12,2,< 1,50
2012-12,4,10,2,< 1,45
2013-01,5,14,3,< 1,53
2013-02,5,14,3,< 1,55
2013-03,5,15,3,< 1,53
2013-04,5,15,3,< 1,54
2013-05,4,15,3,< 1,53
2013-06,4,16,3,< 1,51
2013-07,4,16,3,< 1,52
2013-08,4,16,3,< 1,52
2013-09,4,16,3,< 1,50
2013-10,6,17,3,< 1,52
2013-11,4,17,3,< 1,48
2013-12,3,15,2,< 1,43
2014-01,4,17,3,< 1,49
2014-02,4,18,3,< 1,52
2014-03,4,18,3,< 1,50
2014-04,5,19,3,< 1,51
2014-05,5,19,3,< 1,51
2014-06,4,21,3,< 1,50
2014-07,4,22,3,< 1,51
2014-08,4,20,3,< 1,51
2014-09,5,21,3,< 1,50
2014-10,4,22,4,< 1,51
2014-11,4,19,3,< 1,44
2014-12,4,18,3,< 1,44
2015-01,4,21,3,< 1,48
2015-02,5,22,3,< 1,51
2015-03,4,22,3,< 1,51
2015-04,4,24,3,< 1,50
2015-05,4,22,3,< 1,50
2015-06,4,24,3,< 1,52
2015-07,4,24,3,< 1,51
2015-08,4,24,3,< 1,51
2015-09,4,24,3,< 1,49
2015-10,4,23,3,< 1,50
2015-11,4,21,2,< 1,45
2015-12,3,20,2,< 1,41
2016-01,4,21,3,< 1,41
2016-02,4,23,3,< 1,45
2016-03,4,23,3,< 1,45
2016-04,4,23,3,< 1,41
2016-05,4,24,2,< 1,42
2016-06,4,25,3,< 1,44
2016-07,4,22,2,< 1,40
2016-08,4,25,2,< 1,44
2016-09,4,24,3,< 1,39
2016-10,4,25,3,< 1,39
2016-11,4,23,3,< 1,37
2016-12,3,19,3,< 1,34
2017-01,4,24,3,< 1,41
2017-02,4,25,3,< 1,41
2017-03,4,26,3,< 1,42
2017-04,4,25,3,< 1,39
2017-05,4,27,3,< 1,40
2017-06,5,27,3,< 1,40
2017-07,4,25,2,< 1,38
2017-08,6,26,3,< 1,40
2017-09,4,25,3,< 1,36
2017-10,4,26,3,< 1,38
2017-11,3,25,3,< 1,35
2017-12,3,21,2,< 1,31
2018-01,4,27,3,< 1,36
2018-02,4,26,4,< 1,38
2018-03,3,28,3,< 1,37
2018-04,4,28,3,< 1,36
2018-05,4,29,3,< 1,37
2018-06,3,29,3,< 1,37
2018-07,4,28,3,< 1,35
2018-08,4,32,4,< 1,37
2018-09,4,30,3,< 1,34
2018-10,4,31,3,< 1,36
2018-11,4,27,3,< 1,32
2018-12,3,23,2,< 1,28
2019-01,4,30,3,< 1,36
2019-02,4,30,4,< 1,37
2019-03,4,29,3,< 1,35
2019-04,4,31,4,< 1,37
2019-05,4,33,3,< 1,35
2019-06,4,36,3,< 1,36
2019-07,4,33,3,< 1,34
2019-08,4,33,3,< 1,35
2019-09,4,32,3,< 1,33
2019-10,4,34,3,< 1,34
2019-11,4,30,3,< 1,32
2019-12,5,26,3,< 1,27
2020-01,4,32,3,< 1,31
2020-02,4,34,4,< 1,33
2020-03,4,31,4,1,37
2020-04,4,30,3,2,32
2020-05,4,29,3,1,29
2020-06,4,31,3,< 1,31
2020-07,4,32,3,< 1,31
2020-08,4,33,3,1,31
2020-09,4,30,3,< 1,30
2020-10,4,23,3,< 1,27
2020-11,3,19,3,< 1,23
2020-12,4,32,3,< 1,26
