Catégorie : Toutes catégories

Mois,cash: (États-Unis),short sell: (États-Unis),greed: (États-Unis),gain: (États-Unis),happy: (États-Unis)
2004-01,19,< 1,1,8,25
2004-02,19,< 1,1,7,24
2004-03,19,< 1,< 1,8,23
2004-04,19,< 1,1,8,24
2004-05,19,< 1,< 1,8,24
2004-06,21,< 1,< 1,9,23
2004-07,21,< 1,< 1,9,26
2004-08,21,< 1,< 1,8,23
2004-09,20,< 1,1,8,24
2004-10,20,< 1,1,7,25
2004-11,20,< 1,1,8,24
2004-12,20,< 1,1,8,32
2005-01,20,< 1,1,7,24
2005-02,20,< 1,< 1,8,26
2005-03,20,< 1,1,9,25
2005-04,22,< 1,1,9,26
2005-05,21,< 1,1,9,26
2005-06,20,< 1,< 1,8,24
2005-07,22,< 1,< 1,8,24
2005-08,21,< 1,< 1,8,24
2005-09,22,< 1,< 1,7,24
2005-10,22,< 1,1,8,29
2005-11,39,< 1,1,8,29
2005-12,31,< 1,1,7,37
2006-01,26,< 1,1,8,28
2006-02,25,< 1,1,8,28
2006-03,40,< 1,1,9,26
2006-04,30,< 1,1,9,29
2006-05,26,< 1,1,8,27
2006-06,24,< 1,< 1,8,29
2006-07,25,< 1,< 1,8,26
2006-08,23,< 1,< 1,7,26
2006-09,23,< 1,< 1,7,30
2006-10,26,< 1,1,7,31
2006-11,24,< 1,< 1,7,48
2006-12,24,< 1,< 1,7,49
2007-01,22,< 1,< 1,8,32
2007-02,20,< 1,< 1,8,32
2007-03,21,< 1,1,8,30
2007-04,23,< 1,1,8,35
2007-05,21,< 1,1,7,31
2007-06,22,< 1,< 1,7,30
2007-07,23,< 1,< 1,8,30
2007-08,23,< 1,1,7,30
2007-09,22,< 1,< 1,8,31
2007-10,22,< 1,< 1,9,31
2007-11,22,< 1,1,7,33
2007-12,26,< 1,1,7,41
2008-01,22,< 1,1,8,33
2008-02,21,< 1,1,8,31
2008-03,22,< 1,1,8,30
2008-04,24,< 1,1,9,29
2008-05,24,< 1,< 1,8,30
2008-06,24,< 1,< 1,9,29
2008-07,25,< 1,1,8,28
2008-08,23,< 1,1,8,27
2008-09,23,1,1,8,28
2008-10,23,< 1,1,8,30
2008-11,23,< 1,1,8,31
2008-12,24,< 1,1,8,39
2009-01,23,< 1,1,9,31
2009-02,24,< 1,1,10,31
2009-03,23,< 1,1,9,30
2009-04,24,< 1,1,9,31
2009-05,24,< 1,1,10,31
2009-06,31,< 1,1,9,29
2009-07,52,< 1,< 1,10,28
2009-08,69,< 1,< 1,9,29
2009-09,27,< 1,1,9,30
2009-10,27,< 1,1,9,32
2009-11,26,< 1,1,9,36
2009-12,27,< 1,1,9,45
2010-01,25,< 1,1,10,35
2010-02,25,< 1,1,10,34
2010-03,25,< 1,1,10,33
2010-04,27,< 1,1,10,36
2010-05,25,< 1,1,10,38
2010-06,24,< 1,1,10,33
2010-07,25,< 1,1,10,33
2010-08,25,< 1,1,9,33
2010-09,25,< 1,1,9,34
2010-10,24,< 1,1,9,38
2010-11,25,< 1,1,9,40
2010-12,25,< 1,1,9,54
2011-01,28,< 1,1,12,41
2011-02,27,< 1,1,11,43
2011-03,26,< 1,1,11,41
2011-04,27,< 1,1,12,47
2011-05,27,< 1,1,12,49
2011-06,28,< 1,1,12,46
2011-07,29,< 1,1,11,43
2011-08,29,< 1,1,11,43
2011-09,30,< 1,1,12,46
2011-10,29,< 1,1,11,54
2011-11,28,< 1,1,11,57
2011-12,29,< 1,1,10,68
2012-01,28,< 1,1,12,56
2012-02,29,< 1,1,12,56
2012-03,29,< 1,1,12,56
2012-04,31,< 1,1,13,61
2012-05,29,< 1,1,13,64
2012-06,30,< 1,1,12,61
2012-07,32,< 1,1,13,60
2012-08,31,< 1,1,12,56
2012-09,32,< 1,1,14,57
2012-10,29,< 1,1,12,61
2012-11,30,< 1,1,12,67
2012-12,31,< 1,1,12,73
2013-01,30,< 1,1,14,63
2013-02,30,< 1,1,13,66
2013-03,29,< 1,1,14,64
2013-04,30,< 1,1,20,59
2013-05,33,< 1,1,18,69
2013-06,31,< 1,1,14,62
2013-07,33,< 1,1,14,59
2013-08,33,< 1,1,16,57
2013-09,31,< 1,1,16,55
2013-10,33,< 1,1,13,58
2013-11,33,< 1,1,12,72
2013-12,35,< 1,1,12,77
2014-01,32,< 1,1,14,72
2014-02,33,< 1,1,13,77
2014-03,33,< 1,1,14,80
2014-04,32,< 1,1,14,79
2014-05,35,< 1,1,14,88
2014-06,35,< 1,1,14,76
2014-07,35,< 1,1,13,69
2014-08,36,< 1,1,12,69
2014-09,35,< 1,1,12,69
2014-10,34,< 1,1,12,80
2014-11,34,< 1,1,12,86
2014-12,37,< 1,1,12,85
2015-01,36,< 1,1,13,78
2015-02,35,< 1,1,13,78
2015-03,32,< 1,1,13,75
2015-04,36,< 1,1,14,79
2015-05,36,< 1,1,13,92
2015-06,36,< 1,1,12,79
2015-07,38,< 1,1,13,75
2015-08,37,< 1,1,12,74
2015-09,39,< 1,1,12,82
2015-10,36,< 1,1,12,84
2015-11,35,< 1,1,12,95
2015-12,37,< 1,1,11,100
2016-01,42,< 1,1,13,83
2016-02,40,< 1,1,14,86
2016-03,37,< 1,1,14,85
2016-04,40,< 1,1,14,78
2016-05,40,< 1,1,13,98
2016-06,41,< 1,1,12,86
2016-07,43,< 1,1,12,79
2016-08,41,< 1,1,12,73
2016-09,40,< 1,1,12,74
2016-10,39,< 1,1,12,77
2016-11,40,< 1,1,12,84
2016-12,44,< 1,1,11,89
2017-01,54,< 1,1,13,83
2017-02,62,< 1,1,14,84
2017-03,46,< 1,1,14,73
2017-04,45,< 1,1,14,78
2017-05,43,< 1,1,13,92
2017-06,46,< 1,1,13,80
2017-07,47,< 1,1,13,71
2017-08,49,< 1,1,12,69
2017-09,44,< 1,1,12,71
2017-10,44,< 1,1,12,86
2017-11,45,< 1,1,13,86
2017-12,52,< 1,1,12,85
2018-01,46,< 1,1,13,75
2018-02,45,< 1,1,14,79
2018-03,43,< 1,1,14,72
2018-04,44,< 1,1,14,72
2018-05,45,< 1,1,14,84
2018-06,46,< 1,1,13,75
2018-07,48,< 1,1,13,69
2018-08,50,< 1,1,13,68
2018-09,48,< 1,1,12,65
2018-10,49,< 1,1,13,69
2018-11,47,< 1,1,13,75
2018-12,53,< 1,1,12,77
2019-01,48,< 1,1,14,69
2019-02,47,< 1,1,14,78
2019-03,47,< 1,1,14,66
2019-04,48,< 1,1,14,71
2019-05,49,< 1,1,14,80
2019-06,52,< 1,1,13,69
2019-07,51,< 1,1,13,62
2019-08,52,< 1,1,12,61
2019-09,53,< 1,1,12,57
2019-10,51,< 1,1,13,64
2019-11,52,< 1,1,12,71
2019-12,53,< 1,1,12,70
2020-01,53,< 1,1,14,66
2020-02,52,< 1,1,14,63
2020-03,51,< 1,1,13,53
2020-04,51,< 1,1,15,65
2020-05,51,< 1,1,14,77
2020-06,51,< 1,1,15,67
2020-07,54,< 1,1,14,59
2020-08,51,< 1,1,13,55
2020-09,49,< 1,1,14,58
2020-10,50,< 1,1,14,59
2020-11,48,< 1,1,13,66
2020-12,53,< 1,1,14,55
