Catégorie : Toutes catégories

Mois,paypal: (États-Unis)
2004-01,26
2004-02,24
2004-03,26
2004-04,25
2004-05,26
2004-06,28
2004-07,34
2004-08,31
2004-09,27
2004-10,34
2004-11,29
2004-12,33
2005-01,30
2005-02,29
2005-03,30
2005-04,29
2005-05,30
2005-06,33
2005-07,37
2005-08,36
2005-09,34
2005-10,32
2005-11,35
2005-12,41
2006-01,38
2006-02,38
2006-03,37
2006-04,35
2006-05,35
2006-06,37
2006-07,36
2006-08,39
2006-09,37
2006-10,37
2006-11,39
2006-12,44
2007-01,42
2007-02,42
2007-03,41
2007-04,38
2007-05,38
2007-06,41
2007-07,41
2007-08,43
2007-09,43
2007-10,40
2007-11,44
2007-12,48
2008-01,42
2008-02,42
2008-03,42
2008-04,41
2008-05,42
2008-06,46
2008-07,47
2008-08,48
2008-09,46
2008-10,44
2008-11,47
2008-12,56
2009-01,50
2009-02,49
2009-03,48
2009-04,46
2009-05,43
2009-06,42
2009-07,43
2009-08,45
2009-09,40
2009-10,40
2009-11,42
2009-12,46
2010-01,41
2010-02,40
2010-03,41
2010-04,39
2010-05,42
2010-06,52
2010-07,50
2010-08,52
2010-09,50
2010-10,49
2010-11,50
2010-12,58
2011-01,57
2011-02,59
2011-03,58
2011-04,58
2011-05,58
2011-06,59
2011-07,61
2011-08,63
2011-09,61
2011-10,58
2011-11,62
2011-12,69
2012-01,63
2012-02,63
2012-03,64
2012-04,62
2012-05,63
2012-06,69
2012-07,67
2012-08,69
2012-09,66
2012-10,65
2012-11,67
2012-12,74
2013-01,71
2013-02,72
2013-03,75
2013-04,73
2013-05,72
2013-06,74
2013-07,75
2013-08,77
2013-09,72
2013-10,70
2013-11,74
2013-12,80
2014-01,75
2014-02,74
2014-03,77
2014-04,76
2014-05,74
2014-06,73
2014-07,77
2014-08,79
2014-09,79
2014-10,77
2014-11,76
2014-12,89
2015-01,80
2015-02,75
2015-03,74
2015-04,75
2015-05,76
2015-06,80
2015-07,83
2015-08,83
2015-09,83
2015-10,79
2015-11,78
2015-12,88
2016-01,70
2016-02,71
2016-03,72
2016-04,70
2016-05,68
2016-06,72
2016-07,70
2016-08,70
2016-09,68
2016-10,70
2016-11,70
2016-12,76
2017-01,68
2017-02,70
2017-03,71
2017-04,73
2017-05,73
2017-06,74
2017-07,76
2017-08,78
2017-09,72
2017-10,71
2017-11,80
2017-12,84
2018-01,78
2018-02,73
2018-03,71
2018-04,71
2018-05,68
2018-06,72
2018-07,73
2018-08,75
2018-09,75
2018-10,73
2018-11,79
2018-12,83
2019-01,76
2019-02,76
2019-03,74
2019-04,74
2019-05,76
2019-06,79
2019-07,81
2019-08,80
2019-09,76
2019-10,76
2019-11,80
2019-12,87
2020-01,81
2020-02,82
2020-03,80
2020-04,97
2020-05,100
2020-06,97
2020-07,96
2020-08,87
2020-09,79
2020-10,79
2020-11,77
2020-12,92
