Catégorie : Toutes catégories

Mois,walt disney: (États-Unis)
2004-01,100
2004-02,97
2004-03,96
2004-04,89
2004-05,75
2004-06,68
2004-07,64
2004-08,63
2004-09,63
2004-10,70
2004-11,70
2004-12,73
2005-01,90
2005-02,82
2005-03,88
2005-04,86
2005-05,73
2005-06,65
2005-07,55
2005-08,55
2005-09,60
2005-10,64
2005-11,65
2005-12,68
2006-01,90
2006-02,85
2006-03,81
2006-04,77
2006-05,72
2006-06,59
2006-07,62
2006-08,58
2006-09,59
2006-10,64
2006-11,62
2006-12,63
2007-01,94
2007-02,82
2007-03,79
2007-04,76
2007-05,73
2007-06,65
2007-07,58
2007-08,56
2007-09,56
2007-10,62
2007-11,57
2007-12,59
2008-01,80
2008-02,73
2008-03,72
2008-04,69
2008-05,61
2008-06,59
2008-07,52
2008-08,52
2008-09,49
2008-10,53
2008-11,56
2008-12,56
2009-01,78
2009-02,68
2009-03,72
2009-04,65
2009-05,60
2009-06,51
2009-07,55
2009-08,50
2009-09,56
2009-10,58
2009-11,53
2009-12,55
2010-01,67
2010-02,60
2010-03,66
2010-04,58
2010-05,55
2010-06,51
2010-07,47
2010-08,42
2010-09,43
2010-10,45
2010-11,47
2010-12,46
2011-01,64
2011-02,62
2011-03,60
2011-04,56
2011-05,56
2011-06,51
2011-07,49
2011-08,44
2011-09,46
2011-10,48
2011-11,47
2011-12,50
2012-01,60
2012-02,57
2012-03,55
2012-04,51
2012-05,52
2012-06,48
2012-07,46
2012-08,44
2012-09,43
2012-10,47
2012-11,46
2012-12,49
2013-01,61
2013-02,56
2013-03,56
2013-04,54
2013-05,55
2013-06,46
2013-07,48
2013-08,44
2013-09,40
2013-10,45
2013-11,48
2013-12,69
2014-01,68
2014-02,56
2014-03,62
2014-04,57
2014-05,57
2014-06,46
2014-07,45
2014-08,43
2014-09,48
2014-10,45
2014-11,44
2014-12,49
2015-01,55
2015-02,51
2015-03,51
2015-04,51
2015-05,51
2015-06,44
2015-07,44
2015-08,44
2015-09,53
2015-10,43
2015-11,43
2015-12,43
2016-01,49
2016-02,49
2016-03,48
2016-04,52
2016-05,48
2016-06,49
2016-07,37
2016-08,35
2016-09,38
2016-10,41
2016-11,36
2016-12,40
2017-01,46
2017-02,45
2017-03,47
2017-04,45
2017-05,44
2017-06,39
2017-07,40
2017-08,37
2017-09,43
2017-10,38
2017-11,37
2017-12,41
2018-01,44
2018-02,44
2018-03,45
2018-04,43
2018-05,41
2018-06,39
2018-07,38
2018-08,36
2018-09,35
2018-10,37
2018-11,41
2018-12,40
2019-01,45
2019-02,41
2019-03,48
2019-04,41
2019-05,38
2019-06,38
2019-07,38
2019-08,37
2019-09,34
2019-10,34
2019-11,40
2019-12,39
2020-01,44
2020-02,42
2020-03,41
2020-04,29
2020-05,30
2020-06,25
2020-07,26
2020-08,29
2020-09,26
2020-10,24
2020-11,21
2020-12,27
