Catégorie : Toutes catégories

Mois,movie: (États-Unis)
2004-01,71
2004-02,64
2004-03,62
2004-04,60
2004-05,65
2004-06,71
2004-07,71
2004-08,64
2004-09,56
2004-10,63
2004-11,67
2004-12,70
2005-01,67
2005-02,62
2005-03,61
2005-04,61
2005-05,67
2005-06,67
2005-07,71
2005-08,63
2005-09,59
2005-10,65
2005-11,71
2005-12,74
2006-01,72
2006-02,66
2006-03,62
2006-04,64
2006-05,66
2006-06,69
2006-07,73
2006-08,64
2006-09,58
2006-10,63
2006-11,66
2006-12,71
2007-01,65
2007-02,62
2007-03,63
2007-04,58
2007-05,61
2007-06,68
2007-07,83
2007-08,68
2007-09,61
2007-10,61
2007-11,66
2007-12,76
2008-01,72
2008-02,64
2008-03,63
2008-04,60
2008-05,68
2008-06,72
2008-07,74
2008-08,66
2008-09,58
2008-10,64
2008-11,71
2008-12,72
2009-01,74
2009-02,68
2009-03,64
2009-04,65
2009-05,70
2009-06,75
2009-07,78
2009-08,73
2009-09,63
2009-10,69
2009-11,81
2009-12,80
2010-01,76
2010-02,70
2010-03,68
2010-04,63
2010-05,66
2010-06,71
2010-07,77
2010-08,65
2010-09,59
2010-10,62
2010-11,66
2010-12,67
2011-01,71
2011-02,70
2011-03,63
2011-04,69
2011-05,70
2011-06,75
2011-07,83
2011-08,71
2011-09,67
2011-10,69
2011-11,71
2011-12,75
2012-01,75
2012-02,70
2012-03,72
2012-04,70
2012-05,72
2012-06,79
2012-07,86
2012-08,71
2012-09,69
2012-10,66
2012-11,73
2012-12,81
2013-01,78
2013-02,71
2013-03,71
2013-04,70
2013-05,73
2013-06,81
2013-07,88
2013-08,78
2013-09,68
2013-10,68
2013-11,77
2013-12,82
2014-01,81
2014-02,80
2014-03,82
2014-04,77
2014-05,77
2014-06,85
2014-07,92
2014-08,85
2014-09,69
2014-10,76
2014-11,86
2014-12,93
2015-01,96
2015-02,92
2015-03,81
2015-04,82
2015-05,85
2015-06,94
2015-07,97
2015-08,90
2015-09,78
2015-10,80
2015-11,90
2015-12,100
2016-01,96
2016-02,87
2016-03,82
2016-04,80
2016-05,85
2016-06,88
2016-07,94
2016-08,80
2016-09,74
2016-10,78
2016-11,80
2016-12,93
2017-01,93
2017-02,89
2017-03,93
2017-04,81
2017-05,79
2017-06,86
2017-07,94
2017-08,80
2017-09,82
2017-10,74
2017-11,79
2017-12,89
2018-01,83
2018-02,85
2018-03,81
2018-04,78
2018-05,75
2018-06,82
2018-07,84
2018-08,75
2018-09,72
2018-10,74
2018-11,79
2018-12,87
2019-01,81
2019-02,74
2019-03,77
2019-04,76
2019-05,77
2019-06,77
2019-07,82
2019-08,71
2019-09,71
2019-10,73
2019-11,79
2019-12,81
2020-01,76
2020-02,75
2020-03,70
2020-04,68
2020-05,66
2020-06,64
2020-07,64
2020-08,62
2020-09,59
2020-10,66
2020-11,62
2020-12,65
