Catégorie : Toutes catégories

Mois,verizon communications: (États-Unis)
2004-01,65
2004-02,24
2004-03,30
2004-04,100
2004-05,43
2004-06,36
2004-07,67
2004-08,74
2004-09,76
2004-10,71
2004-11,47
2004-12,42
2005-01,52
2005-02,67
2005-03,53
2005-04,54
2005-05,76
2005-06,49
2005-07,44
2005-08,46
2005-09,43
2005-10,44
2005-11,49
2005-12,43
2006-01,45
2006-02,51
2006-03,57
2006-04,27
2006-05,16
2006-06,47
2006-07,65
2006-08,41
2006-09,35
2006-10,30
2006-11,30
2006-12,33
2007-01,51
2007-02,56
2007-03,25
2007-04,39
2007-05,42
2007-06,45
2007-07,53
2007-08,42
2007-09,51
2007-10,42
2007-11,37
2007-12,47
2008-01,42
2008-02,40
2008-03,28
2008-04,55
2008-05,49
2008-06,49
2008-07,57
2008-08,47
2008-09,40
2008-10,53
2008-11,53
2008-12,43
2009-01,70
2009-02,60
2009-03,46
2009-04,48
2009-05,32
2009-06,48
2009-07,59
2009-08,56
2009-09,40
2009-10,51
2009-11,62
2009-12,40
2010-01,56
2010-02,54
2010-03,48
2010-04,57
2010-05,62
2010-06,60
2010-07,85
2010-08,59
2010-09,63
2010-10,50
2010-11,44
2010-12,49
2011-01,53
2011-02,56
2011-03,50
2011-04,47
2011-05,43
2011-06,42
2011-07,43
2011-08,63
2011-09,49
2011-10,40
2011-11,44
2011-12,38
2012-01,45
2012-02,29
2012-03,38
2012-04,30
2012-05,35
2012-06,37
2012-07,31
2012-08,30
2012-09,36
2012-10,30
2012-11,29
2012-12,36
2013-01,40
2013-02,25
2013-03,30
2013-04,31
2013-05,38
2013-06,26
2013-07,24
2013-08,36
2013-09,36
2013-10,33
2013-11,33
2013-12,31
2014-01,34
2014-02,40
2014-03,33
2014-04,31
2014-05,33
2014-06,28
2014-07,35
2014-08,34
2014-09,37
2014-10,38
2014-11,30
2014-12,29
2015-01,35
2015-02,33
2015-03,30
2015-04,30
2015-05,30
2015-06,33
2015-07,36
2015-08,38
2015-09,31
2015-10,30
2015-11,25
2015-12,29
2016-01,18
2016-02,25
2016-03,39
2016-04,91
2016-05,32
2016-06,33
2016-07,25
2016-08,22
2016-09,26
2016-10,27
2016-11,24
2016-12,25
2017-01,25
2017-02,19
2017-03,19
2017-04,19
2017-05,19
2017-06,22
2017-07,18
2017-08,20
2017-09,20
2017-10,18
2017-11,19
2017-12,21
2018-01,20
2018-02,13
2018-03,22
2018-04,14
2018-05,16
2018-06,20
2018-07,18
2018-08,18
2018-09,19
2018-10,17
2018-11,17
2018-12,12
2019-01,15
2019-02,17
2019-03,16
2019-04,12
2019-05,14
2019-06,17
2019-07,16
2019-08,17
2019-09,11
2019-10,13
2019-11,13
2019-12,9
2020-01,13
2020-02,13
2020-03,14
2020-04,12
2020-05,12
2020-06,13
2020-07,12
2020-08,16
2020-09,14
2020-10,9
2020-11,8
2020-12,23
